,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt_j,subject-control,the doctor,the lawyer,True,threatened,to come,the doctor,the lawyer,"You will be given a context and a question.
Context: the doctor threatened the lawyer to come.

Question: Who came?
Answer: ", 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to come.\n\nQuestion: Who came?\nAnswer:  The lawyer came.\n\nContext: the doctor threatened the lawyer to come.\nQuestion: Who came?\nAnswer:  The lawyer came.\n\nContext: the doctor threatened the lawyer to come.\nQuestion: Who came?\nAnswer:  The lawyer came.\n\nContext: the doctor threatened the lawyer to come.'),0.0
1,gpt_j,subject-control,the doctor,the lawyer,False,threatened,to come,the doctor,the lawyer,"You will be given a context and a question.
Context: the doctor threatened the lawyer to come.

Question: Who came?
Answer: ", 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to come.\n\nQuestion: Who came?\nAnswer:  The lawyer came.\n\nContext: the doctor threatened the lawyer to come.\nQuestion: Who came?\nAnswer:  The lawyer came.\n\nContext: the doctor threatened the lawyer to come.\nQuestion: Who came?\nAnswer:  The lawyer came.\n\nContext: the doctor threatened the lawyer to come.'),1.0
2,gpt_j,subject-control,the doctor,the lawyer,True,threatened,to go,the doctor,the lawyer,"You will be given a context and a question.
Context: the doctor threatened the lawyer to go.

Question: Who went?
Answer: ", 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to go.\n\nQuestion: Who went?\nAnswer:  The lawyer.\n\nContext: the doctor threatened the lawyer to go.\nQuestion: Who went?\nAnswer:  The doctor.\n\nContext: the doctor threatened the lawyer to go.\nQuestion: Who went?\nAnswer:  The lawyer.\n\nContext: the doctor threatened the lawyer to go.\nQuestion:'),2.0
3,gpt_j,subject-control,the doctor,the lawyer,False,threatened,to go,the doctor,the lawyer,"You will be given a context and a question.
Context: the doctor threatened the lawyer to go.

Question: Who went?
Answer: ", 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to go.\n\nQuestion: Who went?\nAnswer:  The lawyer.\n\nContext: the doctor threatened the lawyer to go.\nQuestion: Who went?\nAnswer:  The doctor.\n\nContext: the doctor threatened the lawyer to go.\nQuestion: Who went?\nAnswer:  The lawyer.\n\nContext: the doctor threatened the lawyer to go.\nQuestion:'),3.0
4,gpt_j,subject-control,the doctor,the lawyer,True,threatened,to read,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the lawyer to read.

Question: Who read?
Answer: ", 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to read.\n\nQuestion: Who read?\nAnswer: \n\nThe lawyer read.\nThe doctor read.\n\nA:\n\nThe lawyer read.\nThe doctor read.\n\nThe first sentence is the answer to the question.\nThe second sentence is the context.\nThe third sentence is the question.\n\nA:\n\nThe lawyer read.\nThe doctor read'),4.0
5,gpt_j,subject-control,the doctor,the lawyer,False,threatened,to read,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the lawyer to read.

Question: Who read?
Answer: ", 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to read.\n\nQuestion: Who read?\nAnswer: \n\nThe lawyer read.\nThe doctor read.\n\nA:\n\nThe lawyer read.\nThe doctor read.\n\nThe first sentence is the answer to the question.\nThe second sentence is the context.\nThe third sentence is the question.\n\nA:\n\nThe lawyer read.\nThe doctor read'),5.0
6,gpt_j,subject-control,the doctor,the lawyer,True,threatened,to run,the doctor,the lawyer,"You will be given a context and a question.
Context: the doctor threatened the lawyer to run.

Question: Who ran?
Answer: "," 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to run.\n\nQuestion: Who ran?\nAnswer:  The lawyer.\n\nA:\n\nThe context is the doctor\'s threat.\nThe question is ""Who ran?""\nThe answer is ""The lawyer.""\n\nA:\n\nThe context is the doctor\'s threat.\nThe question is ""Who ran?""\nThe answer is ""The lawyer.""\n\nA:\n')",6.0
7,gpt_j,subject-control,the doctor,the lawyer,False,threatened,to run,the doctor,the lawyer,"You will be given a context and a question.
Context: the doctor threatened the lawyer to run.

Question: Who ran?
Answer: "," 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to run.\n\nQuestion: Who ran?\nAnswer:  The lawyer.\n\nA:\n\nThe context is the doctor\'s threat.\nThe question is ""Who ran?""\nThe answer is ""The lawyer.""\n\nA:\n\nThe context is the doctor\'s threat.\nThe question is ""Who ran?""\nThe answer is ""The lawyer.""\n\nA:\n')",7.0
8,gpt_j,subject-control,the doctor,the lawyer,True,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the lawyer to call.

Question: Who called?
Answer: ", 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to call.\n\nQuestion: Who called?\nAnswer:  The doctor.\n\nContext: the lawyer threatened the doctor to call.\nQuestion: Who called?\nAnswer:  The lawyer.\n\nContext: the lawyer threatened the doctor to call.\nQuestion: Who called?\nAnswer:  The lawyer.\n\nContext: the lawyer threatened the doctor to call.\nQuestion:'),8.0
9,gpt_j,subject-control,the doctor,the lawyer,False,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the lawyer to call.

Question: Who called?
Answer: ", 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to call.\n\nQuestion: Who called?\nAnswer:  The doctor.\n\nContext: the lawyer threatened the doctor to call.\nQuestion: Who called?\nAnswer:  The lawyer.\n\nContext: the lawyer threatened the doctor to call.\nQuestion: Who called?\nAnswer:  The lawyer.\n\nContext: the lawyer threatened the doctor to call.\nQuestion:'),9.0
