,model,exp_type,prompt,pred,true,response,Unnamed: 0
0,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Yes , I say .""
Question: In the event ""say"", does the state of the participant ""I"" change?
Answer: 
",other,No,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" Yes  ,  I",0.0
1,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""The recent elections in Iraq were dominated by an amalgam of religiously fundamentalist Shi'ite organizations , principally the Dawa Party and the Supreme Council for Islamic Revolution in Iraq ( SCIRI ) .""
Question: In the event ""dominated"", does the state of the participant ""elections"" change?
Answer: 
",other,Yes,". 
 The  state  of  the  elections  does  not  change .  The  elections  are  still  recent .  The  elections",1.0
2,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Senate increases NASA funding""
Question: In the event ""increases"", does the state of the participant ""funding"" change?
Answer: 
",other,Yes,The  following  is  a  list  of  the  types  of  questions  that  can  be  asked  in  the  C Q P,2.0
3,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""jill allen finishes her cpa today and she and her friends are going to party .""
Question: In the event ""finishes"", does the state of the participant ""allen"" change?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" j ill  all",3.0
4,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""And the President becomes a Dictator , unrestrained by anything in the Constitution , backed up by the Armed Forces , which would be entirely under his personal control .""
Question: In the event ""becomes"", does the state of the participant ""President"" change?
Answer: 
",other,Yes,",  the  state  of  the  participant  "" President ""  changes . 
 The  state  of  the  participant  "" President",4.0
5,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""I was told to take my coffee to go if I wanted to finish it .""
Question: In the event ""finish"", does the state of the participant ""it"" change?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" I  was  told",5.0
6,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""I used Birdies for our Annual Walk Against Drugs and Alcohol event .""
Question: In the event ""used"", does the state of the participant ""I"" change?
Answer: 
",other,No,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" I  used  Bird",6.0
7,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""We had a great stay , your service was excellent and we will use you again !""
Question: In the event ""had"", does the state of the participant ""We"" change?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" We  had  a",7.0
8,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""There are only about 850 wolves in the West , but there are an estimated 31,000 mountain lions .""
Question: In the event ""are"", does the state of the participant ""wolves"" change?
Answer: 
",other,No,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" There  are  only",8.0
9,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""During the session , he demanded to have my physical address , which I 've always kept private as I am enrolled in a witness protection program .""
Question: In the event ""enrolled"", does the state of the participant ""I"" change?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" During  the  session",9.0
10,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Police said Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church .""
Question: In the event ""involving"", does the state of the participant ""children"" change?
Answer: 
",other,Yes,". 
 The  state  of  the  participant  "" children ""  does  not  change . 
 The  state  of  the",10.0
11,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Prices for electricity jumped from an average of $ 249 a megawatt to $ 700 a megawatt within three days , ISO records show .""
Question: In the event ""jumped"", does the state of the participant ""Prices"" change?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" Pr ices  for",11.0
12,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""This action accelerated the utilities ' move toward bankruptcy and forced the governor to move the state into the power - buying business . """"
Question: In the event ""accelerated"", does the state of the participant ""action"" change?
Answer: 
",other,No,",  the  state  of  the  participant  "" action ""  changes . 
 
 Answer  this  yes - no  question",12.0
13,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""I work for a large retail company recently expanding our operations into Canada and had to travel to ensure all of our computer network equipment was installed properly and on time .""
Question: In the event ""work"", does the state of the participant ""I"" change?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" I  work  for",13.0
14,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: """" Their screams changed , "" Dr. Fortier said .""
Question: In the event ""changed"", does the state of the participant ""screams"" change?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  """"  The  man  was",14.0
15,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Family owned and operated makes sure the atmosphere is relaxed and the food home - cooked with style .""
Question: In the event ""cooked"", does the state of the participant ""food"" change?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" Family  owned  and",15.0
16,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""I have a 9 month old German Shepherd that I raised from a puppy .""
Question: In the event ""raised"", does the state of the participant ""Shepherd"" change?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" I  have  a",16.0
17,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""In Texas , BP shut its 460,000 barrels per day refinery and Marathon shut its 72,000 bpd plant .""
Question: In the event ""shut"", does the state of the participant ""Marathon"" change?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" In  Texas  ,",17.0
18,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""The Americans detected the attempt to infiltrate the urban areas and were already redeploying troops from the rural areas .""
Question: In the event ""infiltrate"", does the state of the participant ""areas"" change?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" The  Americans  detected",18.0
19,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""They kept the name Oracle and created the RDBMS engine .""
Question: In the event ""created"", does the state of the participant ""engine"" change?
Answer: 
",other,Yes,"The  answer  is  "" yes ""  because  the  engine  is  a  participant  in  the  event  "" created "". 
",19.0
20,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""The intruders slit the screen of the window .""
Question: In the event ""slit"", does the state of the participant ""intruders"" change?
Answer: 
",other,No,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" The  intr uders",20.0
21,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""First room had used tissues next to the bed and I requested it be rectified .""
Question: In the event ""rectified"", does the state of the participant ""it"" change?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" First  room  had",21.0
