,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,jurassic-large,subject-control,Avery,Casey,False,threatened,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to come.

Question: Who came?
Answer: ", '(A'),0.0
1,jurassic-large,subject-control,Avery,Casey,False,threatened,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to go.

Question: Who went?
Answer: ", '(A'),1.0
2,jurassic-large,subject-control,Avery,Casey,False,threatened,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to read.

Question: Who read?
Answer: ", '(A'),2.0
3,jurassic-large,subject-control,Avery,Casey,False,threatened,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to run.

Question: Who ran?
Answer: ", '(A'),3.0
4,jurassic-large,subject-control,Avery,Casey,False,threatened,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to call.

Question: Who called?
Answer: ", '(A'),4.0
5,jurassic-large,subject-control,Avery,Joseph,False,threatened,to come,Avery,Joseph,"You will be given a context and a question.
Context: Avery threatened Joseph to come.

Question: Who came?
Answer: ", '(Joseph'),10.0
6,jurassic-large,subject-control,Avery,Joseph,False,threatened,to go,Avery,Joseph,"You will be given a context and a question.
Context: Avery threatened Joseph to go.

Question: Who went?
Answer: ", '(Joseph'),11.0
7,jurassic-large,subject-control,Avery,Joseph,False,threatened,to read,Avery,Joseph,"You will be given a context and a question.
Context: Avery threatened Joseph to read.

Question: Who read?
Answer: ", '(Joseph'),12.0
8,jurassic-large,subject-control,Avery,Joseph,False,threatened,to run,Avery,Joseph,"You will be given a context and a question.
Context: Avery threatened Joseph to run.

Question: Who ran?
Answer: ", '(Joseph'),13.0
9,jurassic-large,subject-control,Avery,Joseph,False,threatened,to call,Avery,Joseph,"You will be given a context and a question.
Context: Avery threatened Joseph to call.

Question: Who called?
Answer: ", '(Joseph'),14.0
10,jurassic-large,subject-control,Avery,Nicole,False,threatened,to come,Avery,Nicole,"You will be given a context and a question.
Context: Avery threatened Nicole to come.

Question: Who came?
Answer: ", '(Nicole'),20.0
11,jurassic-large,subject-control,Avery,Nicole,False,threatened,to go,Avery,Nicole,"You will be given a context and a question.
Context: Avery threatened Nicole to go.

Question: Who went?
Answer: ", '(Nicole'),21.0
12,jurassic-large,subject-control,Avery,Nicole,False,threatened,to read,Avery,Nicole,"You will be given a context and a question.
Context: Avery threatened Nicole to read.

Question: Who read?
Answer: ", '(Nicole'),22.0
13,jurassic-large,subject-control,Avery,Nicole,False,threatened,to run,Avery,Nicole,"You will be given a context and a question.
Context: Avery threatened Nicole to run.

Question: Who ran?
Answer: ", '(Nicole'),23.0
14,jurassic-large,subject-control,Avery,Nicole,False,threatened,to call,Avery,Nicole,"You will be given a context and a question.
Context: Avery threatened Nicole to call.

Question: Who called?
Answer: ", '(Nicole'),24.0
15,jurassic-large,subject-control,Avery,Stephanie,False,threatened,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Stephanie to come.

Question: Who came?
Answer: ", '(A'),30.0
16,jurassic-large,subject-control,Avery,Stephanie,False,threatened,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Stephanie to go.

Question: Who went?
Answer: ", '(A'),31.0
17,jurassic-large,subject-control,Avery,Stephanie,False,threatened,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Stephanie to read.

Question: Who read?
Answer: ", '(A'),32.0
18,jurassic-large,subject-control,Avery,Stephanie,False,threatened,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Stephanie to run.

Question: Who ran?
Answer: ", '(A'),33.0
19,jurassic-large,subject-control,Avery,Stephanie,False,threatened,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Stephanie to call.

Question: Who called?
Answer: ", '(A'),34.0
20,jurassic-large,subject-control,Avery,William,False,threatened,to come,Avery,William,"You will be given a context and a question.
Context: Avery threatened William to come.

Question: Who came?
Answer: ", '(William'),40.0
21,jurassic-large,subject-control,Avery,William,False,threatened,to go,Avery,William,"You will be given a context and a question.
Context: Avery threatened William to go.

Question: Who went?
Answer: ", '(William'),41.0
22,jurassic-large,subject-control,Avery,William,False,threatened,to read,Avery,William,"You will be given a context and a question.
Context: Avery threatened William to read.

Question: Who read?
Answer: ", '(William'),42.0
23,jurassic-large,subject-control,Avery,William,False,threatened,to run,Avery,William,"You will be given a context and a question.
Context: Avery threatened William to run.

Question: Who ran?
Answer: ", '(William'),43.0
24,jurassic-large,subject-control,Avery,William,False,threatened,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened William to call.

Question: Who called?
Answer: ", '(A'),44.0
25,jurassic-large,subject-control,Casey,Avery,False,threatened,to come,Casey,Avery,"You will be given a context and a question.
Context: Casey threatened Avery to come.

Question: Who came?
Answer: ", '(A'),50.0
