,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt3,subject-control,Avery,Casey,False,threatened,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to come.

Question: Who was threatened to come, Avery or Casey?
Answer: Casey
Question: Who threatened someone to come, Avery or Casey?
Answer: Avery
Question: Who came, Avery or Casey?
Answer: ", '\n'),0.0
1,gpt3,subject-control,Avery,Casey,False,threatened,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to go.

Question: Who was threatened to go, Avery or Casey?
Answer: Casey
Question: Who threatened someone to go, Avery or Casey?
Answer: Avery
Question: Who went, Avery or Casey?
Answer: ", '\n'),1.0
2,gpt3,subject-control,Avery,Casey,False,threatened,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to read.

Question: Who threatened someone to read, Avery or Casey?
Answer: Avery
Question: Who was threatened to read, Avery or Casey?
Answer: Casey
Question: Who read, Avery or Casey?
Answer: ", '\n'),2.0
3,gpt3,subject-control,Avery,Casey,False,threatened,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to run.

Question: Who threatened someone to run, Avery or Casey?
Answer: Avery
Question: Who was threatened to run, Avery or Casey?
Answer: Casey
Question: Who ran, Avery or Casey?
Answer: ", '\n'),3.0
4,gpt3,subject-control,Avery,Casey,False,threatened,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to call.

Question: Who was threatened to call, Avery or Casey?
Answer: Casey
Question: Who threatened someone to call, Avery or Casey?
Answer: Avery
Question: Who called, Avery or Casey?
Answer: ", '\n'),4.0
5,gpt3,subject-control,Avery,Joseph,False,threatened,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to come.

Question: Who threatened someone to come, Avery or Joseph?
Answer: Avery
Question: Who was threatened to come, Avery or Joseph?
Answer: Joseph
Question: Who came, Avery or Joseph?
Answer: ", '\n'),10.0
6,gpt3,subject-control,Avery,Joseph,False,threatened,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to go.

Question: Who was threatened to go, Avery or Joseph?
Answer: Joseph
Question: Who threatened someone to go, Avery or Joseph?
Answer: Avery
Question: Who went, Avery or Joseph?
Answer: ", 'Question'),11.0
7,gpt3,subject-control,Avery,Joseph,False,threatened,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to read.

Question: Who was threatened to read, Avery or Joseph?
Answer: Joseph
Question: Who threatened someone to read, Avery or Joseph?
Answer: Avery
Question: Who read, Avery or Joseph?
Answer: ", '\n'),12.0
8,gpt3,subject-control,Avery,Joseph,False,threatened,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to run.

Question: Who threatened someone to run, Avery or Joseph?
Answer: Avery
Question: Who was threatened to run, Avery or Joseph?
Answer: Joseph
Question: Who ran, Avery or Joseph?
Answer: ", '\n'),13.0
9,gpt3,subject-control,Avery,Joseph,False,threatened,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to call.

Question: Who threatened someone to call, Avery or Joseph?
Answer: Avery
Question: Who was threatened to call, Avery or Joseph?
Answer: Joseph
Question: Who called, Avery or Joseph?
Answer: ", '\n'),14.0
10,gpt3,subject-control,Avery,Nicole,False,threatened,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".
Context: Avery threatened Nicole to come.

Question: Who threatened someone to come, Avery or Nicole?
Answer: Avery
Question: Who was threatened to come, Avery or Nicole?
Answer: Nicole
Question: Who came, Avery or Nicole?
Answer: ", '\n'),20.0
11,gpt3,subject-control,Avery,Nicole,False,threatened,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".
Context: Avery threatened Nicole to go.

Question: Who was threatened to go, Avery or Nicole?
Answer: Nicole
Question: Who threatened someone to go, Avery or Nicole?
Answer: Avery
Question: Who went, Avery or Nicole?
Answer: ", '\n'),21.0
12,gpt3,subject-control,Avery,Nicole,False,threatened,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".
Context: Avery threatened Nicole to read.

Question: Who threatened someone to read, Avery or Nicole?
Answer: Avery
Question: Who was threatened to read, Avery or Nicole?
Answer: Nicole
Question: Who read, Avery or Nicole?
Answer: ", '\n'),22.0
13,gpt3,subject-control,Avery,Nicole,False,threatened,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".
Context: Avery threatened Nicole to run.

Question: Who was threatened to run, Avery or Nicole?
Answer: Nicole
Question: Who threatened someone to run, Avery or Nicole?
Answer: Avery
Question: Who ran, Avery or Nicole?
Answer: ", '\n'),23.0
14,gpt3,subject-control,Avery,Nicole,False,threatened,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".
Context: Avery threatened Nicole to call.

Question: Who was threatened to call, Avery or Nicole?
Answer: Nicole
Question: Who threatened someone to call, Avery or Nicole?
Answer: Avery
Question: Who called, Avery or Nicole?
Answer: ", '\n'),24.0
15,gpt3,subject-control,Avery,Stephanie,False,threatened,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Stephanie"".
Context: Avery threatened Stephanie to come.

Question: Who threatened someone to come, Avery or Stephanie?
Answer: Avery
Question: Who was threatened to come, Avery or Stephanie?
Answer: Stephanie
Question: Who came, Avery or Stephanie?
Answer: ", '\n'),30.0
16,gpt3,subject-control,Avery,Stephanie,False,threatened,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Stephanie"".
Context: Avery threatened Stephanie to go.

Question: Who was threatened to go, Avery or Stephanie?
Answer: Stephanie
Question: Who threatened someone to go, Avery or Stephanie?
Answer: Avery
Question: Who went, Avery or Stephanie?
Answer: ", '\n'),31.0
17,gpt3,subject-control,Avery,Stephanie,False,threatened,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Stephanie"".
Context: Avery threatened Stephanie to read.

Question: Who was threatened to read, Avery or Stephanie?
Answer: Stephanie
Question: Who threatened someone to read, Avery or Stephanie?
Answer: Avery
Question: Who read, Avery or Stephanie?
Answer: ", '\n'),32.0
18,gpt3,subject-control,Avery,Stephanie,False,threatened,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Stephanie"".
Context: Avery threatened Stephanie to run.

Question: Who was threatened to run, Avery or Stephanie?
Answer: Stephanie
Question: Who threatened someone to run, Avery or Stephanie?
Answer: Avery
Question: Who ran, Avery or Stephanie?
Answer: ", '\n'),33.0
19,gpt3,subject-control,Avery,Stephanie,False,threatened,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Stephanie"".
Context: Avery threatened Stephanie to call.

Question: Who was threatened to call, Avery or Stephanie?
Answer: Stephanie
Question: Who threatened someone to call, Avery or Stephanie?
Answer: Avery
Question: Who called, Avery or Stephanie?
Answer: ", '\n'),34.0
20,gpt3,subject-control,Avery,William,False,threatened,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""William"".
Context: Avery threatened William to come.

Question: Who threatened someone to come, Avery or William?
Answer: Avery
Question: Who was threatened to come, Avery or William?
Answer: William
Question: Who came, Avery or William?
Answer: ", '\n'),40.0
21,gpt3,subject-control,Avery,William,False,threatened,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""William"".
Context: Avery threatened William to go.

Question: Who was threatened to go, Avery or William?
Answer: William
Question: Who threatened someone to go, Avery or William?
Answer: Avery
Question: Who went, Avery or William?
Answer: ", '\n'),41.0
22,gpt3,subject-control,Avery,William,False,threatened,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""William"".
Context: Avery threatened William to read.

Question: Who threatened someone to read, Avery or William?
Answer: Avery
Question: Who was threatened to read, Avery or William?
Answer: William
Question: Who read, Avery or William?
Answer: ", '\n'),42.0
23,gpt3,subject-control,Avery,William,False,threatened,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""William"".
Context: Avery threatened William to run.

Question: Who was threatened to run, Avery or William?
Answer: William
Question: Who threatened someone to run, Avery or William?
Answer: Avery
Question: Who ran, Avery or William?
Answer: ", '\n'),43.0
24,gpt3,subject-control,Avery,William,False,threatened,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""William"".
Context: Avery threatened William to call.

Question: Who threatened someone to call, Avery or William?
Answer: Avery
Question: Who was threatened to call, Avery or William?
Answer: William
Question: Who called, Avery or William?
Answer: ", '\n'),44.0
25,gpt3,subject-control,Casey,Avery,False,threatened,to come,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Casey threatened Avery to come.

Question: Who was threatened to come, Casey or Avery?
Answer: Avery
Question: Who threatened someone to come, Casey or Avery?
Answer: Casey
Question: Who came, Casey or Avery?
Answer: ", '\n'),50.0
26,gpt3,subject-control,Casey,Avery,False,threatened,to go,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Casey threatened Avery to go.

Question: Who was threatened to go, Casey or Avery?
Answer: Avery
Question: Who threatened someone to go, Casey or Avery?
Answer: Casey
Question: Who went, Casey or Avery?
Answer: ", '\n'),51.0
27,gpt3,subject-control,Casey,Avery,False,threatened,to read,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Casey threatened Avery to read.

Question: Who was threatened to read, Casey or Avery?
Answer: Avery
Question: Who threatened someone to read, Casey or Avery?
Answer: Casey
Question: Who read, Casey or Avery?
Answer: ", '\n'),52.0
28,gpt3,subject-control,Casey,Avery,False,threatened,to run,Casey,Casey,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Casey threatened Avery to run.

Question: Who was threatened to run, Casey or Avery?
Answer: Avery
Question: Who threatened someone to run, Casey or Avery?
Answer: Casey
Question: Who ran, Casey or Avery?
Answer: ", 'Case'),53.0
29,gpt3,subject-control,Casey,Avery,False,threatened,to call,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Casey threatened Avery to call.

Question: Who threatened someone to call, Casey or Avery?
Answer: Casey
Question: Who was threatened to call, Casey or Avery?
Answer: Avery
Question: Who called, Casey or Avery?
Answer: ", '\n'),54.0
30,gpt3,subject-control,Casey,Joseph,False,threatened,to come,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Joseph"".
Context: Casey threatened Joseph to come.

Question: Who threatened someone to come, Casey or Joseph?
Answer: Casey
Question: Who was threatened to come, Casey or Joseph?
Answer: Joseph
Question: Who came, Casey or Joseph?
Answer: ", '\n'),60.0
31,gpt3,subject-control,Casey,Joseph,False,threatened,to go,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Joseph"".
Context: Casey threatened Joseph to go.

Question: Who threatened someone to go, Casey or Joseph?
Answer: Casey
Question: Who was threatened to go, Casey or Joseph?
Answer: Joseph
Question: Who went, Casey or Joseph?
Answer: ", '\n'),61.0
32,gpt3,subject-control,Casey,Joseph,False,threatened,to read,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Joseph"".
Context: Casey threatened Joseph to read.

Question: Who threatened someone to read, Casey or Joseph?
Answer: Casey
Question: Who was threatened to read, Casey or Joseph?
Answer: Joseph
Question: Who read, Casey or Joseph?
Answer: ", '\n'),62.0
33,gpt3,subject-control,Casey,Joseph,False,threatened,to run,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Joseph"".
Context: Casey threatened Joseph to run.

Question: Who threatened someone to run, Casey or Joseph?
Answer: Casey
Question: Who was threatened to run, Casey or Joseph?
Answer: Joseph
Question: Who ran, Casey or Joseph?
Answer: ", '\n'),63.0
34,gpt3,subject-control,Casey,Joseph,False,threatened,to call,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Joseph"".
Context: Casey threatened Joseph to call.

Question: Who threatened someone to call, Casey or Joseph?
Answer: Casey
Question: Who was threatened to call, Casey or Joseph?
Answer: Joseph
Question: Who called, Casey or Joseph?
Answer: ", '\n'),64.0
35,gpt3,subject-control,Casey,Nicole,False,threatened,to come,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Nicole"".
Context: Casey threatened Nicole to come.

Question: Who was threatened to come, Casey or Nicole?
Answer: Nicole
Question: Who threatened someone to come, Casey or Nicole?
Answer: Casey
Question: Who came, Casey or Nicole?
Answer: ", '\n'),70.0
36,gpt3,subject-control,Casey,Nicole,False,threatened,to go,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Nicole"".
Context: Casey threatened Nicole to go.

Question: Who threatened someone to go, Casey or Nicole?
Answer: Casey
Question: Who was threatened to go, Casey or Nicole?
Answer: Nicole
Question: Who went, Casey or Nicole?
Answer: ", '\n'),71.0
37,gpt3,subject-control,Casey,Nicole,False,threatened,to read,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Nicole"".
Context: Casey threatened Nicole to read.

Question: Who was threatened to read, Casey or Nicole?
Answer: Nicole
Question: Who threatened someone to read, Casey or Nicole?
Answer: Casey
Question: Who read, Casey or Nicole?
Answer: ", '\n'),72.0
38,gpt3,subject-control,Casey,Nicole,False,threatened,to run,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Nicole"".
Context: Casey threatened Nicole to run.

Question: Who threatened someone to run, Casey or Nicole?
Answer: Casey
Question: Who was threatened to run, Casey or Nicole?
Answer: Nicole
Question: Who ran, Casey or Nicole?
Answer: ", '\n'),73.0
39,gpt3,subject-control,Casey,Nicole,False,threatened,to call,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Nicole"".
Context: Casey threatened Nicole to call.

Question: Who threatened someone to call, Casey or Nicole?
Answer: Casey
Question: Who was threatened to call, Casey or Nicole?
Answer: Nicole
Question: Who called, Casey or Nicole?
Answer: ", '\n'),74.0
40,gpt3,subject-control,Casey,Stephanie,False,threatened,to come,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Stephanie"".
Context: Casey threatened Stephanie to come.

Question: Who threatened someone to come, Casey or Stephanie?
Answer: Casey
Question: Who was threatened to come, Casey or Stephanie?
Answer: Stephanie
Question: Who came, Casey or Stephanie?
Answer: ", '\n'),80.0
41,gpt3,subject-control,Casey,Stephanie,False,threatened,to go,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Stephanie"".
Context: Casey threatened Stephanie to go.

Question: Who was threatened to go, Casey or Stephanie?
Answer: Stephanie
Question: Who threatened someone to go, Casey or Stephanie?
Answer: Casey
Question: Who went, Casey or Stephanie?
Answer: ", '\n'),81.0
42,gpt3,subject-control,Casey,Stephanie,False,threatened,to read,Casey,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Stephanie"".
Context: Casey threatened Stephanie to read.

Question: Who was threatened to read, Casey or Stephanie?
Answer: Stephanie
Question: Who threatened someone to read, Casey or Stephanie?
Answer: Casey
Question: Who read, Casey or Stephanie?
Answer: ", '\n'),82.0
