,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,jurassic-jumbo,object-control,the doctor,the lawyer,True,told,to come,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor told the lawyer to come.

Question:  Who came, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor told the lawyer to come.\n\nQuestion:  Who came, the lawyer or the doctor?\nAnswer: ', ' the lawyer came')"
1,jurassic-jumbo,object-control,the doctor,the lawyer,False,told,to come,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor told the lawyer to come.

Question:  Who came, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor told the lawyer to come.\n\nQuestion:  Who came, the doctor or the lawyer?\nAnswer: ', ' The doctor came')"
2,jurassic-jumbo,object-control,the doctor,the lawyer,True,told,to go,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor told the lawyer to go.

Question:  Who went, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor told the lawyer to go.\n\nQuestion:  Who went, the lawyer or the doctor?\nAnswer: ', ' the lawyer went')"
3,jurassic-jumbo,object-control,the doctor,the lawyer,False,told,to go,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor told the lawyer to go.

Question:  Who went, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor told the lawyer to go.\n\nQuestion:  Who went, the doctor or the lawyer?\nAnswer: ', ' The doctor went')"
4,jurassic-jumbo,object-control,the doctor,the lawyer,True,told,to read,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor told the lawyer to read.

Question:  Who read, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor told the lawyer to read.\n\nQuestion:  Who read, the lawyer or the doctor?\nAnswer: ', ' the lawyer')"
5,jurassic-jumbo,object-control,the doctor,the lawyer,False,told,to read,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor told the lawyer to read.

Question:  Who read, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor told the lawyer to read.\n\nQuestion:  Who read, the doctor or the lawyer?\nAnswer: ', ' The doctor read')"
6,jurassic-jumbo,object-control,the doctor,the lawyer,True,told,to run,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor told the lawyer to run.

Question:  Who ran, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor told the lawyer to run.\n\nQuestion:  Who ran, the lawyer or the doctor?\nAnswer: ', ' The doctor ran')"
7,jurassic-jumbo,object-control,the doctor,the lawyer,False,told,to run,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor told the lawyer to run.

Question:  Who ran, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor told the lawyer to run.\n\nQuestion:  Who ran, the doctor or the lawyer?\nAnswer: ', ' The doctor ran')"
8,jurassic-jumbo,object-control,the doctor,the lawyer,True,told,to call,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor told the lawyer to call.

Question:  Who called, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor told the lawyer to call.\n\nQuestion:  Who called, the lawyer or the doctor?\nAnswer: ', ' The doctor')"
9,jurassic-jumbo,object-control,the doctor,the lawyer,False,told,to call,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor told the lawyer to call.

Question:  Who called, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor told the lawyer to call.\n\nQuestion:  Who called, the doctor or the lawyer?\nAnswer: ', ' The doctor called')"
10,jurassic-jumbo,object-control,the doctor,the lawyer,True,ordered,to come,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor ordered the lawyer to come.

Question:  Who came, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor ordered the lawyer to come.\n\nQuestion:  Who came, the lawyer or the doctor?\nAnswer: ', ' the lawyer came')"
11,jurassic-jumbo,object-control,the doctor,the lawyer,False,ordered,to come,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor ordered the lawyer to come.

Question:  Who came, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor ordered the lawyer to come.\n\nQuestion:  Who came, the doctor or the lawyer?\nAnswer: ', ' The doctor came')"
12,jurassic-jumbo,object-control,the doctor,the lawyer,True,ordered,to go,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor ordered the lawyer to go.

Question:  Who went, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor ordered the lawyer to go.\n\nQuestion:  Who went, the lawyer or the doctor?\nAnswer: ', ' the lawyer went')"
13,jurassic-jumbo,object-control,the doctor,the lawyer,False,ordered,to go,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor ordered the lawyer to go.

Question:  Who went, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor ordered the lawyer to go.\n\nQuestion:  Who went, the doctor or the lawyer?\nAnswer: ', ' The doctor went')"
14,jurassic-jumbo,object-control,the doctor,the lawyer,True,ordered,to read,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor ordered the lawyer to read.

Question:  Who read, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor ordered the lawyer to read.\n\nQuestion:  Who read, the lawyer or the doctor?\nAnswer: ', ' the lawyer')"
15,jurassic-jumbo,object-control,the doctor,the lawyer,False,ordered,to read,the doctor,the doctor,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor ordered the lawyer to read.

Question:  Who read, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor ordered the lawyer to read.\n\nQuestion:  Who read, the doctor or the lawyer?\nAnswer: ', ' The doctor read')"
