,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt_j,subject-control,the doctor,the lawyer,True,threatened,to come,the doctor,the lawyer,"You will be given a context and a question.
Context: the doctor threatened the lawyer to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the lawyer to come.\n\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to come.\n\nQuestion: Who came?\nAnswer:  The lawyer came.\n\nContext: the doctor threatened the lawyer to come.\nQuestion: Who came?\nAnswer:  The lawyer came.\n\nContext: the doctor threatened the lawyer to come.\nQuestion: Who came?\nAnswer:  The lawyer came.\n\nContext: the doctor threatened the lawyer to come.')"
1,gpt_j,subject-control,the doctor,the lawyer,False,threatened,to come,the doctor,the lawyer,"You will be given a context and a question.
Context: the doctor threatened the lawyer to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the lawyer to come.\n\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to come.\n\nQuestion: Who came?\nAnswer:  The lawyer came.\n\nContext: the doctor threatened the lawyer to come.\nQuestion: Who came?\nAnswer:  The lawyer came.\n\nContext: the doctor threatened the lawyer to come.\nQuestion: Who came?\nAnswer:  The lawyer came.\n\nContext: the doctor threatened the lawyer to come.')"
2,gpt_j,subject-control,the doctor,the lawyer,True,threatened,to go,the doctor,the lawyer,"You will be given a context and a question.
Context: the doctor threatened the lawyer to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the lawyer to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to go.\n\nQuestion: Who went?\nAnswer:  The lawyer.\n\nContext: the doctor threatened the lawyer to go.\nQuestion: Who went?\nAnswer:  The doctor.\n\nContext: the doctor threatened the lawyer to go.\nQuestion: Who went?\nAnswer:  The lawyer.\n\nContext: the doctor threatened the lawyer to go.\nQuestion:')"
3,gpt_j,subject-control,the doctor,the lawyer,False,threatened,to go,the doctor,the lawyer,"You will be given a context and a question.
Context: the doctor threatened the lawyer to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the lawyer to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to go.\n\nQuestion: Who went?\nAnswer:  The lawyer.\n\nContext: the doctor threatened the lawyer to go.\nQuestion: Who went?\nAnswer:  The doctor.\n\nContext: the doctor threatened the lawyer to go.\nQuestion: Who went?\nAnswer:  The lawyer.\n\nContext: the doctor threatened the lawyer to go.\nQuestion:')"
4,gpt_j,subject-control,the doctor,the lawyer,True,threatened,to read,the doctor,the lawyer,"You will be given a context and a question.
Context: the doctor threatened the lawyer to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the lawyer to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to read.\n\nQuestion: Who read?\nAnswer: \n\nThe lawyer read.\nThe doctor read.\n\nA:\n\nThe lawyer read.\nThe doctor read.\n\nThe first sentence is the answer to the question.\nThe second sentence is the context.\nThe third sentence is the question.\n\nA:\n\nThe lawyer read.\nThe doctor read')"
5,gpt_j,subject-control,the doctor,the lawyer,False,threatened,to read,the doctor,the lawyer,"You will be given a context and a question.
Context: the doctor threatened the lawyer to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the lawyer to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to read.\n\nQuestion: Who read?\nAnswer: \n\nThe lawyer read.\nThe doctor read.\n\nA:\n\nThe lawyer read.\nThe doctor read.\n\nThe first sentence is the answer to the question.\nThe second sentence is the context.\nThe third sentence is the question.\n\nA:\n\nThe lawyer read.\nThe doctor read')"
6,gpt_j,subject-control,the doctor,the lawyer,True,threatened,to run,the doctor,the lawyer,"You will be given a context and a question.
Context: the doctor threatened the lawyer to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the lawyer to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to run.\n\nQuestion: Who ran?\nAnswer:  The lawyer.\n\nA:\n\nThe context is the doctor\'s threat.\nThe question is ""Who ran?""\nThe answer is ""The lawyer.""\n\nA:\n\nThe context is the doctor\'s threat.\nThe question is ""Who ran?""\nThe answer is ""The lawyer.""\n\nA:\n')"
7,gpt_j,subject-control,the doctor,the lawyer,False,threatened,to run,the doctor,the lawyer,"You will be given a context and a question.
Context: the doctor threatened the lawyer to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the lawyer to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to run.\n\nQuestion: Who ran?\nAnswer:  The lawyer.\n\nA:\n\nThe context is the doctor\'s threat.\nThe question is ""Who ran?""\nThe answer is ""The lawyer.""\n\nA:\n\nThe context is the doctor\'s threat.\nThe question is ""Who ran?""\nThe answer is ""The lawyer.""\n\nA:\n')"
8,gpt_j,subject-control,the doctor,the lawyer,True,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the lawyer to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the lawyer to call.\n\nQuestion: Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to call.\n\nQuestion: Who called?\nAnswer:  The doctor.\n\nContext: the lawyer threatened the doctor to call.\nQuestion: Who called?\nAnswer:  The lawyer.\n\nContext: the lawyer threatened the doctor to call.\nQuestion: Who called?\nAnswer:  The lawyer.\n\nContext: the lawyer threatened the doctor to call.\nQuestion:')"
9,gpt_j,subject-control,the doctor,the lawyer,False,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the lawyer to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the lawyer to call.\n\nQuestion: Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the lawyer to call.\n\nQuestion: Who called?\nAnswer:  The doctor.\n\nContext: the lawyer threatened the doctor to call.\nQuestion: Who called?\nAnswer:  The lawyer.\n\nContext: the lawyer threatened the doctor to call.\nQuestion: Who called?\nAnswer:  The lawyer.\n\nContext: the lawyer threatened the doctor to call.\nQuestion:')"
10,gpt_j,subject-control,the doctor,the engineer,True,threatened,to come,the doctor,the engineer,"You will be given a context and a question.
Context: the doctor threatened the engineer to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the engineer to come.\n\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the engineer to come.\n\nQuestion: Who came?\nAnswer: \n\nThe engineer came.\n\nA:\n\nThe answer is:\n\nThe engineer came.\n\nThe reason is that the sentence is a question, and the answer is the subject of the sentence.\n\nA:\n\nThe answer is:\n\nThe engineer came.\n\nThe reason is that the sentence')"
11,gpt_j,subject-control,the doctor,the engineer,False,threatened,to come,the doctor,the engineer,"You will be given a context and a question.
Context: the doctor threatened the engineer to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the engineer to come.\n\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the engineer to come.\n\nQuestion: Who came?\nAnswer: \n\nThe engineer came.\n\nA:\n\nThe answer is:\n\nThe engineer came.\n\nThe reason is that the sentence is a question, and the answer is the subject of the sentence.\n\nA:\n\nThe answer is:\n\nThe engineer came.\n\nThe reason is that the sentence')"
12,gpt_j,subject-control,the doctor,the engineer,True,threatened,to go,the doctor,the engineer,"You will be given a context and a question.
Context: the doctor threatened the engineer to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the engineer to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the engineer to go.\n\nQuestion: Who went?\nAnswer: \n\nThe engineer went.\nThe doctor went.\n\nA:\n\nThe answer is:\n\nThe engineer went.\n\nThe reason is that the doctor is the subject of the sentence, and the engineer is the object of the sentence.\n\nA:\n\nThe answer is:\n\nThe engineer went.')"
13,gpt_j,subject-control,the doctor,the engineer,False,threatened,to go,the doctor,the engineer,"You will be given a context and a question.
Context: the doctor threatened the engineer to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the engineer to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the engineer to go.\n\nQuestion: Who went?\nAnswer: \n\nThe engineer went.\nThe doctor went.\n\nA:\n\nThe answer is:\n\nThe engineer went.\n\nThe reason is that the doctor is the subject of the sentence, and the engineer is the object of the sentence.\n\nA:\n\nThe answer is:\n\nThe engineer went.')"
14,gpt_j,subject-control,the doctor,the engineer,True,threatened,to read,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the engineer to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the engineer to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the engineer to read.\n\nQuestion: Who read?\nAnswer: \n\nThe doctor read.\nThe engineer read.\n\nA:\n\nThe answer is:\n\nThe engineer read.\n\nThe reason is that the sentence is a question, and the answer is the subject of the sentence.\n\nA:\n\nThe answer is:\n\nThe engineer read.\n\nThe')"
15,gpt_j,subject-control,the doctor,the engineer,False,threatened,to read,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the engineer to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the engineer to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the engineer to read.\n\nQuestion: Who read?\nAnswer: \n\nThe doctor read.\nThe engineer read.\n\nA:\n\nThe answer is:\n\nThe engineer read.\n\nThe reason is that the sentence is a question, and the answer is the subject of the sentence.\n\nA:\n\nThe answer is:\n\nThe engineer read.\n\nThe')"
16,gpt_j,subject-control,the doctor,the engineer,True,threatened,to run,the doctor,the engineer,"You will be given a context and a question.
Context: the doctor threatened the engineer to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the engineer to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the engineer to run.\n\nQuestion: Who ran?\nAnswer: \n\nThe engineer ran.\nThe doctor ran.\n\nA:\n\nThe answer is:\n\n The engineer ran.\n\nBecause:\n\n The doctor threatened the engineer to run.\n\nA:\n\nThe answer is:\n\n The engineer ran.\n\nBecause:\n\n The doctor threatened the engineer to run.\n')"
17,gpt_j,subject-control,the doctor,the engineer,False,threatened,to run,the doctor,the engineer,"You will be given a context and a question.
Context: the doctor threatened the engineer to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the engineer to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the engineer to run.\n\nQuestion: Who ran?\nAnswer: \n\nThe engineer ran.\nThe doctor ran.\n\nA:\n\nThe answer is:\n\n The engineer ran.\n\nBecause:\n\n The doctor threatened the engineer to run.\n\nA:\n\nThe answer is:\n\n The engineer ran.\n\nBecause:\n\n The doctor threatened the engineer to run.\n')"
18,gpt_j,subject-control,the doctor,the engineer,True,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the engineer to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the engineer to call.\n\nQuestion: Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the engineer to call.\n\nQuestion: Who called?\nAnswer: \n\nThe doctor called.\nThe engineer called.\n\nA:\n\nThe answer is:\n\nThe engineer called.\n\nThe reason is that the doctor is the one who threatened the engineer, and the engineer is the one who called.\n\nA:\n\nThe answer is:\n\nThe engineer called.')"
19,gpt_j,subject-control,the doctor,the engineer,False,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the engineer to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the engineer to call.\n\nQuestion: Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the engineer to call.\n\nQuestion: Who called?\nAnswer: \n\nThe doctor called.\nThe engineer called.\n\nA:\n\nThe answer is:\n\nThe engineer called.\n\nThe reason is that the doctor is the one who threatened the engineer, and the engineer is the one who called.\n\nA:\n\nThe answer is:\n\nThe engineer called.')"
20,gpt_j,subject-control,the doctor,the writer,True,threatened,to come,the doctor,the writer,"You will be given a context and a question.
Context: the doctor threatened the writer to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the writer to come.\n\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the writer to come.\n\nQuestion: Who came?\nAnswer:  The writer.\n\nA:\n\nThe answer is:\n\nThe writer.\n\nThe context is:\n\nThe doctor threatened the writer to come.\n\nThe question is:\n\nWho came?\n\nThe answer is:\n\nThe writer.\n\nThe context is:\n\nThe doctor threatened the')"
21,gpt_j,subject-control,the doctor,the writer,False,threatened,to come,the doctor,the writer,"You will be given a context and a question.
Context: the doctor threatened the writer to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the writer to come.\n\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the writer to come.\n\nQuestion: Who came?\nAnswer:  The writer.\n\nA:\n\nThe answer is:\n\nThe writer.\n\nThe context is:\n\nThe doctor threatened the writer to come.\n\nThe question is:\n\nWho came?\n\nThe answer is:\n\nThe writer.\n\nThe context is:\n\nThe doctor threatened the')"
22,gpt_j,subject-control,the doctor,the writer,True,threatened,to go,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the writer to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the writer to go.\n\nQuestion: Who went?\nAnswer: \n\nThe doctor went.\n\nA:\n\nThe doctor went.\n\nThis is a very common way of saying that the doctor left.\n\nThe doctor threatened the writer to go.\n\nThis is a very common way of saying that the doctor told the writer to leave.\n\nWho went?\n\nThis')"
23,gpt_j,subject-control,the doctor,the writer,False,threatened,to go,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the writer to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the writer to go.\n\nQuestion: Who went?\nAnswer: \n\nThe doctor went.\n\nA:\n\nThe doctor went.\n\nThis is a very common way of saying that the doctor left.\n\nThe doctor threatened the writer to go.\n\nThis is a very common way of saying that the doctor told the writer to leave.\n\nWho went?\n\nThis')"
24,gpt_j,subject-control,the doctor,the writer,True,threatened,to read,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the writer to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the writer to read.\n\nQuestion: Who read?\nAnswer: \n\nThe doctor read.\nThe writer read.\n\nA:\n\nThe writer read.\n\nThis is the correct answer.\n\nThe doctor read.\n\nThis is also correct.\n\nThe writer read.\n\nThis is incorrect.\n\nThe doctor read.\n\nThis is incorrect.\n\n')"
25,gpt_j,subject-control,the doctor,the writer,False,threatened,to read,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the writer to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the writer to read.\n\nQuestion: Who read?\nAnswer: \n\nThe doctor read.\nThe writer read.\n\nA:\n\nThe writer read.\n\nThis is the correct answer.\n\nThe doctor read.\n\nThis is also correct.\n\nThe writer read.\n\nThis is incorrect.\n\nThe doctor read.\n\nThis is incorrect.\n\n')"
26,gpt_j,subject-control,the doctor,the writer,True,threatened,to run,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the writer to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the writer to run.\n\nQuestion: Who ran?\nAnswer: \n\nThe doctor ran.\n\nA:\n\nThe doctor ran.\n\nThis is a very common way of saying that the doctor ran away.\n\nThe doctor ran away.\n\nThis is a very common way of saying that the doctor ran away from the situation.\n\nThe doctor ran.\n\nThis is')"
27,gpt_j,subject-control,the doctor,the writer,False,threatened,to run,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the writer to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the writer to run.\n\nQuestion: Who ran?\nAnswer: \n\nThe doctor ran.\n\nA:\n\nThe doctor ran.\n\nThis is a very common way of saying that the doctor ran away.\n\nThe doctor ran away.\n\nThis is a very common way of saying that the doctor ran away from the situation.\n\nThe doctor ran.\n\nThis is')"
28,gpt_j,subject-control,the doctor,the writer,True,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the writer to call.\n\nQuestion: Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: the doctor threatened the writer to call.\n\nQuestion: Who called?\nAnswer: \n\nThe doctor called.\n\nA:\n\nThe doctor called.\n\nThis is a very common way of saying that the doctor called.\n\nThe doctor called.\n\nThis is a very common way of saying that the doctor called.\n\nThe doctor called.\n\nThis is a very common way of saying')"
