,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt_neo_2.7b,subject-control,Avery,Casey,True,threatened,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to come.

Question: Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to come.\n\nQuestion: Who came, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to come.\n\nQuestion: Who came, Avery or Casey?\nAnswer:                                                     ')"
1,gpt_neo_2.7b,subject-control,Avery,Casey,False,threatened,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to come.

Question: Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to come.\n\nQuestion: Who came, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to come.\n\nQuestion: Who came, Avery or Casey?\nAnswer:                                                     ')"
2,gpt_neo_2.7b,subject-control,Avery,Casey,True,threatened,to go,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery threatened Casey to go.

Question: Who went, Casey or Avery?
Answer: ","('You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery threatened Casey to go.\n\nQuestion: Who went, Casey or Avery?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery threatened Casey to go.\n\nQuestion: Who went, Casey or Avery?\nAnswer: \n\nA:\n\nYou can use the following:\n\nCasey\nAvery\n\nA:\n\nYou can use the following:\n\nCasey\nAvery\n\nA:\n\nYou can use the following:\n\n')"
3,gpt_neo_2.7b,subject-control,Avery,Casey,False,threatened,to go,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to go.

Question: Who went, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to go.\n\nQuestion: Who went, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to go.\n\nQuestion: Who went, Avery or Casey?\nAnswer:                                                     ')"
4,gpt_neo_2.7b,subject-control,Avery,Casey,True,threatened,to read,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to read.

Question: Who read, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to read.\n\nQuestion: Who read, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to read.\n\nQuestion: Who read, Avery or Casey?\nAnswer:                                                     ')"
5,gpt_neo_2.7b,subject-control,Avery,Casey,False,threatened,to read,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to read.

Question: Who read, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to read.\n\nQuestion: Who read, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to read.\n\nQuestion: Who read, Avery or Casey?\nAnswer:                                                     ')"
6,gpt_neo_2.7b,subject-control,Avery,Casey,True,threatened,to run,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to run.

Question: Who ran, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran, Avery or Casey?\nAnswer:                                                     ')"
7,gpt_neo_2.7b,subject-control,Avery,Casey,False,threatened,to run,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to run.

Question: Who ran, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran, Avery or Casey?\nAnswer:                                                     ')"
8,gpt_neo_2.7b,subject-control,Avery,Casey,True,threatened,to call,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery threatened Casey to call.

Question: Who called, Casey or Avery?
Answer: ","('You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery threatened Casey to call.\n\nQuestion: Who called, Casey or Avery?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery threatened Casey to call.\n\nQuestion: Who called, Casey or Avery?\nAnswer:                                                     ')"
9,gpt_neo_2.7b,subject-control,Avery,Casey,False,threatened,to call,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to call.

Question: Who called, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to call.\n\nQuestion: Who called, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to call.\n\nQuestion: Who called, Avery or Casey?\nAnswer:                                                     ')"
10,gpt_neo_2.7b,subject-control,Avery,Casey,True,offered,to come,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery offered Casey to come.

Question: Who came, Casey or Avery?
Answer: ","('You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery offered Casey to come.\n\nQuestion: Who came, Casey or Avery?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery offered Casey to come.\n\nQuestion: Who came, Casey or Avery?\nAnswer:  Casey.\n\nA:\n\nThe answer is:\n\nCasey\n\nThe question is:\n\nWho came, Casey or Avery?\n\nThe answer is:\n\nCasey\n\nThe question is:\n\nWho came,')"
