,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,jurassic-large,subject-control,Avery,Casey,False,offered,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery offered Casey to come.

Question: Who came?
Answer: ", '(A'),5.0
1,jurassic-large,subject-control,Avery,Casey,False,offered,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery offered Casey to go.

Question: Who went?
Answer: ", '(A'),6.0
2,jurassic-large,subject-control,Avery,Casey,False,offered,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery offered Casey to read.

Question: Who read?
Answer: ", '(A'),7.0
3,jurassic-large,subject-control,Avery,Casey,False,offered,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery offered Casey to run.

Question: Who ran?
Answer: ", '(A'),8.0
4,jurassic-large,subject-control,Avery,Casey,False,offered,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery offered Casey to call.

Question: Who called?
Answer: ", '(A'),9.0
5,jurassic-large,subject-control,Avery,Joseph,False,offered,to come,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to come.

Question: Who came?
Answer: ", '(Joseph'),15.0
6,jurassic-large,subject-control,Avery,Joseph,False,offered,to go,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to go.

Question: Who went?
Answer: ", '(Joseph'),16.0
7,jurassic-large,subject-control,Avery,Joseph,False,offered,to read,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to read.

Question: Who read?
Answer: ", '(Joseph'),17.0
8,jurassic-large,subject-control,Avery,Joseph,False,offered,to run,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to run.

Question: Who ran?
Answer: ", '(Joseph'),18.0
9,jurassic-large,subject-control,Avery,Joseph,False,offered,to call,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to call.

Question: Who called?
Answer: ", '(Joseph'),19.0
10,jurassic-large,subject-control,Avery,Nicole,False,offered,to come,Avery,Nicole,"You will be given a context and a question.
Context: Avery offered Nicole to come.

Question: Who came?
Answer: ", '(Nicole'),25.0
11,jurassic-large,subject-control,Avery,Nicole,False,offered,to go,Avery,Nicole,"You will be given a context and a question.
Context: Avery offered Nicole to go.

Question: Who went?
Answer: ", '(Nicole'),26.0
12,jurassic-large,subject-control,Avery,Nicole,False,offered,to read,Avery,Nicole,"You will be given a context and a question.
Context: Avery offered Nicole to read.

Question: Who read?
Answer: ", '(Nicole'),27.0
13,jurassic-large,subject-control,Avery,Nicole,False,offered,to run,Avery,Nicole,"You will be given a context and a question.
Context: Avery offered Nicole to run.

Question: Who ran?
Answer: ", '(Nicole'),28.0
14,jurassic-large,subject-control,Avery,Nicole,False,offered,to call,Avery,Nicole,"You will be given a context and a question.
Context: Avery offered Nicole to call.

Question: Who called?
Answer: ", '(Nicole'),29.0
15,jurassic-large,subject-control,Avery,Stephanie,False,offered,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery offered Stephanie to come.

Question: Who came?
Answer: ", '(A'),35.0
16,jurassic-large,subject-control,Avery,Stephanie,False,offered,to go,Avery,other,"You will be given a context and a question.
Context: Avery offered Stephanie to go.

Question: Who went?
Answer: ", '(S'),36.0
17,jurassic-large,subject-control,Avery,Stephanie,False,offered,to read,Avery,other,"You will be given a context and a question.
Context: Avery offered Stephanie to read.

Question: Who read?
Answer: ", '(S'),37.0
18,jurassic-large,subject-control,Avery,Stephanie,False,offered,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery offered Stephanie to run.

Question: Who ran?
Answer: ", '(A'),38.0
19,jurassic-large,subject-control,Avery,Stephanie,False,offered,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery offered Stephanie to call.

Question: Who called?
Answer: ", '(A'),39.0
20,jurassic-large,subject-control,Avery,William,False,offered,to come,Avery,William,"You will be given a context and a question.
Context: Avery offered William to come.

Question: Who came?
Answer: ", '(William'),45.0
21,jurassic-large,subject-control,Avery,William,False,offered,to go,Avery,William,"You will be given a context and a question.
Context: Avery offered William to go.

Question: Who went?
Answer: ", '(William'),46.0
22,jurassic-large,subject-control,Avery,William,False,offered,to read,Avery,William,"You will be given a context and a question.
Context: Avery offered William to read.

Question: Who read?
Answer: ", '(William'),47.0
23,jurassic-large,subject-control,Avery,William,False,offered,to run,Avery,William,"You will be given a context and a question.
Context: Avery offered William to run.

Question: Who ran?
Answer: ", '(William'),48.0
24,jurassic-large,subject-control,Avery,William,False,offered,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery offered William to call.

Question: Who called?
Answer: ", '(A'),49.0
25,jurassic-large,subject-control,Casey,Avery,False,offered,to come,Casey,Avery,"You will be given a context and a question.
Context: Casey offered Avery to come.

Question: Who came?
Answer: ", '(A'),55.0
26,jurassic-large,subject-control,Casey,Avery,False,offered,to go,Casey,Avery,"You will be given a context and a question.
Context: Casey offered Avery to go.

Question: Who went?
Answer: ", '(A'),56.0
27,jurassic-large,subject-control,Casey,Avery,False,offered,to read,Casey,Avery,"You will be given a context and a question.
Context: Casey offered Avery to read.

Question: Who read?
Answer: ", '(A'),57.0
28,jurassic-large,subject-control,Casey,Avery,False,offered,to run,Casey,Avery,"You will be given a context and a question.
Context: Casey offered Avery to run.

Question: Who ran?
Answer: ", '(A'),58.0
29,jurassic-large,subject-control,Casey,Avery,False,offered,to call,Casey,Avery,"You will be given a context and a question.
Context: Casey offered Avery to call.

Question: Who called?
Answer: ", '(A'),59.0
30,jurassic-large,subject-control,Casey,Joseph,False,offered,to come,Casey,Joseph,"You will be given a context and a question.
Context: Casey offered Joseph to come.

Question: Who came?
Answer: ", '(Joseph'),65.0
31,jurassic-large,subject-control,Casey,Joseph,False,offered,to go,Casey,Joseph,"You will be given a context and a question.
Context: Casey offered Joseph to go.

Question: Who went?
Answer: ", '(Joseph'),66.0
32,jurassic-large,subject-control,Casey,Joseph,False,offered,to read,Casey,Joseph,"You will be given a context and a question.
Context: Casey offered Joseph to read.

Question: Who read?
Answer: ", '(Joseph'),67.0
33,jurassic-large,subject-control,Casey,Joseph,False,offered,to run,Casey,Joseph,"You will be given a context and a question.
Context: Casey offered Joseph to run.

Question: Who ran?
Answer: ", '(Joseph'),68.0
34,jurassic-large,subject-control,Casey,Joseph,False,offered,to call,Casey,Joseph,"You will be given a context and a question.
Context: Casey offered Joseph to call.

Question: Who called?
Answer: ", '(Joseph'),69.0
35,jurassic-large,subject-control,Casey,Nicole,False,offered,to come,Casey,Nicole,"You will be given a context and a question.
Context: Casey offered Nicole to come.

Question: Who came?
Answer: ", '(Nicole'),75.0
