,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt3,subject-control,Avery,Casey,False,threatened,to come,Avery,other,"You will be given a context and a question.
Context: Avery threatened Casey to come.

Question: Who threatened someone to come?
Answer: Avery
Question: Who was threatened to come?
Answer: Casey
Question: Who came?
Answer: ", '\n'),0.0
1,gpt3,subject-control,Avery,Casey,False,threatened,to go,Avery,other,"You will be given a context and a question.
Context: Avery threatened Casey to go.

Question: Who threatened someone to go?
Answer: Avery
Question: Who was threatened to go?
Answer: Casey
Question: Who went?
Answer: ", '\n'),1.0
2,gpt3,subject-control,Avery,Casey,False,threatened,to read,Avery,other,"You will be given a context and a question.
Context: Avery threatened Casey to read.

Question: Who threatened someone to read?
Answer: Avery
Question: Who was threatened to read?
Answer: Casey
Question: Who read?
Answer: ", 'Question'),2.0
3,gpt3,subject-control,Avery,Casey,False,threatened,to run,Avery,other,"You will be given a context and a question.
Context: Avery threatened Casey to run.

Question: Who was threatened to run?
Answer: Casey
Question: Who threatened someone to run?
Answer: Avery
Question: Who ran?
Answer: ", 'Question'),3.0
4,gpt3,subject-control,Avery,Casey,False,threatened,to call,Avery,other,"You will be given a context and a question.
Context: Avery threatened Casey to call.

Question: Who threatened someone to call?
Answer: Avery
Question: Who was threatened to call?
Answer: Casey
Question: Who called?
Answer: ", 'Question'),4.0
5,gpt3,subject-control,Avery,Joseph,False,threatened,to come,Avery,other,"You will be given a context and a question.
Context: Avery threatened Joseph to come.

Question: Who was threatened to come?
Answer: Joseph
Question: Who threatened someone to come?
Answer: Avery
Question: Who came?
Answer: ", 'Question'),10.0
6,gpt3,subject-control,Avery,Joseph,False,threatened,to go,Avery,other,"You will be given a context and a question.
Context: Avery threatened Joseph to go.

Question: Who was threatened to go?
Answer: Joseph
Question: Who threatened someone to go?
Answer: Avery
Question: Who went?
Answer: ", 'Question'),11.0
7,gpt3,subject-control,Avery,Joseph,False,threatened,to read,Avery,other,"You will be given a context and a question.
Context: Avery threatened Joseph to read.

Question: Who was threatened to read?
Answer: Joseph
Question: Who threatened someone to read?
Answer: Avery
Question: Who read?
Answer: ", 'Question'),12.0
8,gpt3,subject-control,Avery,Joseph,False,threatened,to run,Avery,other,"You will be given a context and a question.
Context: Avery threatened Joseph to run.

Question: Who was threatened to run?
Answer: Joseph
Question: Who threatened someone to run?
Answer: Avery
Question: Who ran?
Answer: ", 'Question'),13.0
9,gpt3,subject-control,Avery,Joseph,False,threatened,to call,Avery,other,"You will be given a context and a question.
Context: Avery threatened Joseph to call.

Question: Who threatened someone to call?
Answer: Avery
Question: Who was threatened to call?
Answer: Joseph
Question: Who called?
Answer: ", 'Question'),14.0
