,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt_j,object-control-passive,Avery,Casey,False,told,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to come.

Question:  Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to come.\n\nQuestion:  Who came, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to come.\n\nQuestion:  Who came, Avery or Casey?\nAnswer:  Avery\n\nContext: Avery')"
1,gpt_j,object-control-passive,Avery,Casey,False,told,to go,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to go.

Question:  Who went, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to go.\n\nQuestion:  Who went, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to go.\n\nQuestion:  Who went, Avery or Casey?\nAnswer:  Avery\n\nContext: Avery')"
2,gpt_j,object-control-passive,Avery,Casey,False,told,to read,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to read.

Question:  Who read, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to read.\n\nQuestion:  Who read, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to read.\n\nQuestion:  Who read, Avery or Casey?\nAnswer:  Avery\n\nContext: Avery')"
3,gpt_j,object-control-passive,Avery,Casey,False,told,to run,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to run.

Question:  Who ran, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to run.\n\nQuestion:  Who ran, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to run.\n\nQuestion:  Who ran, Avery or Casey?\nAnswer:  Avery\n\nContext: Avery')"
4,gpt_j,object-control-passive,Avery,Casey,False,told,to call,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to call.

Question:  Who called, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to call.\n\nQuestion:  Who called, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to call.\n\nQuestion:  Who called, Avery or Casey?\nAnswer:  Avery\n\nContext: Avery')"
5,gpt_j,object-control-passive,Avery,Casey,False,ordered,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was ordered by Casey to come.

Question:  Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was ordered by Casey to come.\n\nQuestion:  Who came, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was ordered by Casey to come.\n\nQuestion:  Who came, Avery or Casey?\nAnswer:  Avery\n\nContext: Avery')"
6,gpt_j,object-control-passive,Avery,Casey,False,ordered,to go,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was ordered by Casey to go.

Question:  Who went, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was ordered by Casey to go.\n\nQuestion:  Who went, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was ordered by Casey to go.\n\nQuestion:  Who went, Avery or Casey?\nAnswer:  Avery\n\nContext: Avery')"
7,gpt_j,object-control-passive,Avery,Casey,False,ordered,to read,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was ordered by Casey to read.

Question:  Who read, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was ordered by Casey to read.\n\nQuestion:  Who read, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was ordered by Casey to read.\n\nQuestion:  Who read, Avery or Casey?\nAnswer:  Avery\n\nContext: Avery')"
8,gpt_j,object-control-passive,Avery,Casey,False,ordered,to run,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was ordered by Casey to run.

Question:  Who ran, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was ordered by Casey to run.\n\nQuestion:  Who ran, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was ordered by Casey to run.\n\nQuestion:  Who ran, Avery or Casey?\nAnswer:  Avery\n\nContext: Avery')"
9,gpt_j,object-control-passive,Avery,Casey,False,ordered,to call,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was ordered by Casey to call.

Question:  Who called, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was ordered by Casey to call.\n\nQuestion:  Who called, Avery or Casey?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was ordered by Casey to call.\n\nQuestion:  Who called, Avery or Casey?\nAnswer:  Avery\n\nContext: Avery')"
