,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt_neo_2.7b,subject-control,Avery,Casey,True,threatened,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to come.

Question: Who came, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to come.\n\nQuestion: Who came, Avery or Casey?\nAnswer:                                                     ')",0.0
1,gpt_neo_2.7b,subject-control,Avery,Casey,False,threatened,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to come.

Question: Who came, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to come.\n\nQuestion: Who came, Avery or Casey?\nAnswer:                                                     ')",1.0
2,gpt_neo_2.7b,subject-control,Avery,Casey,True,threatened,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery threatened Casey to go.

Question: Who went, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery threatened Casey to go.\n\nQuestion: Who went, Casey or Avery?\nAnswer: \n\nA:\n\nYou can use the following:\n\nCasey\nAvery\n\nA:\n\nYou can use the following:\n\nCasey\nAvery\n\nA:\n\nYou can use the following:\n\n')",2.0
3,gpt_neo_2.7b,subject-control,Avery,Casey,False,threatened,to go,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to go.

Question: Who went, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to go.\n\nQuestion: Who went, Avery or Casey?\nAnswer:                                                     ')",3.0
4,gpt_neo_2.7b,subject-control,Avery,Casey,True,threatened,to read,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to read.

Question: Who read, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to read.\n\nQuestion: Who read, Avery or Casey?\nAnswer:                                                     ')",4.0
5,gpt_neo_2.7b,subject-control,Avery,Casey,False,threatened,to read,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to read.

Question: Who read, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to read.\n\nQuestion: Who read, Avery or Casey?\nAnswer:                                                     ')",5.0
6,gpt_neo_2.7b,subject-control,Avery,Casey,True,threatened,to run,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to run.

Question: Who ran, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran, Avery or Casey?\nAnswer:                                                     ')",6.0
7,gpt_neo_2.7b,subject-control,Avery,Casey,False,threatened,to run,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to run.

Question: Who ran, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran, Avery or Casey?\nAnswer:                                                     ')",7.0
8,gpt_neo_2.7b,subject-control,Avery,Casey,True,threatened,to call,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery threatened Casey to call.

Question: Who called, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery threatened Casey to call.\n\nQuestion: Who called, Casey or Avery?\nAnswer:                                                     ')",8.0
9,gpt_neo_2.7b,subject-control,Avery,Casey,False,threatened,to call,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to call.

Question: Who called, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to call.\n\nQuestion: Who called, Avery or Casey?\nAnswer:                                                     ')",9.0
10,gpt_neo_2.7b,subject-control,Avery,Casey,True,offered,to come,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery offered Casey to come.

Question: Who came, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery offered Casey to come.\n\nQuestion: Who came, Casey or Avery?\nAnswer:  Casey.\n\nA:\n\nThe answer is:\n\nCasey\n\nThe question is:\n\nWho came, Casey or Avery?\n\nThe answer is:\n\nCasey\n\nThe question is:\n\nWho came,')",10.0
11,gpt_neo_2.7b,subject-control,Avery,Casey,False,offered,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to come.

Question: Who came, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to come.\n\nQuestion: Who came, Avery or Casey?\nAnswer:                                                     ')",11.0
12,gpt_neo_2.7b,subject-control,Avery,Casey,True,offered,to go,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery offered Casey to go.

Question: Who went, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery offered Casey to go.\n\nQuestion: Who went, Casey or Avery?\nAnswer:  Casey.\n\nA:\n\nThe answer is:\n\nCasey\n\nThe question is:\n\nWho went, Casey or Avery?\n\nCasey went.\n\nA:\n\nThe answer is:\n\nCasey\n')",12.0
13,gpt_neo_2.7b,subject-control,Avery,Casey,False,offered,to go,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to go.

Question: Who went, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to go.\n\nQuestion: Who went, Avery or Casey?\nAnswer:                                                     ')",13.0
14,gpt_neo_2.7b,subject-control,Avery,Casey,True,offered,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to read.

Question: Who read, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to read.\n\nQuestion: Who read, Avery or Casey?\nAnswer: \n\nA:\n\nThe answer is:\n\nA:\n\nThe answer is:\n\nA:\n\nThe answer is:\n\nA:\n\nThe answer is:\n\nA:\n\nThe answer is:\n\n')",14.0
15,gpt_neo_2.7b,subject-control,Avery,Casey,False,offered,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to read.

Question: Who read, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to read.\n\nQuestion: Who read, Avery or Casey?\nAnswer: \n\nA:\n\nThe answer is:\n\nA:\n\nThe answer is:\n\nA:\n\nThe answer is:\n\nA:\n\nThe answer is:\n\nA:\n\nThe answer is:\n\n')",15.0
16,gpt_neo_2.7b,subject-control,Avery,Casey,True,offered,to run,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery offered Casey to run.

Question: Who ran, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery offered Casey to run.\n\nQuestion: Who ran, Casey or Avery?\nAnswer:  Casey ran.\n\nA:\n\nThe answer is:\n\nCasey ran.\n\nThe answer is given in the context of the question.\n\nA:\n\nThe answer is:\n\nCasey ran.\n\nThe answer')",16.0
17,gpt_neo_2.7b,subject-control,Avery,Casey,False,offered,to run,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to run.

Question: Who ran, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to run.\n\nQuestion: Who ran, Avery or Casey?\nAnswer:                                                     ')",17.0
18,gpt_neo_2.7b,subject-control,Avery,Casey,True,offered,to call,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery offered Casey to call.

Question: Who called, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery offered Casey to call.\n\nQuestion: Who called, Casey or Avery?\nAnswer:                                                     ')",18.0
19,gpt_neo_2.7b,subject-control,Avery,Casey,False,offered,to call,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to call.

Question: Who called, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to call.\n\nQuestion: Who called, Avery or Casey?\nAnswer:                                                     ')",19.0
20,gpt_neo_2.7b,subject-control,Avery,Joseph,True,threatened,to come,Avery,Joseph,"You will be given a context and a question. Answer the question with either ""Joseph"" or ""Avery"".
Context: Avery threatened Joseph to come.

Question: Who came, Joseph or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Joseph"" or ""Avery"".\nContext: Avery threatened Joseph to come.\n\nQuestion: Who came, Joseph or Avery?\nAnswer:  Joseph.\n\nA:\n\nThe answer is:\n\n Joseph\n\nReasoning:\n\n The question is asking for the answer to the question ""Who came, Joseph or Avery?""\n The answer is ""Joseph"" because the question is asking for the answer')",20.0
21,gpt_neo_2.7b,subject-control,Avery,Joseph,False,threatened,to come,Avery,Joseph,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to come.

Question: Who came, Avery or Joseph?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery threatened Joseph to come.\n\nQuestion: Who came, Avery or Joseph?\nAnswer:  Joseph.\n\nA:\n\nThe answer is:\n\n Joseph\n\nReasoning:\n\n The question is asking for the answer to the question ""Who came, Avery or Joseph?""\n The answer is ""Joseph""\n\nA:\n\nThe answer')",21.0
