,model,exp_type,prompt,pred,true,response
0,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: """" You say , ' wow ! '""
Question: In the event ""say"", does the participant ""You"" act with volition?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  """"  You  say  ,"
1,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""We believe it addresses many of the issues and concerns you have raised in the workshops .""
Question: In the event ""raised"", does the participant ""you"" act with volition?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" We  believe  it"
2,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""The first time I used them they arrived on time and towed car for me to the destination I needed .""
Question: In the event ""towed"", does the participant ""car"" act with volition?
Answer: 
",other,No,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" The  first  time"
3,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Debbie said , it is going to be hard on me to sale my old dodge truck .""
Question: In the event ""sale"", does the participant ""truck"" act with volition?
Answer: 
",other,No,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" Deb bie  said"
4,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""they have their own website which you can easily find using any search engine .""
Question: In the event ""have"", does the participant ""website"" act with volition?
Answer: 
",other,No,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" the  dog  was"
5,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Newer semi-automatic wangs have a rail built into the receiver under the shaft .""
Question: In the event ""have"", does the participant ""wangs"" act with volition?
Answer: 
",other,No,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" New er  semi"
6,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""I think 90 percent of the tenants are smokers !""
Question: In the event ""think"", does the participant ""I"" act with volition?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" I  think  90"
7,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""He described Allawi 's face as that of a f*ed horse and he dismissed the whole government as a band of thieves and traitors .""
Question: In the event ""described"", does the participant ""face"" act with volition?
Answer: 
",other,No,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" He  described  All"
8,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Olympus X - 940 14 Megapixel Digital Camera has filters and can do all sorts of special effects .""
Question: In the event ""has"", does the participant ""Camera"" act with volition?
Answer: 
",other,No,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" O lymp us"
9,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""My first three children were born in Southern Ontario cities .""
Question: In the event ""born"", does the participant ""children"" act with volition?
Answer: 
",other,No,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" My  first  three"
10,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""The last wolf was killed in Yellowstone National Park in 1943 .""
Question: In the event ""killed"", does the participant ""wolf"" act with volition?
Answer: 
",other,No,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" The  last  wolf"
11,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""They showed some kids on TV , and they were quite taken with it .""
Question: In the event ""showed"", does the participant ""They"" act with volition?
Answer: 
",other,Yes,"Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" They  showed  some"
