,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,t0,subject-control,Avery,Casey,True,threatened,to come,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to come.\n\nQuestion: Who came?\nAnswer: ', {'Avery': array(0.9014, dtype=float16), 'Casey': array(1.414, dtype=float16)})"
1,t0,subject-control,Avery,Casey,False,threatened,to come,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to come.\n\nQuestion: Who came?\nAnswer: ', {'Avery': array(0.9014, dtype=float16), 'Casey': array(1.414, dtype=float16)})"
2,t0,subject-control,Avery,Casey,True,threatened,to go,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to go.\n\nQuestion: Who went?\nAnswer: ', {'Avery': array(0.3972, dtype=float16), 'Casey': array(1.239, dtype=float16)})"
3,t0,subject-control,Avery,Casey,False,threatened,to go,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to go.\n\nQuestion: Who went?\nAnswer: ', {'Avery': array(0.3972, dtype=float16), 'Casey': array(1.239, dtype=float16)})"
4,t0,subject-control,Avery,Casey,True,threatened,to read,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to read.\n\nQuestion: Who read?\nAnswer: ', {'Avery': array(0.2172, dtype=float16), 'Casey': array(1.091, dtype=float16)})"
5,t0,subject-control,Avery,Casey,False,threatened,to read,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to read.\n\nQuestion: Who read?\nAnswer: ', {'Avery': array(0.2172, dtype=float16), 'Casey': array(1.091, dtype=float16)})"
6,t0,subject-control,Avery,Casey,True,threatened,to run,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran?\nAnswer: ', {'Avery': array(0.8237, dtype=float16), 'Casey': array(1.65, dtype=float16)})"
7,t0,subject-control,Avery,Casey,False,threatened,to run,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran?\nAnswer: ', {'Avery': array(0.8237, dtype=float16), 'Casey': array(1.65, dtype=float16)})"
8,t0,subject-control,Avery,Casey,True,threatened,to call,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to call.\n\nQuestion: Who called?\nAnswer: ', {'Avery': array(0.531, dtype=float16), 'Casey': array(0.753, dtype=float16)})"
9,t0,subject-control,Avery,Casey,False,threatened,to call,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to call.\n\nQuestion: Who called?\nAnswer: ', {'Avery': array(0.531, dtype=float16), 'Casey': array(0.753, dtype=float16)})"
10,t0,subject-control,Avery,Joseph,True,threatened,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Joseph to come.\n\nQuestion: Who came?\nAnswer: ', {'Avery': array(1.137, dtype=float16), 'Joseph': array(0.4556, dtype=float16)})"
11,t0,subject-control,Avery,Joseph,False,threatened,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Joseph to come.\n\nQuestion: Who came?\nAnswer: ', {'Avery': array(1.137, dtype=float16), 'Joseph': array(0.4556, dtype=float16)})"
12,t0,subject-control,Avery,Joseph,True,threatened,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Joseph to go.\n\nQuestion: Who went?\nAnswer: ', {'Avery': array(0.504, dtype=float16), 'Joseph': array(0.1276, dtype=float16)})"
13,t0,subject-control,Avery,Joseph,False,threatened,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Joseph to go.\n\nQuestion: Who went?\nAnswer: ', {'Avery': array(0.504, dtype=float16), 'Joseph': array(0.1276, dtype=float16)})"
14,t0,subject-control,Avery,Joseph,True,threatened,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Joseph to read.\n\nQuestion: Who read?\nAnswer: ', {'Avery': array(0.2876, dtype=float16), 'Joseph': array(-0.4614, dtype=float16)})"
15,t0,subject-control,Avery,Joseph,False,threatened,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Joseph to read.\n\nQuestion: Who read?\nAnswer: ', {'Avery': array(0.2876, dtype=float16), 'Joseph': array(-0.4614, dtype=float16)})"
16,t0,subject-control,Avery,Joseph,True,threatened,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Joseph to run.\n\nQuestion: Who ran?\nAnswer: ', {'Avery': array(0.8145, dtype=float16), 'Joseph': array(0.566, dtype=float16)})"
17,t0,subject-control,Avery,Joseph,False,threatened,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Joseph to run.\n\nQuestion: Who ran?\nAnswer: ', {'Avery': array(0.8145, dtype=float16), 'Joseph': array(0.566, dtype=float16)})"
18,t0,subject-control,Avery,Joseph,True,threatened,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Joseph to call.\n\nQuestion: Who called?\nAnswer: ', {'Avery': array(0.7046, dtype=float16), 'Joseph': array(-0.5967, dtype=float16)})"
19,t0,subject-control,Avery,Joseph,False,threatened,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Joseph to call.\n\nQuestion: Who called?\nAnswer: ', {'Avery': array(0.7046, dtype=float16), 'Joseph': array(-0.5967, dtype=float16)})"
20,t0,subject-control,Avery,Nicole,True,threatened,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Nicole to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Nicole to come.\n\nQuestion: Who came?\nAnswer: ', {'Avery': array(0.6753, dtype=float16), 'Nicole': array(0.5835, dtype=float16)})"
21,t0,subject-control,Avery,Nicole,False,threatened,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Nicole to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Nicole to come.\n\nQuestion: Who came?\nAnswer: ', {'Avery': array(0.6753, dtype=float16), 'Nicole': array(0.5835, dtype=float16)})"
22,t0,subject-control,Avery,Nicole,True,threatened,to go,Avery,Nicole,"You will be given a context and a question.
Context: Avery threatened Nicole to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Nicole to go.\n\nQuestion: Who went?\nAnswer: ', {'Avery': array(0.1799, dtype=float16), 'Nicole': array(0.3425, dtype=float16)})"
23,t0,subject-control,Avery,Nicole,False,threatened,to go,Avery,Nicole,"You will be given a context and a question.
Context: Avery threatened Nicole to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Nicole to go.\n\nQuestion: Who went?\nAnswer: ', {'Avery': array(0.1799, dtype=float16), 'Nicole': array(0.3425, dtype=float16)})"
24,t0,subject-control,Avery,Nicole,True,threatened,to read,Avery,Nicole,"You will be given a context and a question.
Context: Avery threatened Nicole to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Nicole to read.\n\nQuestion: Who read?\nAnswer: ', {'Avery': array(-0.1184, dtype=float16), 'Nicole': array(0.54, dtype=float16)})"
25,t0,subject-control,Avery,Nicole,False,threatened,to read,Avery,Nicole,"You will be given a context and a question.
Context: Avery threatened Nicole to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Nicole to read.\n\nQuestion: Who read?\nAnswer: ', {'Avery': array(-0.1184, dtype=float16), 'Nicole': array(0.54, dtype=float16)})"
26,t0,subject-control,Avery,Nicole,True,threatened,to run,Avery,Nicole,"You will be given a context and a question.
Context: Avery threatened Nicole to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Nicole to run.\n\nQuestion: Who ran?\nAnswer: ', {'Avery': array(0.578, dtype=float16), 'Nicole': array(1.016, dtype=float16)})"
27,t0,subject-control,Avery,Nicole,False,threatened,to run,Avery,Nicole,"You will be given a context and a question.
Context: Avery threatened Nicole to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Nicole to run.\n\nQuestion: Who ran?\nAnswer: ', {'Avery': array(0.578, dtype=float16), 'Nicole': array(1.016, dtype=float16)})"
28,t0,subject-control,Avery,Nicole,True,threatened,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Nicole to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Nicole to call.\n\nQuestion: Who called?\nAnswer: ', {'Avery': array(0.2761, dtype=float16), 'Nicole': array(0.02248, dtype=float16)})"
29,t0,subject-control,Avery,Nicole,False,threatened,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Nicole to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Nicole to call.\n\nQuestion: Who called?\nAnswer: ', {'Avery': array(0.2761, dtype=float16), 'Nicole': array(0.02248, dtype=float16)})"
30,t0,subject-control,Avery,Stephanie,True,threatened,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Stephanie to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Stephanie to come.\n\nQuestion: Who came?\nAnswer: ', {'Avery': array(1.0205, dtype=float16), 'Stephanie': array(0.3933, dtype=float16)})"
31,t0,subject-control,Avery,Stephanie,False,threatened,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Stephanie to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Stephanie to come.\n\nQuestion: Who came?\nAnswer: ', {'Avery': array(1.0205, dtype=float16), 'Stephanie': array(0.3933, dtype=float16)})"
