,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt3,subject-control,Avery,Casey,False,promised,to come,Avery,other,"You will be given a context and a question.
Context: Avery promised Casey to come.

Question:  Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to come.\n\nQuestion:  Who came?\nAnswer: ', ' came')",0.0
1,gpt3,subject-control,Avery,Casey,False,promised,to go,Avery,other,"You will be given a context and a question.
Context: Avery promised Casey to go.

Question:  Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to go.\n\nQuestion:  Who went?\nAnswer: ', ' went')",1.0
2,gpt3,subject-control,Avery,Casey,False,promised,to read,Avery,other,"You will be given a context and a question.
Context: Avery promised Casey to read.

Question:  Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to read.\n\nQuestion:  Who read?\nAnswer: ', ' read')",2.0
3,gpt3,subject-control,Avery,Casey,False,promised,to run,Avery,other,"You will be given a context and a question.
Context: Avery promised Casey to run.

Question:  Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to run.\n\nQuestion:  Who ran?\nAnswer: ', ' ran')",3.0
4,gpt3,subject-control,Avery,Casey,False,promised,to call,Avery,other,"You will be given a context and a question.
Context: Avery promised Casey to call.

Question:  Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to call.\n\nQuestion:  Who called?\nAnswer: ', ' called')",4.0
5,gpt3,subject-control,Avery,Joseph,False,promised,to come,Avery,Joseph,"You will be given a context and a question.
Context: Avery promised Joseph to come.

Question:  Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to come.\n\nQuestion:  Who came?\nAnswer: ', 'Joseph')",5.0
6,gpt3,subject-control,Avery,Joseph,False,promised,to go,Avery,other,"You will be given a context and a question.
Context: Avery promised Joseph to go.

Question:  Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to go.\n\nQuestion:  Who went?\nAnswer: ', ' went')",6.0
7,gpt3,subject-control,Avery,Joseph,False,promised,to read,Avery,other,"You will be given a context and a question.
Context: Avery promised Joseph to read.

Question:  Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to read.\n\nQuestion:  Who read?\nAnswer: ', ' read')",7.0
8,gpt3,subject-control,Avery,Joseph,False,promised,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Joseph to run.

Question:  Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to run.\n\nQuestion:  Who ran?\nAnswer: ', 'A')",8.0
9,gpt3,subject-control,Avery,Joseph,False,promised,to call,Avery,other,"You will be given a context and a question.
Context: Avery promised Joseph to call.

Question:  Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to call.\n\nQuestion:  Who called?\nAnswer: ', ' called')",9.0
10,gpt3,subject-control,Avery,Nicole,False,promised,to come,Avery,other,"You will be given a context and a question.
Context: Avery promised Nicole to come.

Question:  Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to come.\n\nQuestion:  Who came?\nAnswer: ', ' came')",10.0
11,gpt3,subject-control,Avery,Nicole,False,promised,to go,Avery,other,"You will be given a context and a question.
Context: Avery promised Nicole to go.

Question:  Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to go.\n\nQuestion:  Who went?\nAnswer: ', ' went')",11.0
12,gpt3,subject-control,Avery,Nicole,False,promised,to read,Avery,other,"You will be given a context and a question.
Context: Avery promised Nicole to read.

Question:  Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to read.\n\nQuestion:  Who read?\nAnswer: ', ' read')",12.0
