,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,t5,object-control-passive,Tom,Mary,False,told,to leave,Tom,other,question: Who left? context: Tom was told by Mary to leave. </s>,"('question: Who left? context: Tom was told by Mary to leave. </s>', {'error': 'Model valhalla/t5-base-qa-qg-hl is currently loading', 'estimated_time': 35.664503399999994})"
1,t5,object-control-passive,Tom,Mary,False,told,to call home,Tom,other,question: Who called home? context: Tom was told by Mary to call home. </s>,"('question: Who called home? context: Tom was told by Mary to call home. </s>', {'error': 'Model valhalla/t5-base-qa-qg-hl is currently loading', 'estimated_time': 35.664503399999994})"
2,t5,object-control-passive,Tom,Mary,False,told,to reply,Tom,other,question: Who replied? context: Tom was told by Mary to reply. </s>,"('question: Who replied? context: Tom was told by Mary to reply. </s>', {'error': 'Model valhalla/t5-base-qa-qg-hl is currently loading', 'estimated_time': 35.664503399999994})"
3,t5,object-control-passive,Tom,Mary,False,told,to wipe the counter,Tom,other,question: Who wiped the counter? context: Tom was told by Mary to wipe the counter. </s>,"('question: Who wiped the counter? context: Tom was told by Mary to wipe the counter. </s>', {'error': 'Model valhalla/t5-base-qa-qg-hl is currently loading', 'estimated_time': 35.664503399999994})"
4,t5,object-control-passive,Tom,Mary,False,told,to dance,Tom,other,question: Who danced? context: Tom was told by Mary to dance. </s>,"('question: Who danced? context: Tom was told by Mary to dance. </s>', {'error': 'Model valhalla/t5-base-qa-qg-hl is currently loading', 'estimated_time': 35.664503399999994})"
5,t5,object-control-passive,Tom,Mary,False,ordered,to leave,Tom,other,question: Who left? context: Tom was ordered by Mary to leave. </s>,"('question: Who left? context: Tom was ordered by Mary to leave. </s>', {'error': 'Model valhalla/t5-base-qa-qg-hl is currently loading', 'estimated_time': 35.664503399999994})"
6,t5,object-control-passive,Tom,Mary,False,ordered,to call home,Tom,other,question: Who called home? context: Tom was ordered by Mary to call home. </s>,"('question: Who called home? context: Tom was ordered by Mary to call home. </s>', {'error': 'Model valhalla/t5-base-qa-qg-hl is currently loading', 'estimated_time': 35.664503399999994})"
7,t5,object-control-passive,Tom,Mary,False,ordered,to reply,Tom,other,question: Who replied? context: Tom was ordered by Mary to reply. </s>,"('question: Who replied? context: Tom was ordered by Mary to reply. </s>', {'error': 'Model valhalla/t5-base-qa-qg-hl is currently loading', 'estimated_time': 35.664503399999994})"
8,t5,object-control-passive,Tom,Mary,False,ordered,to wipe the counter,Tom,other,question: Who wiped the counter? context: Tom was ordered by Mary to wipe the counter. </s>,"('question: Who wiped the counter? context: Tom was ordered by Mary to wipe the counter. </s>', {'error': 'Model valhalla/t5-base-qa-qg-hl is currently loading', 'estimated_time': 35.664503399999994})"
9,t5,object-control-passive,Tom,Mary,False,ordered,to dance,Tom,other,question: Who danced? context: Tom was ordered by Mary to dance. </s>,"('question: Who danced? context: Tom was ordered by Mary to dance. </s>', {'error': 'Model valhalla/t5-base-qa-qg-hl is currently loading', 'estimated_time': 35.664503399999994})"
