,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,t5,object-control-passive,Avery,Casey,True,told,to come,Avery,Avery,question: Who came? context: Avery was told by Casey to come. </s>,"('question: Who came? context: Avery was told by Casey to come. </s>', 'Avery')"
1,t5,object-control-passive,Avery,Casey,False,told,to come,Avery,Avery,question: Who came? context: Avery was told by Casey to come. </s>,"('question: Who came? context: Avery was told by Casey to come. </s>', 'Avery')"
2,t5,object-control-passive,Avery,Casey,True,told,to go,Avery,Avery,question: Who went? context: Avery was told by Casey to go. </s>,"('question: Who went? context: Avery was told by Casey to go. </s>', 'Avery')"
3,t5,object-control-passive,Avery,Casey,False,told,to go,Avery,Avery,question: Who went? context: Avery was told by Casey to go. </s>,"('question: Who went? context: Avery was told by Casey to go. </s>', 'Avery')"
4,t5,object-control-passive,Avery,Casey,True,told,to read,Avery,Avery,question: Who read? context: Avery was told by Casey to read. </s>,"('question: Who read? context: Avery was told by Casey to read. </s>', 'Avery')"
5,t5,object-control-passive,Avery,Casey,False,told,to read,Avery,Avery,question: Who read? context: Avery was told by Casey to read. </s>,"('question: Who read? context: Avery was told by Casey to read. </s>', 'Avery')"
6,t5,object-control-passive,Avery,Casey,True,told,to run,Avery,Avery,question: Who ran? context: Avery was told by Casey to run. </s>,"('question: Who ran? context: Avery was told by Casey to run. </s>', 'Avery')"
7,t5,object-control-passive,Avery,Casey,False,told,to run,Avery,Avery,question: Who ran? context: Avery was told by Casey to run. </s>,"('question: Who ran? context: Avery was told by Casey to run. </s>', 'Avery')"
8,t5,object-control-passive,Avery,Casey,True,told,to call,Avery,Avery,question: Who called? context: Avery was told by Casey to call. </s>,"('question: Who called? context: Avery was told by Casey to call. </s>', 'Avery')"
9,t5,object-control-passive,Avery,Casey,False,told,to call,Avery,Avery,question: Who called? context: Avery was told by Casey to call. </s>,"('question: Who called? context: Avery was told by Casey to call. </s>', 'Avery')"
10,t5,object-control-passive,Avery,Casey,True,ordered,to come,Avery,Avery,question: Who came? context: Avery was ordered by Casey to come. </s>,"('question: Who came? context: Avery was ordered by Casey to come. </s>', 'Avery')"
11,t5,object-control-passive,Avery,Casey,False,ordered,to come,Avery,Avery,question: Who came? context: Avery was ordered by Casey to come. </s>,"('question: Who came? context: Avery was ordered by Casey to come. </s>', 'Avery')"
12,t5,object-control-passive,Avery,Casey,True,ordered,to go,Avery,Avery,question: Who went? context: Avery was ordered by Casey to go. </s>,"('question: Who went? context: Avery was ordered by Casey to go. </s>', 'Avery')"
13,t5,object-control-passive,Avery,Casey,False,ordered,to go,Avery,Avery,question: Who went? context: Avery was ordered by Casey to go. </s>,"('question: Who went? context: Avery was ordered by Casey to go. </s>', 'Avery')"
14,t5,object-control-passive,Avery,Casey,True,ordered,to read,Avery,Avery,question: Who read? context: Avery was ordered by Casey to read. </s>,"('question: Who read? context: Avery was ordered by Casey to read. </s>', 'Avery')"
