,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt3,object-control,Avery,Casey,False,told,to come,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to come.

Question: Who was told to come?
Answer: Casey
Question: Who told someone to come?
Answer: Avery
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who was told to come?\nAnswer: Casey\nQuestion: Who told someone to come?\nAnswer: Avery\nQuestion: Who came?\nAnswer: ', 'Case')",0.0
1,gpt3,object-control,Avery,Casey,False,told,to go,Casey,other,"You will be given a context and a question.
Context: Avery told Casey to go.

Question: Who was told to go?
Answer: Casey
Question: Who told someone to go?
Answer: Avery
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who was told to go?\nAnswer: Casey\nQuestion: Who told someone to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: ', 'Question')",1.0
2,gpt3,object-control,Avery,Casey,False,told,to read,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to read.

Question: Who told someone to read?
Answer: Avery
Question: Who was told to read?
Answer: Casey
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: Avery\nQuestion: Who was told to read?\nAnswer: Casey\nQuestion: Who read?\nAnswer: ', 'Case')",2.0
3,gpt3,object-control,Avery,Casey,False,told,to run,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to run.

Question: Who was told to run?
Answer: Casey
Question: Who told someone to run?
Answer: Avery
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who was told to run?\nAnswer: Casey\nQuestion: Who told someone to run?\nAnswer: Avery\nQuestion: Who ran?\nAnswer: ', 'Case')",3.0
4,gpt3,object-control,Avery,Casey,False,told,to call,Casey,other,"You will be given a context and a question.
Context: Avery told Casey to call.

Question: Who was told to call?
Answer: Casey
Question: Who told someone to call?
Answer: Avery
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who was told to call?\nAnswer: Casey\nQuestion: Who told someone to call?\nAnswer: Avery\nQuestion: Who called?\nAnswer: ', 'Question')",4.0
5,gpt3,object-control,Avery,Casey,False,ordered,to come,Casey,Casey,"You will be given a context and a question.
Context: Avery ordered Casey to come.

Question: Who ordered someone to come?
Answer: Avery
Question: Who was ordered to come?
Answer: Casey
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery ordered Casey to come.\n\nQuestion: Who ordered someone to come?\nAnswer: Avery\nQuestion: Who was ordered to come?\nAnswer: Casey\nQuestion: Who came?\nAnswer: ', 'Case')",5.0
6,gpt3,object-control,Avery,Casey,False,ordered,to go,Casey,Casey,"You will be given a context and a question.
Context: Avery ordered Casey to go.

Question: Who was ordered to go?
Answer: Casey
Question: Who ordered someone to go?
Answer: Avery
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery ordered Casey to go.\n\nQuestion: Who was ordered to go?\nAnswer: Casey\nQuestion: Who ordered someone to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: ', 'Case')",6.0
7,gpt3,object-control,Avery,Casey,False,ordered,to read,Casey,Casey,"You will be given a context and a question.
Context: Avery ordered Casey to read.

Question: Who was ordered to read?
Answer: Casey
Question: Who ordered someone to read?
Answer: Avery
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery ordered Casey to read.\n\nQuestion: Who was ordered to read?\nAnswer: Casey\nQuestion: Who ordered someone to read?\nAnswer: Avery\nQuestion: Who read?\nAnswer: ', 'Case')",7.0
8,gpt3,object-control,Avery,Casey,False,ordered,to run,Casey,Casey,"You will be given a context and a question.
Context: Avery ordered Casey to run.

Question: Who ordered someone to run?
Answer: Avery
Question: Who was ordered to run?
Answer: Casey
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery ordered Casey to run.\n\nQuestion: Who ordered someone to run?\nAnswer: Avery\nQuestion: Who was ordered to run?\nAnswer: Casey\nQuestion: Who ran?\nAnswer: ', 'Case')",8.0
9,gpt3,object-control,Avery,Casey,False,ordered,to call,Casey,other,"You will be given a context and a question.
Context: Avery ordered Casey to call.

Question: Who ordered someone to call?
Answer: Avery
Question: Who was ordered to call?
Answer: Casey
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery ordered Casey to call.\n\nQuestion: Who ordered someone to call?\nAnswer: Avery\nQuestion: Who was ordered to call?\nAnswer: Casey\nQuestion: Who called?\nAnswer: ', '\n')",9.0
10,gpt3,object-control,Avery,Casey,False,called upon,to come,Casey,Casey,"You will be given a context and a question.
Context: Avery called upon Casey to come.

Question: Who called upon someone to come?
Answer: Avery
Question: Who was called upon to come?
Answer: Casey
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery called upon Casey to come.\n\nQuestion: Who called upon someone to come?\nAnswer: Avery\nQuestion: Who was called upon to come?\nAnswer: Casey\nQuestion: Who came?\nAnswer: ', 'Case')",10.0
11,gpt3,object-control,Avery,Casey,False,called upon,to go,Casey,other,"You will be given a context and a question.
Context: Avery called upon Casey to go.

Question: Who was called upon to go?
Answer: Casey
Question: Who called upon someone to go?
Answer: Avery
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery called upon Casey to go.\n\nQuestion: Who was called upon to go?\nAnswer: Casey\nQuestion: Who called upon someone to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: ', 'Question')",11.0
12,gpt3,object-control,Avery,Casey,False,called upon,to read,Casey,Casey,"You will be given a context and a question.
Context: Avery called upon Casey to read.

Question: Who called upon someone to read?
Answer: Avery
Question: Who was called upon to read?
Answer: Casey
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery called upon Casey to read.\n\nQuestion: Who called upon someone to read?\nAnswer: Avery\nQuestion: Who was called upon to read?\nAnswer: Casey\nQuestion: Who read?\nAnswer: ', 'Case')",12.0
13,gpt3,object-control,Avery,Casey,False,called upon,to run,Casey,Casey,"You will be given a context and a question.
Context: Avery called upon Casey to run.

Question: Who was called upon to run?
Answer: Casey
Question: Who called upon someone to run?
Answer: Avery
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery called upon Casey to run.\n\nQuestion: Who was called upon to run?\nAnswer: Casey\nQuestion: Who called upon someone to run?\nAnswer: Avery\nQuestion: Who ran?\nAnswer: ', 'Case')",13.0
14,gpt3,object-control,Avery,Casey,False,called upon,to call,Casey,other,"You will be given a context and a question.
Context: Avery called upon Casey to call.

Question: Who was called upon to call?
Answer: Casey
Question: Who called upon someone to call?
Answer: Avery
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery called upon Casey to call.\n\nQuestion: Who was called upon to call?\nAnswer: Casey\nQuestion: Who called upon someone to call?\nAnswer: Avery\nQuestion: Who called?\nAnswer: ', 'Question')",14.0
15,gpt3,object-control,Avery,Casey,False,reminded,to come,Casey,other,"You will be given a context and a question.
Context: Avery reminded Casey to come.

Question: Who was reminded to come?
Answer: Casey
Question: Who reminded someone to come?
Answer: Avery
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery reminded Casey to come.\n\nQuestion: Who was reminded to come?\nAnswer: Casey\nQuestion: Who reminded someone to come?\nAnswer: Avery\nQuestion: Who came?\nAnswer: ', 'Question')",15.0
16,gpt3,object-control,Avery,Casey,False,reminded,to go,Casey,other,"You will be given a context and a question.
Context: Avery reminded Casey to go.

Question: Who reminded someone to go?
Answer: Avery
Question: Who was reminded to go?
Answer: Casey
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery reminded Casey to go.\n\nQuestion: Who reminded someone to go?\nAnswer: Avery\nQuestion: Who was reminded to go?\nAnswer: Casey\nQuestion: Who went?\nAnswer: ', 'Question')",16.0
17,gpt3,object-control,Avery,Casey,False,reminded,to read,Casey,other,"You will be given a context and a question.
Context: Avery reminded Casey to read.

Question: Who was reminded to read?
Answer: Casey
Question: Who reminded someone to read?
Answer: Avery
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery reminded Casey to read.\n\nQuestion: Who was reminded to read?\nAnswer: Casey\nQuestion: Who reminded someone to read?\nAnswer: Avery\nQuestion: Who read?\nAnswer: ', 'Question')",17.0
18,gpt3,object-control,Avery,Casey,False,reminded,to run,Casey,Casey,"You will be given a context and a question.
Context: Avery reminded Casey to run.

Question: Who reminded someone to run?
Answer: Avery
Question: Who was reminded to run?
Answer: Casey
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery reminded Casey to run.\n\nQuestion: Who reminded someone to run?\nAnswer: Avery\nQuestion: Who was reminded to run?\nAnswer: Casey\nQuestion: Who ran?\nAnswer: ', 'Case')",18.0
19,gpt3,object-control,Avery,Casey,False,reminded,to call,Casey,other,"You will be given a context and a question.
Context: Avery reminded Casey to call.

Question: Who reminded someone to call?
Answer: Avery
Question: Who was reminded to call?
Answer: Casey
Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery reminded Casey to call.\n\nQuestion: Who reminded someone to call?\nAnswer: Avery\nQuestion: Who was reminded to call?\nAnswer: Casey\nQuestion: Who called?\nAnswer: ', 'Question')",19.0
20,gpt3,object-control,Avery,Casey,False,urged,to come,Casey,Casey,"You will be given a context and a question.
Context: Avery urged Casey to come.

Question: Who urged someone to come?
Answer: Avery
Question: Who was urged to come?
Answer: Casey
Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery urged Casey to come.\n\nQuestion: Who urged someone to come?\nAnswer: Avery\nQuestion: Who was urged to come?\nAnswer: Casey\nQuestion: Who came?\nAnswer: ', 'Case')",20.0
21,gpt3,object-control,Avery,Casey,False,urged,to go,Casey,other,"You will be given a context and a question.
Context: Avery urged Casey to go.

Question: Who was urged to go?
Answer: Casey
Question: Who urged someone to go?
Answer: Avery
Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery urged Casey to go.\n\nQuestion: Who was urged to go?\nAnswer: Casey\nQuestion: Who urged someone to go?\nAnswer: Avery\nQuestion: Who went?\nAnswer: ', 'Question')",21.0
22,gpt3,object-control,Avery,Casey,False,urged,to read,Casey,Casey,"You will be given a context and a question.
Context: Avery urged Casey to read.

Question: Who urged someone to read?
Answer: Avery
Question: Who was urged to read?
Answer: Casey
Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery urged Casey to read.\n\nQuestion: Who urged someone to read?\nAnswer: Avery\nQuestion: Who was urged to read?\nAnswer: Casey\nQuestion: Who read?\nAnswer: ', 'Case')",22.0
23,gpt3,object-control,Avery,Casey,False,urged,to run,Casey,Casey,"You will be given a context and a question.
Context: Avery urged Casey to run.

Question: Who urged someone to run?
Answer: Avery
Question: Who was urged to run?
Answer: Casey
Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery urged Casey to run.\n\nQuestion: Who urged someone to run?\nAnswer: Avery\nQuestion: Who was urged to run?\nAnswer: Casey\nQuestion: Who ran?\nAnswer: ', 'Case')",23.0
