,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to come.

Question: Who was told to come??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who was told to come??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who was told to come??\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to come.\n\nThe question is:\n\n Who was told to come?\n\nA:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to come.\n\nThe question')",0.0
1,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to come.

Question: Who was told to come??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who was told to come??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who was told to come??\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to come.\n\nThe question is:\n\n Who was told to come?\n\nA:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to come.\n\nThe question')",1.0
2,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to go.

Question: Who was told to go??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who was told to go??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who was told to go??\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to go.\n\nThe question is:\n\n Who was told to go?\n\nA:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to go.\n\nThe question')",2.0
3,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to go.

Question: Who was told to go??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who was told to go??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who was told to go??\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to go.\n\nThe question is:\n\n Who was told to go?\n\nA:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to go.\n\nThe question')",3.0
4,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to read.

Question: Who was told to read??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who was told to read??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who was told to read??\nAnswer: \n\nCasey: \n\nAvery: \n\nCasey: \n\nAvery: \n\nCasey: \n\nAvery: \n\nCasey: \n\nAvery: \n\nCasey: \n\nAvery: \n\nCasey:')",4.0
5,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to read.

Question: Who was told to read??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who was told to read??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who was told to read??\nAnswer: \n\nCasey: \n\nAvery: \n\nCasey: \n\nAvery: \n\nCasey: \n\nAvery: \n\nCasey: \n\nAvery: \n\nCasey: \n\nAvery: \n\nCasey:')",5.0
6,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to run.

Question: Who was told to run??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who was told to run??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who was told to run??\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to run.\n\nThe question is:\n\n Who was told to run?\n\nA:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to run.\n\nThe question')",6.0
7,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to run.

Question: Who was told to run??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who was told to run??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who was told to run??\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to run.\n\nThe question is:\n\n Who was told to run?\n\nA:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to run.\n\nThe question')",7.0
8,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to call.

Question: Who was told to call??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who was told to call??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who was told to call??\nAnswer:                                                                  ')",8.0
9,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to call.

Question: Who was told to call??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who was told to call??\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who was told to call??\nAnswer:                                                                  ')",9.0
