,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt3,subject-control,Avery,Casey,False,promised,to come,Avery,other,"You will be given a context and a question.
Context: Avery promised Casey to come.

Question: Who was promised something??
Answer: Casey
Question: Who promised someone to come?
Answer: Avery
Question:  Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to come.\n\nQuestion: Who was promised something??\nAnswer: Casey\nQuestion: Who promised someone to come?\nAnswer: Avery\nQuestion:  Who came?\nAnswer: ', 'Question')"
1,gpt3,subject-control,Avery,Casey,False,promised,to go,Avery,other,"You will be given a context and a question.
Context: Avery promised Casey to go.

Question: Who was promised something??
Answer: Casey
Question: Who promised someone to go?
Answer: Avery
Question:  Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to go.\n\nQuestion: Who was promised something??\nAnswer: Casey\nQuestion: Who promised someone to go?\nAnswer: Avery\nQuestion:  Who went?\nAnswer: ', 'Question')"
2,gpt3,subject-control,Avery,Casey,False,promised,to read,Avery,other,"You will be given a context and a question.
Context: Avery promised Casey to read.

Question: Who promised someone to read?
Answer: Avery
Question: Who was promised something??
Answer: Casey
Question:  Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to read.\n\nQuestion: Who promised someone to read?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: Casey\nQuestion:  Who read?\nAnswer: ', '\n')"
3,gpt3,subject-control,Avery,Casey,False,promised,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Casey to run.

Question: Who was promised something??
Answer: Casey
Question: Who promised someone to run?
Answer: Avery
Question:  Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to run.\n\nQuestion: Who was promised something??\nAnswer: Casey\nQuestion: Who promised someone to run?\nAnswer: Avery\nQuestion:  Who ran?\nAnswer: ', 'A')"
4,gpt3,subject-control,Avery,Casey,False,promised,to call,Avery,other,"You will be given a context and a question.
Context: Avery promised Casey to call.

Question: Who was promised something??
Answer: Casey
Question: Who promised someone to call?
Answer: Avery
Question:  Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to call.\n\nQuestion: Who was promised something??\nAnswer: Casey\nQuestion: Who promised someone to call?\nAnswer: Avery\nQuestion:  Who called?\nAnswer: ', '\n')"
5,gpt3,subject-control,Avery,Joseph,False,promised,to come,Avery,other,"You will be given a context and a question.
Context: Avery promised Joseph to come.

Question: Who promised someone to come?
Answer: Avery
Question: Who was promised something??
Answer: Joseph
Question:  Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to come.\n\nQuestion: Who promised someone to come?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: Joseph\nQuestion:  Who came?\nAnswer: ', 'Question')"
6,gpt3,subject-control,Avery,Joseph,False,promised,to go,Avery,other,"You will be given a context and a question.
Context: Avery promised Joseph to go.

Question: Who was promised something??
Answer: Joseph
Question: Who promised someone to go?
Answer: Avery
Question:  Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to go.\n\nQuestion: Who was promised something??\nAnswer: Joseph\nQuestion: Who promised someone to go?\nAnswer: Avery\nQuestion:  Who went?\nAnswer: ', 'Question')"
7,gpt3,subject-control,Avery,Joseph,False,promised,to read,Avery,other,"You will be given a context and a question.
Context: Avery promised Joseph to read.

Question: Who was promised something??
Answer: Joseph
Question: Who promised someone to read?
Answer: Avery
Question:  Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to read.\n\nQuestion: Who was promised something??\nAnswer: Joseph\nQuestion: Who promised someone to read?\nAnswer: Avery\nQuestion:  Who read?\nAnswer: ', 'Question')"
8,gpt3,subject-control,Avery,Joseph,False,promised,to run,Avery,other,"You will be given a context and a question.
Context: Avery promised Joseph to run.

Question: Who promised someone to run?
Answer: Avery
Question: Who was promised something??
Answer: Joseph
Question:  Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to run.\n\nQuestion: Who promised someone to run?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: Joseph\nQuestion:  Who ran?\nAnswer: ', '\n')"
9,gpt3,subject-control,Avery,Joseph,False,promised,to call,Avery,other,"You will be given a context and a question.
Context: Avery promised Joseph to call.

Question: Who promised someone to call?
Answer: Avery
Question: Who was promised something??
Answer: Joseph
Question:  Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to call.\n\nQuestion: Who promised someone to call?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: Joseph\nQuestion:  Who called?\nAnswer: ', '\n')"
10,gpt3,subject-control,Avery,Nicole,False,promised,to come,Avery,other,"You will be given a context and a question.
Context: Avery promised Nicole to come.

Question: Who promised someone to come?
Answer: Avery
Question: Who was promised something??
Answer: Nicole
Question:  Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to come.\n\nQuestion: Who promised someone to come?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: Nicole\nQuestion:  Who came?\nAnswer: ', '\n')"
11,gpt3,subject-control,Avery,Nicole,False,promised,to go,Avery,other,"You will be given a context and a question.
Context: Avery promised Nicole to go.

Question: Who was promised something??
Answer: Nicole
Question: Who promised someone to go?
Answer: Avery
Question:  Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to go.\n\nQuestion: Who was promised something??\nAnswer: Nicole\nQuestion: Who promised someone to go?\nAnswer: Avery\nQuestion:  Who went?\nAnswer: ', 'Question')"
12,gpt3,subject-control,Avery,Nicole,False,promised,to read,Avery,other,"You will be given a context and a question.
Context: Avery promised Nicole to read.

Question: Who promised someone to read?
Answer: Avery
Question: Who was promised something??
Answer: Nicole
Question:  Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to read.\n\nQuestion: Who promised someone to read?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: Nicole\nQuestion:  Who read?\nAnswer: ', '\n')"
13,gpt3,subject-control,Avery,Nicole,False,promised,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to run.

Question: Who was promised something??
Answer: Nicole
Question: Who promised someone to run?
Answer: Avery
Question:  Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to run.\n\nQuestion: Who was promised something??\nAnswer: Nicole\nQuestion: Who promised someone to run?\nAnswer: Avery\nQuestion:  Who ran?\nAnswer: ', 'A')"
14,gpt3,subject-control,Avery,Nicole,False,promised,to call,Avery,other,"You will be given a context and a question.
Context: Avery promised Nicole to call.

Question: Who was promised something??
Answer: Nicole
Question: Who promised someone to call?
Answer: Avery
Question:  Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to call.\n\nQuestion: Who was promised something??\nAnswer: Nicole\nQuestion: Who promised someone to call?\nAnswer: Avery\nQuestion:  Who called?\nAnswer: ', '\n')"
15,gpt3,subject-control,Avery,Stephanie,False,promised,to come,Avery,other,"You will be given a context and a question.
Context: Avery promised Stephanie to come.

Question: Who was promised something??
Answer: Stephanie
Question: Who promised someone to come?
Answer: Avery
Question:  Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Stephanie to come.\n\nQuestion: Who was promised something??\nAnswer: Stephanie\nQuestion: Who promised someone to come?\nAnswer: Avery\nQuestion:  Who came?\nAnswer: ', 'Question')"
16,gpt3,subject-control,Avery,Stephanie,False,promised,to go,Avery,other,"You will be given a context and a question.
Context: Avery promised Stephanie to go.

Question: Who promised someone to go?
Answer: Avery
Question: Who was promised something??
Answer: Stephanie
Question:  Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Stephanie to go.\n\nQuestion: Who promised someone to go?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: Stephanie\nQuestion:  Who went?\nAnswer: ', '\n')"
17,gpt3,subject-control,Avery,Stephanie,False,promised,to read,Avery,other,"You will be given a context and a question.
Context: Avery promised Stephanie to read.

Question: Who was promised something??
Answer: Stephanie
Question: Who promised someone to read?
Answer: Avery
Question:  Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Stephanie to read.\n\nQuestion: Who was promised something??\nAnswer: Stephanie\nQuestion: Who promised someone to read?\nAnswer: Avery\nQuestion:  Who read?\nAnswer: ', '\n')"
18,gpt3,subject-control,Avery,Stephanie,False,promised,to run,Avery,other,"You will be given a context and a question.
Context: Avery promised Stephanie to run.

Question: Who promised someone to run?
Answer: Avery
Question: Who was promised something??
Answer: Stephanie
Question:  Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Stephanie to run.\n\nQuestion: Who promised someone to run?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: Stephanie\nQuestion:  Who ran?\nAnswer: ', '\n')"
19,gpt3,subject-control,Avery,Stephanie,False,promised,to call,Avery,other,"You will be given a context and a question.
Context: Avery promised Stephanie to call.

Question: Who promised someone to call?
Answer: Avery
Question: Who was promised something??
Answer: Stephanie
Question:  Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Stephanie to call.\n\nQuestion: Who promised someone to call?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: Stephanie\nQuestion:  Who called?\nAnswer: ', '\n')"
20,gpt3,subject-control,Avery,William,False,promised,to come,Avery,other,"You will be given a context and a question.
Context: Avery promised William to come.

Question: Who promised someone to come?
Answer: Avery
Question: Who was promised something??
Answer: William
Question:  Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery promised William to come.\n\nQuestion: Who promised someone to come?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: William\nQuestion:  Who came?\nAnswer: ', '\n')"
21,gpt3,subject-control,Avery,William,False,promised,to go,Avery,other,"You will be given a context and a question.
Context: Avery promised William to go.

Question: Who was promised something??
Answer: William
Question: Who promised someone to go?
Answer: Avery
Question:  Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery promised William to go.\n\nQuestion: Who was promised something??\nAnswer: William\nQuestion: Who promised someone to go?\nAnswer: Avery\nQuestion:  Who went?\nAnswer: ', 'Question')"
22,gpt3,subject-control,Avery,William,False,promised,to read,Avery,other,"You will be given a context and a question.
Context: Avery promised William to read.

Question: Who promised someone to read?
Answer: Avery
Question: Who was promised something??
Answer: William
Question:  Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised William to read.\n\nQuestion: Who promised someone to read?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: William\nQuestion:  Who read?\nAnswer: ', '\n')"
23,gpt3,subject-control,Avery,William,False,promised,to run,Avery,other,"You will be given a context and a question.
Context: Avery promised William to run.

Question: Who promised someone to run?
Answer: Avery
Question: Who was promised something??
Answer: William
Question:  Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery promised William to run.\n\nQuestion: Who promised someone to run?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: William\nQuestion:  Who ran?\nAnswer: ', '\n')"
