,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt3,subject-control,Avery,Casey,False,threatened,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to come.

Question: Who was threatened to come, Avery or Casey?
Answer: Casey
Question: Who threatened someone to come, Avery or Casey?
Answer: Avery
Question: Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to come.\n\nQuestion: Who was threatened to come, Avery or Casey?\nAnswer: Casey\nQuestion: Who threatened someone to come, Avery or Casey?\nAnswer: Avery\nQuestion: Who came, Avery or Casey?\nAnswer: ', '\n')"
1,gpt3,subject-control,Avery,Casey,False,threatened,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to go.

Question: Who was threatened to go, Avery or Casey?
Answer: Casey
Question: Who threatened someone to go, Avery or Casey?
Answer: Avery
Question: Who went, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to go.\n\nQuestion: Who was threatened to go, Avery or Casey?\nAnswer: Casey\nQuestion: Who threatened someone to go, Avery or Casey?\nAnswer: Avery\nQuestion: Who went, Avery or Casey?\nAnswer: ', '\n')"
2,gpt3,subject-control,Avery,Casey,False,threatened,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to read.

Question: Who threatened someone to read, Avery or Casey?
Answer: Avery
Question: Who was threatened to read, Avery or Casey?
Answer: Casey
Question: Who read, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to read.\n\nQuestion: Who threatened someone to read, Avery or Casey?\nAnswer: Avery\nQuestion: Who was threatened to read, Avery or Casey?\nAnswer: Casey\nQuestion: Who read, Avery or Casey?\nAnswer: ', '\n')"
3,gpt3,subject-control,Avery,Casey,False,threatened,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to run.

Question: Who threatened someone to run, Avery or Casey?
Answer: Avery
Question: Who was threatened to run, Avery or Casey?
Answer: Casey
Question: Who ran, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to run.\n\nQuestion: Who threatened someone to run, Avery or Casey?\nAnswer: Avery\nQuestion: Who was threatened to run, Avery or Casey?\nAnswer: Casey\nQuestion: Who ran, Avery or Casey?\nAnswer: ', '\n')"
4,gpt3,subject-control,Avery,Casey,False,threatened,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to call.

Question: Who was threatened to call, Avery or Casey?
Answer: Casey
Question: Who threatened someone to call, Avery or Casey?
Answer: Avery
Question: Who called, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to call.\n\nQuestion: Who was threatened to call, Avery or Casey?\nAnswer: Casey\nQuestion: Who threatened someone to call, Avery or Casey?\nAnswer: Avery\nQuestion: Who called, Avery or Casey?\nAnswer: ', '\n')"
5,gpt3,subject-control,Avery,Casey,False,offered,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to come.

Question: Who was offered to come, Avery or Casey?
Answer: Casey
Question: Who offered someone to come, Avery or Casey?
Answer: Avery
Question: Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to come.\n\nQuestion: Who was offered to come, Avery or Casey?\nAnswer: Casey\nQuestion: Who offered someone to come, Avery or Casey?\nAnswer: Avery\nQuestion: Who came, Avery or Casey?\nAnswer: ', '\n')"
6,gpt3,subject-control,Avery,Casey,False,offered,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to go.

Question: Who was offered to go, Avery or Casey?
Answer: Casey
Question: Who offered someone to go, Avery or Casey?
Answer: Avery
Question: Who went, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to go.\n\nQuestion: Who was offered to go, Avery or Casey?\nAnswer: Casey\nQuestion: Who offered someone to go, Avery or Casey?\nAnswer: Avery\nQuestion: Who went, Avery or Casey?\nAnswer: ', '\n')"
7,gpt3,subject-control,Avery,Casey,False,offered,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to read.

Question: Who was offered to read, Avery or Casey?
Answer: Casey
Question: Who offered someone to read, Avery or Casey?
Answer: Avery
Question: Who read, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to read.\n\nQuestion: Who was offered to read, Avery or Casey?\nAnswer: Casey\nQuestion: Who offered someone to read, Avery or Casey?\nAnswer: Avery\nQuestion: Who read, Avery or Casey?\nAnswer: ', '\n')"
8,gpt3,subject-control,Avery,Casey,False,offered,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to run.

Question: Who offered someone to run, Avery or Casey?
Answer: Avery
Question: Who was offered to run, Avery or Casey?
Answer: Casey
Question: Who ran, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to run.\n\nQuestion: Who offered someone to run, Avery or Casey?\nAnswer: Avery\nQuestion: Who was offered to run, Avery or Casey?\nAnswer: Casey\nQuestion: Who ran, Avery or Casey?\nAnswer: ', '\n')"
9,gpt3,subject-control,Avery,Casey,False,offered,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to call.

Question: Who offered someone to call, Avery or Casey?
Answer: Avery
Question: Who was offered to call, Avery or Casey?
Answer: Casey
Question: Who called, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to call.\n\nQuestion: Who offered someone to call, Avery or Casey?\nAnswer: Avery\nQuestion: Who was offered to call, Avery or Casey?\nAnswer: Casey\nQuestion: Who called, Avery or Casey?\nAnswer: ', '\n')"
10,gpt3,subject-control,Avery,Joseph,False,threatened,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to come.

Question: Who threatened someone to come, Avery or Joseph?
Answer: Avery
Question: Who was threatened to come, Avery or Joseph?
Answer: Joseph
Question: Who came, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery threatened Joseph to come.\n\nQuestion: Who threatened someone to come, Avery or Joseph?\nAnswer: Avery\nQuestion: Who was threatened to come, Avery or Joseph?\nAnswer: Joseph\nQuestion: Who came, Avery or Joseph?\nAnswer: ', '\n')"
11,gpt3,subject-control,Avery,Joseph,False,threatened,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to go.

Question: Who was threatened to go, Avery or Joseph?
Answer: Joseph
Question: Who threatened someone to go, Avery or Joseph?
Answer: Avery
Question: Who went, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery threatened Joseph to go.\n\nQuestion: Who was threatened to go, Avery or Joseph?\nAnswer: Joseph\nQuestion: Who threatened someone to go, Avery or Joseph?\nAnswer: Avery\nQuestion: Who went, Avery or Joseph?\nAnswer: ', 'Question')"
12,gpt3,subject-control,Avery,Joseph,False,threatened,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to read.

Question: Who was threatened to read, Avery or Joseph?
Answer: Joseph
Question: Who threatened someone to read, Avery or Joseph?
Answer: Avery
Question: Who read, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery threatened Joseph to read.\n\nQuestion: Who was threatened to read, Avery or Joseph?\nAnswer: Joseph\nQuestion: Who threatened someone to read, Avery or Joseph?\nAnswer: Avery\nQuestion: Who read, Avery or Joseph?\nAnswer: ', '\n')"
13,gpt3,subject-control,Avery,Joseph,False,threatened,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to run.

Question: Who threatened someone to run, Avery or Joseph?
Answer: Avery
Question: Who was threatened to run, Avery or Joseph?
Answer: Joseph
Question: Who ran, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery threatened Joseph to run.\n\nQuestion: Who threatened someone to run, Avery or Joseph?\nAnswer: Avery\nQuestion: Who was threatened to run, Avery or Joseph?\nAnswer: Joseph\nQuestion: Who ran, Avery or Joseph?\nAnswer: ', '\n')"
14,gpt3,subject-control,Avery,Joseph,False,threatened,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to call.

Question: Who threatened someone to call, Avery or Joseph?
Answer: Avery
Question: Who was threatened to call, Avery or Joseph?
Answer: Joseph
Question: Who called, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery threatened Joseph to call.\n\nQuestion: Who threatened someone to call, Avery or Joseph?\nAnswer: Avery\nQuestion: Who was threatened to call, Avery or Joseph?\nAnswer: Joseph\nQuestion: Who called, Avery or Joseph?\nAnswer: ', '\n')"
15,gpt3,subject-control,Avery,Joseph,False,offered,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery offered Joseph to come.

Question: Who offered someone to come, Avery or Joseph?
Answer: Avery
Question: Who was offered to come, Avery or Joseph?
Answer: Joseph
Question: Who came, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery offered Joseph to come.\n\nQuestion: Who offered someone to come, Avery or Joseph?\nAnswer: Avery\nQuestion: Who was offered to come, Avery or Joseph?\nAnswer: Joseph\nQuestion: Who came, Avery or Joseph?\nAnswer: ', '\n')"
16,gpt3,subject-control,Avery,Joseph,False,offered,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery offered Joseph to go.

Question: Who was offered to go, Avery or Joseph?
Answer: Joseph
Question: Who offered someone to go, Avery or Joseph?
Answer: Avery
Question: Who went, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery offered Joseph to go.\n\nQuestion: Who was offered to go, Avery or Joseph?\nAnswer: Joseph\nQuestion: Who offered someone to go, Avery or Joseph?\nAnswer: Avery\nQuestion: Who went, Avery or Joseph?\nAnswer: ', '\n')"
17,gpt3,subject-control,Avery,Joseph,False,offered,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery offered Joseph to read.

Question: Who offered someone to read, Avery or Joseph?
Answer: Avery
Question: Who was offered to read, Avery or Joseph?
Answer: Joseph
Question: Who read, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery offered Joseph to read.\n\nQuestion: Who offered someone to read, Avery or Joseph?\nAnswer: Avery\nQuestion: Who was offered to read, Avery or Joseph?\nAnswer: Joseph\nQuestion: Who read, Avery or Joseph?\nAnswer: ', '\n')"
18,gpt3,subject-control,Avery,Joseph,False,offered,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery offered Joseph to run.

Question: Who was offered to run, Avery or Joseph?
Answer: Joseph
Question: Who offered someone to run, Avery or Joseph?
Answer: Avery
Question: Who ran, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery offered Joseph to run.\n\nQuestion: Who was offered to run, Avery or Joseph?\nAnswer: Joseph\nQuestion: Who offered someone to run, Avery or Joseph?\nAnswer: Avery\nQuestion: Who ran, Avery or Joseph?\nAnswer: ', '\n')"
19,gpt3,subject-control,Avery,Joseph,False,offered,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery offered Joseph to call.

Question: Who offered someone to call, Avery or Joseph?
Answer: Avery
Question: Who was offered to call, Avery or Joseph?
Answer: Joseph
Question: Who called, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery offered Joseph to call.\n\nQuestion: Who offered someone to call, Avery or Joseph?\nAnswer: Avery\nQuestion: Who was offered to call, Avery or Joseph?\nAnswer: Joseph\nQuestion: Who called, Avery or Joseph?\nAnswer: ', '\n')"
20,gpt3,subject-control,Avery,Nicole,False,threatened,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".
Context: Avery threatened Nicole to come.

Question: Who threatened someone to come, Avery or Nicole?
Answer: Avery
Question: Who was threatened to come, Avery or Nicole?
Answer: Nicole
Question: Who came, Avery or Nicole?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".\nContext: Avery threatened Nicole to come.\n\nQuestion: Who threatened someone to come, Avery or Nicole?\nAnswer: Avery\nQuestion: Who was threatened to come, Avery or Nicole?\nAnswer: Nicole\nQuestion: Who came, Avery or Nicole?\nAnswer: ', '\n')"
21,gpt3,subject-control,Avery,Nicole,False,threatened,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".
Context: Avery threatened Nicole to go.

Question: Who was threatened to go, Avery or Nicole?
Answer: Nicole
Question: Who threatened someone to go, Avery or Nicole?
Answer: Avery
Question: Who went, Avery or Nicole?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".\nContext: Avery threatened Nicole to go.\n\nQuestion: Who was threatened to go, Avery or Nicole?\nAnswer: Nicole\nQuestion: Who threatened someone to go, Avery or Nicole?\nAnswer: Avery\nQuestion: Who went, Avery or Nicole?\nAnswer: ', '\n')"
22,gpt3,subject-control,Avery,Nicole,False,threatened,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".
Context: Avery threatened Nicole to read.

Question: Who threatened someone to read, Avery or Nicole?
Answer: Avery
Question: Who was threatened to read, Avery or Nicole?
Answer: Nicole
Question: Who read, Avery or Nicole?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".\nContext: Avery threatened Nicole to read.\n\nQuestion: Who threatened someone to read, Avery or Nicole?\nAnswer: Avery\nQuestion: Who was threatened to read, Avery or Nicole?\nAnswer: Nicole\nQuestion: Who read, Avery or Nicole?\nAnswer: ', '\n')"
23,gpt3,subject-control,Avery,Nicole,False,threatened,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".
Context: Avery threatened Nicole to run.

Question: Who was threatened to run, Avery or Nicole?
Answer: Nicole
Question: Who threatened someone to run, Avery or Nicole?
Answer: Avery
Question: Who ran, Avery or Nicole?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".\nContext: Avery threatened Nicole to run.\n\nQuestion: Who was threatened to run, Avery or Nicole?\nAnswer: Nicole\nQuestion: Who threatened someone to run, Avery or Nicole?\nAnswer: Avery\nQuestion: Who ran, Avery or Nicole?\nAnswer: ', '\n')"
24,gpt3,subject-control,Avery,Nicole,False,threatened,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".
Context: Avery threatened Nicole to call.

Question: Who was threatened to call, Avery or Nicole?
Answer: Nicole
Question: Who threatened someone to call, Avery or Nicole?
Answer: Avery
Question: Who called, Avery or Nicole?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".\nContext: Avery threatened Nicole to call.\n\nQuestion: Who was threatened to call, Avery or Nicole?\nAnswer: Nicole\nQuestion: Who threatened someone to call, Avery or Nicole?\nAnswer: Avery\nQuestion: Who called, Avery or Nicole?\nAnswer: ', '\n')"
25,gpt3,subject-control,Avery,Nicole,False,offered,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".
Context: Avery offered Nicole to come.

Question: Who was offered to come, Avery or Nicole?
Answer: Nicole
Question: Who offered someone to come, Avery or Nicole?
Answer: Avery
Question: Who came, Avery or Nicole?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".\nContext: Avery offered Nicole to come.\n\nQuestion: Who was offered to come, Avery or Nicole?\nAnswer: Nicole\nQuestion: Who offered someone to come, Avery or Nicole?\nAnswer: Avery\nQuestion: Who came, Avery or Nicole?\nAnswer: ', '\n')"
26,gpt3,subject-control,Avery,Nicole,False,offered,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".
Context: Avery offered Nicole to go.

Question: Who offered someone to go, Avery or Nicole?
Answer: Avery
Question: Who was offered to go, Avery or Nicole?
Answer: Nicole
Question: Who went, Avery or Nicole?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".\nContext: Avery offered Nicole to go.\n\nQuestion: Who offered someone to go, Avery or Nicole?\nAnswer: Avery\nQuestion: Who was offered to go, Avery or Nicole?\nAnswer: Nicole\nQuestion: Who went, Avery or Nicole?\nAnswer: ', '\n')"
27,gpt3,subject-control,Avery,Nicole,False,offered,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".
Context: Avery offered Nicole to read.

Question: Who offered someone to read, Avery or Nicole?
Answer: Avery
Question: Who was offered to read, Avery or Nicole?
Answer: Nicole
Question: Who read, Avery or Nicole?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".\nContext: Avery offered Nicole to read.\n\nQuestion: Who offered someone to read, Avery or Nicole?\nAnswer: Avery\nQuestion: Who was offered to read, Avery or Nicole?\nAnswer: Nicole\nQuestion: Who read, Avery or Nicole?\nAnswer: ', '\n')"
28,gpt3,subject-control,Avery,Nicole,False,offered,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".
Context: Avery offered Nicole to run.

Question: Who was offered to run, Avery or Nicole?
Answer: Nicole
Question: Who offered someone to run, Avery or Nicole?
Answer: Avery
Question: Who ran, Avery or Nicole?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".\nContext: Avery offered Nicole to run.\n\nQuestion: Who was offered to run, Avery or Nicole?\nAnswer: Nicole\nQuestion: Who offered someone to run, Avery or Nicole?\nAnswer: Avery\nQuestion: Who ran, Avery or Nicole?\nAnswer: ', '\n')"
29,gpt3,subject-control,Avery,Nicole,False,offered,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".
Context: Avery offered Nicole to call.

Question: Who was offered to call, Avery or Nicole?
Answer: Nicole
Question: Who offered someone to call, Avery or Nicole?
Answer: Avery
Question: Who called, Avery or Nicole?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Nicole"".\nContext: Avery offered Nicole to call.\n\nQuestion: Who was offered to call, Avery or Nicole?\nAnswer: Nicole\nQuestion: Who offered someone to call, Avery or Nicole?\nAnswer: Avery\nQuestion: Who called, Avery or Nicole?\nAnswer: ', '\n')"
30,gpt3,subject-control,Avery,Stephanie,False,threatened,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Stephanie"".
Context: Avery threatened Stephanie to come.

Question: Who threatened someone to come, Avery or Stephanie?
Answer: Avery
Question: Who was threatened to come, Avery or Stephanie?
Answer: Stephanie
Question: Who came, Avery or Stephanie?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Stephanie"".\nContext: Avery threatened Stephanie to come.\n\nQuestion: Who threatened someone to come, Avery or Stephanie?\nAnswer: Avery\nQuestion: Who was threatened to come, Avery or Stephanie?\nAnswer: Stephanie\nQuestion: Who came, Avery or Stephanie?\nAnswer: ', '\n')"
