,model,exp_type,prompt,pred,true,response,Unnamed: 0
0,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""you need to learn about white balance , composition , angle , and work on using the camera properly ...""
Question: In the event ""need"", does the state of the participant ""you"" change?
Answer: ",No,Yes,(No),0.0
1,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""And the President becomes a Dictator , unrestrained by anything in the Constitution , backed up by the Armed Forces , which would be entirely under his personal control .""
Question: In the event ""becomes"", does the state of the participant ""President"" change?
Answer: ",Yes,Yes,(Yes),1.0
2,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""MFJ Inc transformed our run down back yard into a place of beauty .""
Question: In the event ""transformed"", does the state of the participant ""Inc"" change?
Answer: ",Yes,No,(Yes),2.0
3,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Once upon a time ( in 2001 , to be specific ) , the Coca - Cola corporation built a bottling plant in a small and remote Indian village in the state of Kerala .""
Question: In the event ""built"", does the state of the participant ""plant"" change?
Answer: ",No,Yes,(No),3.0
4,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""I remain unhappy .""
Question: In the event ""remain"", does the state of the participant ""I"" change?
Answer: ",No,Yes,(No),4.0
5,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""In Texas , BP shut its 460,000 barrels per day refinery and Marathon shut its 72,000 bpd plant .""
Question: In the event ""shut"", does the state of the participant ""plant"" change?
Answer: ",Yes,Yes,(Yes),5.0
6,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Brass melts at just under 2000 F which is a bright yellow heat , not red hot .""
Question: In the event ""melts"", does the state of the participant ""Brass"" change?
Answer: ",No,Yes,(No),6.0
7,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""The store manager , Jim Smith , made an excellent tire recommendation for my newly acquired Lexus .""
Question: In the event ""made"", does the state of the participant ""recommendation"" change?
Answer: ",Yes,No,(Yes),7.0
8,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""I love the location and the apartment !!""
Question: In the event ""love"", does the state of the participant ""location"" change?
Answer: ",No,No,(No),8.0
9,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""I hope you have a great summer .""
Question: In the event ""hope"", does the state of the participant ""I"" change?
Answer: ",No,No,(No),9.0
10,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""The difference is when the cat hisses , that means they are annoyed and they want the other cat to go away .""
Question: In the event ""is"", does the state of the participant ""difference"" change?
Answer: ",other,No,1,10.0
11,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""They treat there employees with respect and concern and expect that they will extend the same politeness to there customers .""
Question: In the event ""extend"", does the state of the participant ""politeness"" change?
Answer: ",No,No,(No),11.0
12,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Yes , I say .""
Question: In the event ""say"", does the state of the participant ""I"" change?
Answer: ",Yes,No,(Yes),12.0
13,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""I MAKE MONEY NOT DEAL WITH BROKERS "" Wow , can you believe in today s tough times this dealership would be looking for any way to move vehicles .""
Question: In the event ""MAKE"", does the state of the participant ""I"" change?
Answer: ",other,No,"(A) Yes, ""I"" becomes ""WE""",13.0
14,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""We accecpt : Visa , MasterCard , Amex , Dinner s Club / Carte Blanche , & Personal Checks / Money Orders .""
Question: In the event ""accecpt"", does the state of the participant ""We"" change?
Answer: ",Yes,No,"(Yes) ""We"" changes into ""You""",14.0
15,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""A NATO spokesman said : "" There 's no tracking mechanism to ensure they do n't fall into the wrong hands .""
Question: In the event ""fall"", does the state of the participant ""they"" change?
Answer: ",other,No,"(a) Yes, ""they"" becomes ""it""",15.0
16,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""After the split Dow Stock there are 120 shares .""
Question: In the event ""are"", does the state of the participant ""shares"" change?
Answer: ",No,Yes,(No),16.0
17,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""SCALIA filed a dissenting opinion , in which THOMAS and ALITO joined .""
Question: In the event ""joined"", does the state of the participant ""THOMAS"" change?
Answer: ",Yes,No,(Yes),17.0
18,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""They kept the name Oracle and created the RDBMS engine .""
Question: In the event ""created"", does the state of the participant ""engine"" change?
Answer: ",No,Yes,(No),18.0
19,jurassic-large,volition,"Answer this yes-no question about the following sentence.
Sentence: ""You review and approve it , keep it on your desk , and I will come over and make the change at your desk on Monday .""
Question: In the event ""review"", does the state of the participant ""You"" change?
Answer: ",Yes,No,(Yes),19.0
