,model,exp_type,prompt,pred,true,response
0,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""This year a newspaper claimed two UK firms were involved in a deal in which thousands of guns for Iraqi forces were re-routed to al - Qaeda .""
Question: In the event ""re-routed"", does the state of the participant ""thousands"" change?
Answer: No
Sentence: ""The sample includes our "" caveat "" , so it should be fine .""
Question: In the event ""includes"", does the state of the participant ""caveat"" change?
Answer: ",other,No,
1,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Saddam killed every month more people than all those who died from suicide murders since the Coalition occupation of Iraq .""
Question: In the event ""died"", does the state of the participant ""those"" change?
Answer: Yes
Sentence: ""I love the location and the apartment !!""
Question: In the event ""love"", does the state of the participant ""location"" change?
Answer: ",other,No,
2,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Last week , Federal District Judge Lynn Hughes in Huston , Texas , threw out Wilson 's two - decades old conviction .""
Question: In the event ""threw"", does the state of the participant ""conviction"" change?
Answer: Yes
Sentence: ""The German Expressionist movement was destroyed as a result .""
Question: In the event ""destroyed"", does the state of the participant ""movement"" change?
Answer: ",other,Yes,
3,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""He dated a beautiful young woman working on the campaign .""
Question: In the event ""dated"", does the state of the participant ""He"" change?
Answer: Yes
Sentence: ""In 1594 PEREZ wrote & published a book under the assumed name of "" RAPHAEL PEREGRINO . """"
Question: In the event ""wrote"", does the state of the participant ""book"" change?
Answer: ",other,Yes,
4,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Police said Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church .""
Question: In the event ""involving"", does the state of the participant ""children"" change?
Answer: Yes
Sentence: ""I had the morelias enchiladas .""
Question: In the event ""had"", does the state of the participant ""enchiladas"" change?
Answer: ",other,Yes,
5,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""I work for a large retail company recently expanding our operations into Canada and had to travel to ensure all of our computer network equipment was installed properly and on time .""
Question: In the event ""installed"", does the state of the participant ""all"" change?
Answer: Yes
Sentence: ""She makes every item fit you perfectly .""
Question: In the event ""makes"", does the state of the participant ""She"" change?
Answer: ",other,No,
6,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""The next day i took it to 2 auto shops and they both told me the same thing , engine is junk .""
Question: In the event ""took"", does the state of the participant ""i"" change?
Answer: No
Sentence: ""San Francisco was settled in the 19th and 20th century by mainly European immigrants except for some Asian workers who were manual laborers .""
Question: In the event ""settled"", does the state of the participant ""Francisco"" change?
Answer: ",other,Yes,
7,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""All he had to do for a complete victory was allow the military to go into Laos and Cambodia and finish off the shattered Communist forces .""
Question: In the event ""finish"", does the state of the participant ""forces"" change?
Answer: Yes
Sentence: ""And a portion of each package or memorial purchased goes to a charity on their database .""
Question: In the event ""goes"", does the state of the participant ""portion"" change?
Answer: ",other,No,
8,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Bangs said these animals are not equipped to survive in the wild , however , and they all almost certainly have died .""
Question: In the event ""died"", does the state of the participant ""they"" change?
Answer: Yes
Sentence: ""After the split Dow Stock there are 120 shares .""
Question: In the event ""are"", does the state of the participant ""shares"" change?
Answer: ",other,Yes,
9,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Your fellow employees asked for everyone from Britney Spears to George Bush .""
Question: In the event ""asked"", does the state of the participant ""employees"" change?
Answer: No
Sentence: ""But just this week a peddle broke .""
Question: In the event ""broke"", does the state of the participant ""peddle"" change?
Answer: ",other,Yes,
10,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""I expect that many of the displaced people ( those affluent and those not ) will remain in the places they were evacuated to .""
Question: In the event ""evacuated"", does the state of the participant ""they"" change?
Answer: Yes
Sentence: ""I sent a graphic that would have been distorted if printed as it was .""
Question: In the event ""distorted"", does the state of the participant ""graphic"" change?
Answer: ",other,Yes,
