,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt_neo_1.3b,subject-control,Avery,Casey,True,promised,to come,Avery,Avery,"You will be given a sentence and a question.
Sentence: Avery promised Casey to come.

Question: Who was promised something??
Answer: ","('You will be given a sentence and a question.\nSentence: Avery promised Casey to come.\n\nQuestion: Who was promised something??\nAnswer: ', 'You will be given a sentence and a question.\nSentence: Avery promised Casey to come.\n\nQuestion: Who was promised something??\nAnswer: \n\nA:\n\nThe sentence is:\n\nAvery promised Casey to come.\n\nThe question is:\n\nWho was promised something?\n\nThe answer is:\n\nAvery promised Casey to come.\n\nA:\n\nThe sentence is:\n\nAvery promised Casey to come.\n')"
1,gpt_neo_1.3b,subject-control,Avery,Casey,False,promised,to come,Avery,Avery,"You will be given a sentence and a question.
Sentence: Avery promised Casey to come.

Question: Who was promised something??
Answer: ","('You will be given a sentence and a question.\nSentence: Avery promised Casey to come.\n\nQuestion: Who was promised something??\nAnswer: ', 'You will be given a sentence and a question.\nSentence: Avery promised Casey to come.\n\nQuestion: Who was promised something??\nAnswer: \n\nA:\n\nThe sentence is:\n\nAvery promised Casey to come.\n\nThe question is:\n\nWho was promised something?\n\nThe answer is:\n\nAvery promised Casey to come.\n\nA:\n\nThe sentence is:\n\nAvery promised Casey to come.\n')"
2,gpt_neo_1.3b,subject-control,Avery,Casey,True,promised,to go,Avery,Avery,"You will be given a sentence and a question.
Sentence: Avery promised Casey to go.

Question: Who was promised something??
Answer: ","('You will be given a sentence and a question.\nSentence: Avery promised Casey to go.\n\nQuestion: Who was promised something??\nAnswer: ', 'You will be given a sentence and a question.\nSentence: Avery promised Casey to go.\n\nQuestion: Who was promised something??\nAnswer: \n\nA:\n\nThe sentence is:\n\nAvery promised Casey to go.\n\nThe question is:\n\nWho was promised something?\n\nThe answer is:\n\nAvery promised Casey to go.\n\nA:\n\nThe sentence is:\n\nAvery promised Casey to go.\n')"
3,gpt_neo_1.3b,subject-control,Avery,Casey,False,promised,to go,Avery,Avery,"You will be given a sentence and a question.
Sentence: Avery promised Casey to go.

Question: Who was promised something??
Answer: ","('You will be given a sentence and a question.\nSentence: Avery promised Casey to go.\n\nQuestion: Who was promised something??\nAnswer: ', 'You will be given a sentence and a question.\nSentence: Avery promised Casey to go.\n\nQuestion: Who was promised something??\nAnswer: \n\nA:\n\nThe sentence is:\n\nAvery promised Casey to go.\n\nThe question is:\n\nWho was promised something?\n\nThe answer is:\n\nAvery promised Casey to go.\n\nA:\n\nThe sentence is:\n\nAvery promised Casey to go.\n')"
4,gpt_neo_1.3b,subject-control,Avery,Casey,True,promised,to read,Avery,Avery,"You will be given a sentence and a question.
Sentence: Avery promised Casey to read.

Question: Who was promised something??
Answer: ","('You will be given a sentence and a question.\nSentence: Avery promised Casey to read.\n\nQuestion: Who was promised something??\nAnswer: ', 'You will be given a sentence and a question.\nSentence: Avery promised Casey to read.\n\nQuestion: Who was promised something??\nAnswer: \n\nA:\n\nThe sentence is:\n\nAvery promised Casey to read.\n\nThe question is:\n\nWho was promised something?\n\nThe answer is:\n\nAvery promised Casey to read.\n\nA:\n\nThe sentence is:\n\nAvery promised Casey to read.\n')"
5,gpt_neo_1.3b,subject-control,Avery,Casey,False,promised,to read,Avery,Avery,"You will be given a sentence and a question.
Sentence: Avery promised Casey to read.

Question: Who was promised something??
Answer: ","('You will be given a sentence and a question.\nSentence: Avery promised Casey to read.\n\nQuestion: Who was promised something??\nAnswer: ', 'You will be given a sentence and a question.\nSentence: Avery promised Casey to read.\n\nQuestion: Who was promised something??\nAnswer: \n\nA:\n\nThe sentence is:\n\nAvery promised Casey to read.\n\nThe question is:\n\nWho was promised something?\n\nThe answer is:\n\nAvery promised Casey to read.\n\nA:\n\nThe sentence is:\n\nAvery promised Casey to read.\n')"
6,gpt_neo_1.3b,subject-control,Avery,Casey,True,promised,to run,Avery,Avery,"You will be given a sentence and a question.
Sentence: Avery promised Casey to run.

Question: Who was promised something??
Answer: ","('You will be given a sentence and a question.\nSentence: Avery promised Casey to run.\n\nQuestion: Who was promised something??\nAnswer: ', 'You will be given a sentence and a question.\nSentence: Avery promised Casey to run.\n\nQuestion: Who was promised something??\nAnswer:  Avery promised Casey to run.\n\nA:\n\nThe sentence is:\n\nAvery promised Casey to run.\n\nThe question is:\n\nWho was promised something?\n\nThe answer is:\n\nAvery promised Casey to run.\n\nA:\n\nThe sentence is:\n\nAvery')"
7,gpt_neo_1.3b,subject-control,Avery,Casey,False,promised,to run,Avery,Avery,"You will be given a sentence and a question.
Sentence: Avery promised Casey to run.

Question: Who was promised something??
Answer: ","('You will be given a sentence and a question.\nSentence: Avery promised Casey to run.\n\nQuestion: Who was promised something??\nAnswer: ', 'You will be given a sentence and a question.\nSentence: Avery promised Casey to run.\n\nQuestion: Who was promised something??\nAnswer:  Avery promised Casey to run.\n\nA:\n\nThe sentence is:\n\nAvery promised Casey to run.\n\nThe question is:\n\nWho was promised something?\n\nThe answer is:\n\nAvery promised Casey to run.\n\nA:\n\nThe sentence is:\n\nAvery')"
8,gpt_neo_1.3b,subject-control,Avery,Casey,True,promised,to call,Avery,Avery,"You will be given a sentence and a question.
Sentence: Avery promised Casey to call.

Question: Who was promised something??
Answer: ","('You will be given a sentence and a question.\nSentence: Avery promised Casey to call.\n\nQuestion: Who was promised something??\nAnswer: ', 'You will be given a sentence and a question.\nSentence: Avery promised Casey to call.\n\nQuestion: Who was promised something??\nAnswer: \n\nA:\n\nThe sentence is:\n\nAvery promised Casey to call.\n\nThe question is:\n\nWho was promised something?\n\nThe answer is:\n\nAvery promised Casey to call.\n\nA:\n\nThe sentence is:\n\nAvery promised Casey to call.\n')"
9,gpt_neo_1.3b,subject-control,Avery,Casey,False,promised,to call,Avery,Avery,"You will be given a sentence and a question.
Sentence: Avery promised Casey to call.

Question: Who was promised something??
Answer: ","('You will be given a sentence and a question.\nSentence: Avery promised Casey to call.\n\nQuestion: Who was promised something??\nAnswer: ', 'You will be given a sentence and a question.\nSentence: Avery promised Casey to call.\n\nQuestion: Who was promised something??\nAnswer: \n\nA:\n\nThe sentence is:\n\nAvery promised Casey to call.\n\nThe question is:\n\nWho was promised something?\n\nThe answer is:\n\nAvery promised Casey to call.\n\nA:\n\nThe sentence is:\n\nAvery promised Casey to call.\n')"
