,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt_neo_1.3b,object-control,Avery,Casey,True,told,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who came?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery told Casey to come.\n\nThe question is:\n\n Who came?\n\nA:\n\n Casey\n\nB:\n\n Avery\n\nC:\n\n Casey\n\nD:\n\n Avery\n\nE:\n\n Casey\n\nF:\n\n')"
1,gpt_neo_1.3b,object-control,Avery,Casey,False,told,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who came?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery told Casey to come.\n\nThe question is:\n\n Who came?\n\nA:\n\n Casey\n\nB:\n\n Avery\n\nC:\n\n Casey\n\nD:\n\n Avery\n\nE:\n\n Casey\n\nF:\n\n')"
2,gpt_neo_1.3b,object-control,Avery,Casey,True,told,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who went?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nBecause\n\n Avery told Casey to go.\n\nA:\n\n Casey\n\nB:\n\n Avery\n\nC:\n\n Casey\n\nD:\n\n Avery\n\nE:\n\n Casey\n\nF:\n\n Avery\n\nG:\n\n Casey\n\nH:\n\n Avery')"
3,gpt_neo_1.3b,object-control,Avery,Casey,False,told,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who went?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nBecause\n\n Avery told Casey to go.\n\nA:\n\n Casey\n\nB:\n\n Avery\n\nC:\n\n Casey\n\nD:\n\n Avery\n\nE:\n\n Casey\n\nF:\n\n Avery\n\nG:\n\n Casey\n\nH:\n\n Avery')"
4,gpt_neo_1.3b,object-control,Avery,Casey,True,told,to read,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who read?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery told Casey to read.\n\nThe question is:\n\n Who read?\n\nA:\n\n Casey\n\nB:\n\n Avery\n\nC:\n\n Casey\n\nD:\n\n Avery\n\nE:\n\n Casey\n\nF:\n\n')"
5,gpt_neo_1.3b,object-control,Avery,Casey,False,told,to read,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who read?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery told Casey to read.\n\nThe question is:\n\n Who read?\n\nA:\n\n Casey\n\nB:\n\n Avery\n\nC:\n\n Casey\n\nD:\n\n Avery\n\nE:\n\n Casey\n\nF:\n\n')"
6,gpt_neo_1.3b,object-control,Avery,Casey,True,told,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion')"
7,gpt_neo_1.3b,object-control,Avery,Casey,False,told,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion')"
8,gpt_neo_1.3b,object-control,Avery,Casey,True,told,to call,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who called?\nAnswer:  Avery.\n\nQuestion: What did Avery say?\nAnswer:  ""I\'m sorry, I\'m sorry, I\'m sorry.""\n\nQuestion: What did Avery say to Casey?\nAnswer:  ""I\'m sorry, I\'m sorry, I\'m sorry.""\n\nQuestion: What did Avery say to Casey?\nAnswer:')"
9,gpt_neo_1.3b,object-control,Avery,Casey,False,told,to call,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who called?\nAnswer:  Avery.\n\nQuestion: What did Avery say?\nAnswer:  ""I\'m sorry, I\'m sorry, I\'m sorry.""\n\nQuestion: What did Avery say to Casey?\nAnswer:  ""I\'m sorry, I\'m sorry, I\'m sorry.""\n\nQuestion: What did Avery say to Casey?\nAnswer:')"
