,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,t5,subject-control,Avery,Casey,True,promised,to come,Avery,Avery,question: Who promised someone to come? context: Avery promised Casey to come. </s>,"('question: Who promised someone to come? context: Avery promised Casey to come. </s>', 'Avery')"
1,t5,subject-control,Avery,Casey,False,promised,to come,Avery,Avery,question: Who promised someone to come? context: Avery promised Casey to come. </s>,"('question: Who promised someone to come? context: Avery promised Casey to come. </s>', 'Avery')"
2,t5,subject-control,Avery,Casey,True,promised,to go,Avery,Avery,question: Who promised someone to go? context: Avery promised Casey to go. </s>,"('question: Who promised someone to go? context: Avery promised Casey to go. </s>', 'Avery')"
3,t5,subject-control,Avery,Casey,False,promised,to go,Avery,Avery,question: Who promised someone to go? context: Avery promised Casey to go. </s>,"('question: Who promised someone to go? context: Avery promised Casey to go. </s>', 'Avery')"
4,t5,subject-control,Avery,Casey,True,promised,to read,Avery,Avery,question: Who promised someone to read? context: Avery promised Casey to read. </s>,"('question: Who promised someone to read? context: Avery promised Casey to read. </s>', 'Avery')"
5,t5,subject-control,Avery,Casey,False,promised,to read,Avery,Avery,question: Who promised someone to read? context: Avery promised Casey to read. </s>,"('question: Who promised someone to read? context: Avery promised Casey to read. </s>', 'Avery')"
6,t5,subject-control,Avery,Casey,True,promised,to run,Avery,Avery,question: Who promised someone to run? context: Avery promised Casey to run. </s>,"('question: Who promised someone to run? context: Avery promised Casey to run. </s>', 'Avery')"
7,t5,subject-control,Avery,Casey,False,promised,to run,Avery,Avery,question: Who promised someone to run? context: Avery promised Casey to run. </s>,"('question: Who promised someone to run? context: Avery promised Casey to run. </s>', 'Avery')"
8,t5,subject-control,Avery,Casey,True,promised,to call,Avery,Avery,question: Who promised someone to call? context: Avery promised Casey to call. </s>,"('question: Who promised someone to call? context: Avery promised Casey to call. </s>', 'Avery')"
9,t5,subject-control,Avery,Casey,False,promised,to call,Avery,Avery,question: Who promised someone to call? context: Avery promised Casey to call. </s>,"('question: Who promised someone to call? context: Avery promised Casey to call. </s>', 'Avery')"
10,t5,subject-control,Avery,Joseph,True,promised,to come,Avery,Avery,question: Who promised someone to come? context: Avery promised Joseph to come. </s>,"('question: Who promised someone to come? context: Avery promised Joseph to come. </s>', 'Avery')"
11,t5,subject-control,Avery,Joseph,False,promised,to come,Avery,Avery,question: Who promised someone to come? context: Avery promised Joseph to come. </s>,"('question: Who promised someone to come? context: Avery promised Joseph to come. </s>', 'Avery')"
12,t5,subject-control,Avery,Joseph,True,promised,to go,Avery,Avery,question: Who promised someone to go? context: Avery promised Joseph to go. </s>,"('question: Who promised someone to go? context: Avery promised Joseph to go. </s>', 'Avery')"
13,t5,subject-control,Avery,Joseph,False,promised,to go,Avery,Avery,question: Who promised someone to go? context: Avery promised Joseph to go. </s>,"('question: Who promised someone to go? context: Avery promised Joseph to go. </s>', 'Avery')"
14,t5,subject-control,Avery,Joseph,True,promised,to read,Avery,Avery,question: Who promised someone to read? context: Avery promised Joseph to read. </s>,"('question: Who promised someone to read? context: Avery promised Joseph to read. </s>', 'Avery')"
15,t5,subject-control,Avery,Joseph,False,promised,to read,Avery,Avery,question: Who promised someone to read? context: Avery promised Joseph to read. </s>,"('question: Who promised someone to read? context: Avery promised Joseph to read. </s>', 'Avery')"
16,t5,subject-control,Avery,Joseph,True,promised,to run,Avery,Avery,question: Who promised someone to run? context: Avery promised Joseph to run. </s>,"('question: Who promised someone to run? context: Avery promised Joseph to run. </s>', 'Avery')"
17,t5,subject-control,Avery,Joseph,False,promised,to run,Avery,Avery,question: Who promised someone to run? context: Avery promised Joseph to run. </s>,"('question: Who promised someone to run? context: Avery promised Joseph to run. </s>', 'Avery')"
18,t5,subject-control,Avery,Joseph,True,promised,to call,Avery,Avery,question: Who promised someone to call? context: Avery promised Joseph to call. </s>,"('question: Who promised someone to call? context: Avery promised Joseph to call. </s>', 'Avery')"
19,t5,subject-control,Avery,Joseph,False,promised,to call,Avery,Avery,question: Who promised someone to call? context: Avery promised Joseph to call. </s>,"('question: Who promised someone to call? context: Avery promised Joseph to call. </s>', 'Avery')"
20,t5,subject-control,Avery,Nicole,True,promised,to come,Avery,Avery,question: Who promised someone to come? context: Avery promised Nicole to come. </s>,"('question: Who promised someone to come? context: Avery promised Nicole to come. </s>', 'Avery')"
21,t5,subject-control,Avery,Nicole,False,promised,to come,Avery,Avery,question: Who promised someone to come? context: Avery promised Nicole to come. </s>,"('question: Who promised someone to come? context: Avery promised Nicole to come. </s>', 'Avery')"
22,t5,subject-control,Avery,Nicole,True,promised,to go,Avery,Avery,question: Who promised someone to go? context: Avery promised Nicole to go. </s>,"('question: Who promised someone to go? context: Avery promised Nicole to go. </s>', 'Avery')"
23,t5,subject-control,Avery,Nicole,False,promised,to go,Avery,Avery,question: Who promised someone to go? context: Avery promised Nicole to go. </s>,"('question: Who promised someone to go? context: Avery promised Nicole to go. </s>', 'Avery')"
24,t5,subject-control,Avery,Nicole,True,promised,to read,Avery,Avery,question: Who promised someone to read? context: Avery promised Nicole to read. </s>,"('question: Who promised someone to read? context: Avery promised Nicole to read. </s>', 'Avery')"
25,t5,subject-control,Avery,Nicole,False,promised,to read,Avery,Avery,question: Who promised someone to read? context: Avery promised Nicole to read. </s>,"('question: Who promised someone to read? context: Avery promised Nicole to read. </s>', 'Avery')"
26,t5,subject-control,Avery,Nicole,True,promised,to run,Avery,Avery,question: Who promised someone to run? context: Avery promised Nicole to run. </s>,"('question: Who promised someone to run? context: Avery promised Nicole to run. </s>', 'Avery')"
27,t5,subject-control,Avery,Nicole,False,promised,to run,Avery,Avery,question: Who promised someone to run? context: Avery promised Nicole to run. </s>,"('question: Who promised someone to run? context: Avery promised Nicole to run. </s>', 'Avery')"
28,t5,subject-control,Avery,Nicole,True,promised,to call,Avery,Avery,question: Who promised someone to call? context: Avery promised Nicole to call. </s>,"('question: Who promised someone to call? context: Avery promised Nicole to call. </s>', 'Avery')"
29,t5,subject-control,Avery,Nicole,False,promised,to call,Avery,Avery,question: Who promised someone to call? context: Avery promised Nicole to call. </s>,"('question: Who promised someone to call? context: Avery promised Nicole to call. </s>', 'Avery')"
30,t5,subject-control,Avery,Stephanie,True,promised,to come,Avery,Avery,question: Who promised someone to come? context: Avery promised Stephanie to come. </s>,"('question: Who promised someone to come? context: Avery promised Stephanie to come. </s>', 'Avery')"
31,t5,subject-control,Avery,Stephanie,False,promised,to come,Avery,Avery,question: Who promised someone to come? context: Avery promised Stephanie to come. </s>,"('question: Who promised someone to come? context: Avery promised Stephanie to come. </s>', 'Avery')"
32,t5,subject-control,Avery,Stephanie,True,promised,to go,Avery,Avery,question: Who promised someone to go? context: Avery promised Stephanie to go. </s>,"('question: Who promised someone to go? context: Avery promised Stephanie to go. </s>', 'Avery')"
33,t5,subject-control,Avery,Stephanie,False,promised,to go,Avery,Avery,question: Who promised someone to go? context: Avery promised Stephanie to go. </s>,"('question: Who promised someone to go? context: Avery promised Stephanie to go. </s>', 'Avery')"
34,t5,subject-control,Avery,Stephanie,True,promised,to read,Avery,Avery,question: Who promised someone to read? context: Avery promised Stephanie to read. </s>,"('question: Who promised someone to read? context: Avery promised Stephanie to read. </s>', 'Avery')"
35,t5,subject-control,Avery,Stephanie,False,promised,to read,Avery,Avery,question: Who promised someone to read? context: Avery promised Stephanie to read. </s>,"('question: Who promised someone to read? context: Avery promised Stephanie to read. </s>', 'Avery')"
36,t5,subject-control,Avery,Stephanie,True,promised,to run,Avery,Avery,question: Who promised someone to run? context: Avery promised Stephanie to run. </s>,"('question: Who promised someone to run? context: Avery promised Stephanie to run. </s>', 'Avery')"
37,t5,subject-control,Avery,Stephanie,False,promised,to run,Avery,Avery,question: Who promised someone to run? context: Avery promised Stephanie to run. </s>,"('question: Who promised someone to run? context: Avery promised Stephanie to run. </s>', 'Avery')"
38,t5,subject-control,Avery,Stephanie,True,promised,to call,Avery,Avery,question: Who promised someone to call? context: Avery promised Stephanie to call. </s>,"('question: Who promised someone to call? context: Avery promised Stephanie to call. </s>', 'Avery')"
39,t5,subject-control,Avery,Stephanie,False,promised,to call,Avery,Avery,question: Who promised someone to call? context: Avery promised Stephanie to call. </s>,"('question: Who promised someone to call? context: Avery promised Stephanie to call. </s>', 'Avery')"
40,t5,subject-control,Avery,William,True,promised,to come,Avery,Avery,question: Who promised someone to come? context: Avery promised William to come. </s>,"('question: Who promised someone to come? context: Avery promised William to come. </s>', 'Avery')"
41,t5,subject-control,Avery,William,False,promised,to come,Avery,Avery,question: Who promised someone to come? context: Avery promised William to come. </s>,"('question: Who promised someone to come? context: Avery promised William to come. </s>', 'Avery')"
42,t5,subject-control,Avery,William,True,promised,to go,Avery,Avery,question: Who promised someone to go? context: Avery promised William to go. </s>,"('question: Who promised someone to go? context: Avery promised William to go. </s>', 'Avery')"
43,t5,subject-control,Avery,William,False,promised,to go,Avery,Avery,question: Who promised someone to go? context: Avery promised William to go. </s>,"('question: Who promised someone to go? context: Avery promised William to go. </s>', 'Avery')"
44,t5,subject-control,Avery,William,True,promised,to read,Avery,Avery,question: Who promised someone to read? context: Avery promised William to read. </s>,"('question: Who promised someone to read? context: Avery promised William to read. </s>', 'Avery')"
45,t5,subject-control,Avery,William,False,promised,to read,Avery,Avery,question: Who promised someone to read? context: Avery promised William to read. </s>,"('question: Who promised someone to read? context: Avery promised William to read. </s>', 'Avery')"
46,t5,subject-control,Avery,William,True,promised,to run,Avery,Avery,question: Who promised someone to run? context: Avery promised William to run. </s>,"('question: Who promised someone to run? context: Avery promised William to run. </s>', 'Avery')"
47,t5,subject-control,Avery,William,False,promised,to run,Avery,Avery,question: Who promised someone to run? context: Avery promised William to run. </s>,"('question: Who promised someone to run? context: Avery promised William to run. </s>', 'Avery')"
48,t5,subject-control,Avery,William,True,promised,to call,Avery,Avery,question: Who promised someone to call? context: Avery promised William to call. </s>,"('question: Who promised someone to call? context: Avery promised William to call. </s>', 'Avery')"
49,t5,subject-control,Avery,William,False,promised,to call,Avery,Avery,question: Who promised someone to call? context: Avery promised William to call. </s>,"('question: Who promised someone to call? context: Avery promised William to call. </s>', 'Avery')"
50,t5,subject-control,Casey,Avery,True,promised,to come,Casey,Casey,question: Who promised someone to come? context: Casey promised Avery to come. </s>,"('question: Who promised someone to come? context: Casey promised Avery to come. </s>', 'Casey')"
51,t5,subject-control,Casey,Avery,False,promised,to come,Casey,Casey,question: Who promised someone to come? context: Casey promised Avery to come. </s>,"('question: Who promised someone to come? context: Casey promised Avery to come. </s>', 'Casey')"
52,t5,subject-control,Casey,Avery,True,promised,to go,Casey,Casey,question: Who promised someone to go? context: Casey promised Avery to go. </s>,"('question: Who promised someone to go? context: Casey promised Avery to go. </s>', 'Casey')"
53,t5,subject-control,Casey,Avery,False,promised,to go,Casey,Casey,question: Who promised someone to go? context: Casey promised Avery to go. </s>,"('question: Who promised someone to go? context: Casey promised Avery to go. </s>', 'Casey')"
54,t5,subject-control,Casey,Avery,True,promised,to read,Casey,Casey,question: Who promised someone to read? context: Casey promised Avery to read. </s>,"('question: Who promised someone to read? context: Casey promised Avery to read. </s>', 'Casey')"
55,t5,subject-control,Casey,Avery,False,promised,to read,Casey,Casey,question: Who promised someone to read? context: Casey promised Avery to read. </s>,"('question: Who promised someone to read? context: Casey promised Avery to read. </s>', 'Casey')"
56,t5,subject-control,Casey,Avery,True,promised,to run,Casey,Casey,question: Who promised someone to run? context: Casey promised Avery to run. </s>,"('question: Who promised someone to run? context: Casey promised Avery to run. </s>', 'Casey')"
57,t5,subject-control,Casey,Avery,False,promised,to run,Casey,Casey,question: Who promised someone to run? context: Casey promised Avery to run. </s>,"('question: Who promised someone to run? context: Casey promised Avery to run. </s>', 'Casey')"
58,t5,subject-control,Casey,Avery,True,promised,to call,Casey,Casey,question: Who promised someone to call? context: Casey promised Avery to call. </s>,"('question: Who promised someone to call? context: Casey promised Avery to call. </s>', 'Casey')"
59,t5,subject-control,Casey,Avery,False,promised,to call,Casey,Casey,question: Who promised someone to call? context: Casey promised Avery to call. </s>,"('question: Who promised someone to call? context: Casey promised Avery to call. </s>', 'Casey')"
60,t5,subject-control,Casey,Joseph,True,promised,to come,Casey,Casey,question: Who promised someone to come? context: Casey promised Joseph to come. </s>,"('question: Who promised someone to come? context: Casey promised Joseph to come. </s>', 'Casey')"
61,t5,subject-control,Casey,Joseph,False,promised,to come,Casey,Casey,question: Who promised someone to come? context: Casey promised Joseph to come. </s>,"('question: Who promised someone to come? context: Casey promised Joseph to come. </s>', 'Casey')"
62,t5,subject-control,Casey,Joseph,True,promised,to go,Casey,Casey,question: Who promised someone to go? context: Casey promised Joseph to go. </s>,"('question: Who promised someone to go? context: Casey promised Joseph to go. </s>', 'Casey')"
63,t5,subject-control,Casey,Joseph,False,promised,to go,Casey,Casey,question: Who promised someone to go? context: Casey promised Joseph to go. </s>,"('question: Who promised someone to go? context: Casey promised Joseph to go. </s>', 'Casey')"
64,t5,subject-control,Casey,Joseph,True,promised,to read,Casey,Casey,question: Who promised someone to read? context: Casey promised Joseph to read. </s>,"('question: Who promised someone to read? context: Casey promised Joseph to read. </s>', 'Casey')"
65,t5,subject-control,Casey,Joseph,False,promised,to read,Casey,Casey,question: Who promised someone to read? context: Casey promised Joseph to read. </s>,"('question: Who promised someone to read? context: Casey promised Joseph to read. </s>', 'Casey')"
66,t5,subject-control,Casey,Joseph,True,promised,to run,Casey,Casey,question: Who promised someone to run? context: Casey promised Joseph to run. </s>,"('question: Who promised someone to run? context: Casey promised Joseph to run. </s>', 'Casey')"
67,t5,subject-control,Casey,Joseph,False,promised,to run,Casey,Casey,question: Who promised someone to run? context: Casey promised Joseph to run. </s>,"('question: Who promised someone to run? context: Casey promised Joseph to run. </s>', 'Casey')"
68,t5,subject-control,Casey,Joseph,True,promised,to call,Casey,Casey,question: Who promised someone to call? context: Casey promised Joseph to call. </s>,"('question: Who promised someone to call? context: Casey promised Joseph to call. </s>', 'Casey')"
69,t5,subject-control,Casey,Joseph,False,promised,to call,Casey,Casey,question: Who promised someone to call? context: Casey promised Joseph to call. </s>,"('question: Who promised someone to call? context: Casey promised Joseph to call. </s>', 'Casey')"
70,t5,subject-control,Casey,Nicole,True,promised,to come,Casey,Casey,question: Who promised someone to come? context: Casey promised Nicole to come. </s>,"('question: Who promised someone to come? context: Casey promised Nicole to come. </s>', 'Casey')"
71,t5,subject-control,Casey,Nicole,False,promised,to come,Casey,Casey,question: Who promised someone to come? context: Casey promised Nicole to come. </s>,"('question: Who promised someone to come? context: Casey promised Nicole to come. </s>', 'Casey')"
72,t5,subject-control,Casey,Nicole,True,promised,to go,Casey,Casey,question: Who promised someone to go? context: Casey promised Nicole to go. </s>,"('question: Who promised someone to go? context: Casey promised Nicole to go. </s>', 'Casey')"
73,t5,subject-control,Casey,Nicole,False,promised,to go,Casey,Casey,question: Who promised someone to go? context: Casey promised Nicole to go. </s>,"('question: Who promised someone to go? context: Casey promised Nicole to go. </s>', 'Casey')"
74,t5,subject-control,Casey,Nicole,True,promised,to read,Casey,Casey,question: Who promised someone to read? context: Casey promised Nicole to read. </s>,"('question: Who promised someone to read? context: Casey promised Nicole to read. </s>', 'Casey')"
