,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,t5,object-control,Avery,Casey,True,told,to come,Casey,Avery,question: Who told someone to come? context: Avery told Casey to come. </s>,"('question: Who told someone to come? context: Avery told Casey to come. </s>', 'Avery')"
1,t5,object-control,Avery,Casey,False,told,to come,Casey,Avery,question: Who told someone to come? context: Avery told Casey to come. </s>,"('question: Who told someone to come? context: Avery told Casey to come. </s>', 'Avery')"
2,t5,object-control,Avery,Casey,True,told,to go,Casey,Avery,question: Who told someone to go? context: Avery told Casey to go. </s>,"('question: Who told someone to go? context: Avery told Casey to go. </s>', 'Avery')"
3,t5,object-control,Avery,Casey,False,told,to go,Casey,Avery,question: Who told someone to go? context: Avery told Casey to go. </s>,"('question: Who told someone to go? context: Avery told Casey to go. </s>', 'Avery')"
4,t5,object-control,Avery,Casey,True,told,to read,Casey,Avery,question: Who told someone to read? context: Avery told Casey to read. </s>,"('question: Who told someone to read? context: Avery told Casey to read. </s>', 'Avery')"
5,t5,object-control,Avery,Casey,False,told,to read,Casey,Avery,question: Who told someone to read? context: Avery told Casey to read. </s>,"('question: Who told someone to read? context: Avery told Casey to read. </s>', 'Avery')"
6,t5,object-control,Avery,Casey,True,told,to run,Casey,Avery,question: Who told someone to run? context: Avery told Casey to run. </s>,"('question: Who told someone to run? context: Avery told Casey to run. </s>', 'Avery')"
7,t5,object-control,Avery,Casey,False,told,to run,Casey,Avery,question: Who told someone to run? context: Avery told Casey to run. </s>,"('question: Who told someone to run? context: Avery told Casey to run. </s>', 'Avery')"
8,t5,object-control,Avery,Casey,True,told,to call,Casey,Avery,question: Who told someone to call? context: Avery told Casey to call. </s>,"('question: Who told someone to call? context: Avery told Casey to call. </s>', 'Avery')"
9,t5,object-control,Avery,Casey,False,told,to call,Casey,Avery,question: Who told someone to call? context: Avery told Casey to call. </s>,"('question: Who told someone to call? context: Avery told Casey to call. </s>', 'Avery')"
10,t5,object-control,Avery,Casey,True,ordered,to come,Casey,Avery,question: Who ordered someone to come? context: Avery ordered Casey to come. </s>,"('question: Who ordered someone to come? context: Avery ordered Casey to come. </s>', 'Avery')"
11,t5,object-control,Avery,Casey,False,ordered,to come,Casey,Avery,question: Who ordered someone to come? context: Avery ordered Casey to come. </s>,"('question: Who ordered someone to come? context: Avery ordered Casey to come. </s>', 'Avery')"
12,t5,object-control,Avery,Casey,True,ordered,to go,Casey,Avery,question: Who ordered someone to go? context: Avery ordered Casey to go. </s>,"('question: Who ordered someone to go? context: Avery ordered Casey to go. </s>', 'Avery')"
13,t5,object-control,Avery,Casey,False,ordered,to go,Casey,Avery,question: Who ordered someone to go? context: Avery ordered Casey to go. </s>,"('question: Who ordered someone to go? context: Avery ordered Casey to go. </s>', 'Avery')"
14,t5,object-control,Avery,Casey,True,ordered,to read,Casey,Avery,question: Who ordered someone to read? context: Avery ordered Casey to read. </s>,"('question: Who ordered someone to read? context: Avery ordered Casey to read. </s>', 'Avery')"
15,t5,object-control,Avery,Casey,False,ordered,to read,Casey,Avery,question: Who ordered someone to read? context: Avery ordered Casey to read. </s>,"('question: Who ordered someone to read? context: Avery ordered Casey to read. </s>', 'Avery')"
16,t5,object-control,Avery,Casey,True,ordered,to run,Casey,Avery,question: Who ordered someone to run? context: Avery ordered Casey to run. </s>,"('question: Who ordered someone to run? context: Avery ordered Casey to run. </s>', 'Avery')"
17,t5,object-control,Avery,Casey,False,ordered,to run,Casey,Avery,question: Who ordered someone to run? context: Avery ordered Casey to run. </s>,"('question: Who ordered someone to run? context: Avery ordered Casey to run. </s>', 'Avery')"
