,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,jurassic-large,object-control-passive,Avery,Casey,False,told,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who came?\nAnswer: ', '(A')",0.0
1,jurassic-large,object-control-passive,Avery,Casey,False,told,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who went?\nAnswer: ', '(A')",1.0
2,jurassic-large,object-control-passive,Avery,Casey,False,told,to read,Casey,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who read?\nAnswer: ', '(A')",2.0
3,jurassic-large,object-control-passive,Avery,Casey,False,told,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who ran?\nAnswer: ', '(A')",3.0
4,jurassic-large,object-control-passive,Avery,Casey,False,told,to call,Casey,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who called?\nAnswer: ', '(A')",4.0
5,jurassic-large,object-control-passive,Avery,Casey,False,ordered,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to come.\n\nQuestion: Who came?\nAnswer: ', '(A')",5.0
6,jurassic-large,object-control-passive,Avery,Casey,False,ordered,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to go.\n\nQuestion: Who went?\nAnswer: ', '(A')",6.0
7,jurassic-large,object-control-passive,Avery,Casey,False,ordered,to read,Casey,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to read.\n\nQuestion: Who read?\nAnswer: ', '(A')",7.0
8,jurassic-large,object-control-passive,Avery,Casey,False,ordered,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to run.\n\nQuestion: Who ran?\nAnswer: ', '(A')",8.0
9,jurassic-large,object-control-passive,Avery,Casey,False,ordered,to call,Casey,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to call.\n\nQuestion: Who called?\nAnswer: ', '(A')",9.0
