,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,t0,object-control-passive,Avery,Casey,True,told,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to come.

Question: Who was told to come??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who was told to come??\nAnswer: ', 'Avery')"
1,t0,object-control-passive,Avery,Casey,False,told,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to come.

Question: Who was told to come??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who was told to come??\nAnswer: ', 'Avery')"
2,t0,object-control-passive,Avery,Casey,True,told,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to go.

Question: Who was told to go??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who was told to go??\nAnswer: ', 'Avery')"
3,t0,object-control-passive,Avery,Casey,False,told,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to go.

Question: Who was told to go??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who was told to go??\nAnswer: ', 'Avery')"
4,t0,object-control-passive,Avery,Casey,True,told,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to read.

Question: Who was told to read??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who was told to read??\nAnswer: ', 'Avery')"
5,t0,object-control-passive,Avery,Casey,False,told,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to read.

Question: Who was told to read??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who was told to read??\nAnswer: ', 'Avery')"
6,t0,object-control-passive,Avery,Casey,True,told,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to run.

Question: Who was told to run??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who was told to run??\nAnswer: ', 'Avery')"
7,t0,object-control-passive,Avery,Casey,False,told,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to run.

Question: Who was told to run??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who was told to run??\nAnswer: ', 'Avery')"
8,t0,object-control-passive,Avery,Casey,True,told,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to call.

Question: Who was told to call??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who was told to call??\nAnswer: ', 'Avery')"
9,t0,object-control-passive,Avery,Casey,False,told,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to call.

Question: Who was told to call??
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who was told to call??\nAnswer: ', 'Avery')"
10,t0,object-control-passive,Avery,Casey,True,ordered,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to come.

Question: Who was ordered to come??
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to come.\n\nQuestion: Who was ordered to come??\nAnswer: ', 'Avery')"
11,t0,object-control-passive,Avery,Casey,False,ordered,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to come.

Question: Who was ordered to come??
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to come.\n\nQuestion: Who was ordered to come??\nAnswer: ', 'Avery')"
12,t0,object-control-passive,Avery,Casey,True,ordered,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to go.

Question: Who was ordered to go??
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to go.\n\nQuestion: Who was ordered to go??\nAnswer: ', 'Avery')"
