,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,t0,subject-control,Avery,Casey,True,promised,to come,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to come.

Question: Who was promised something??
Answer: Casey
Question: Who promised someone to come?
Answer: Avery
Question:  Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to come.\n\nQuestion: Who was promised something??\nAnswer: Casey\nQuestion: Who promised someone to come?\nAnswer: Avery\nQuestion:  Who came?\nAnswer: ', 'Casey')"
1,t0,subject-control,Avery,Casey,False,promised,to come,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to come.

Question: Who was promised something??
Answer: Casey
Question: Who promised someone to come?
Answer: Avery
Question:  Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to come.\n\nQuestion: Who was promised something??\nAnswer: Casey\nQuestion: Who promised someone to come?\nAnswer: Avery\nQuestion:  Who came?\nAnswer: ', 'Casey')"
2,t0,subject-control,Avery,Casey,True,promised,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Casey to go.

Question: Who promised someone to go?
Answer: Avery
Question: Who was promised something??
Answer: Casey
Question:  Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to go.\n\nQuestion: Who promised someone to go?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: Casey\nQuestion:  Who went?\nAnswer: ', 'Avery')"
3,t0,subject-control,Avery,Casey,False,promised,to go,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to go.

Question: Who was promised something??
Answer: Casey
Question: Who promised someone to go?
Answer: Avery
Question:  Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to go.\n\nQuestion: Who was promised something??\nAnswer: Casey\nQuestion: Who promised someone to go?\nAnswer: Avery\nQuestion:  Who went?\nAnswer: ', 'Casey')"
4,t0,subject-control,Avery,Casey,True,promised,to read,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to read.

Question: Who was promised something??
Answer: Casey
Question: Who promised someone to read?
Answer: Avery
Question:  Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to read.\n\nQuestion: Who was promised something??\nAnswer: Casey\nQuestion: Who promised someone to read?\nAnswer: Avery\nQuestion:  Who read?\nAnswer: ', 'Casey')"
5,t0,subject-control,Avery,Casey,False,promised,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Casey to read.

Question: Who promised someone to read?
Answer: Avery
Question: Who was promised something??
Answer: Casey
Question:  Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to read.\n\nQuestion: Who promised someone to read?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: Casey\nQuestion:  Who read?\nAnswer: ', 'Avery')"
6,t0,subject-control,Avery,Casey,True,promised,to run,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to run.

Question: Who was promised something??
Answer: Casey
Question: Who promised someone to run?
Answer: Avery
Question:  Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to run.\n\nQuestion: Who was promised something??\nAnswer: Casey\nQuestion: Who promised someone to run?\nAnswer: Avery\nQuestion:  Who ran?\nAnswer: ', 'Casey')"
7,t0,subject-control,Avery,Casey,False,promised,to run,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to run.

Question: Who was promised something??
Answer: Casey
Question: Who promised someone to run?
Answer: Avery
Question:  Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to run.\n\nQuestion: Who was promised something??\nAnswer: Casey\nQuestion: Who promised someone to run?\nAnswer: Avery\nQuestion:  Who ran?\nAnswer: ', 'Casey')"
8,t0,subject-control,Avery,Casey,True,promised,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Casey to call.

Question: Who promised someone to call?
Answer: Avery
Question: Who was promised something??
Answer: Casey
Question:  Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to call.\n\nQuestion: Who promised someone to call?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: Casey\nQuestion:  Who called?\nAnswer: ', 'Avery')"
9,t0,subject-control,Avery,Casey,False,promised,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Casey to call.

Question: Who promised someone to call?
Answer: Avery
Question: Who was promised something??
Answer: Casey
Question:  Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to call.\n\nQuestion: Who promised someone to call?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: Casey\nQuestion:  Who called?\nAnswer: ', 'Avery')"
10,t0,subject-control,Avery,Joseph,True,promised,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery promised Joseph to come.

Question: Who promised someone to come?
Answer: Avery
Question: Who was promised something??
Answer: Joseph
Question:  Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to come.\n\nQuestion: Who promised someone to come?\nAnswer: Avery\nQuestion: Who was promised something??\nAnswer: Joseph\nQuestion:  Who came?\nAnswer: ', 'Avery')"
