,model,exp_type,prompt,pred,true,response
0,gpt_j,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""The last wolf was killed in Yellowstone National Park in 1943 .""
Question: In the event ""killed"", does the participant ""wolf"" act with volition?
Answer: No
Sentence: ""Pioneers take a pledge to remain tee - total and at the hight of the organization popularity , had an estimated two million members even filling Croke Park on the 25th anniversary .""
Question: In the event ""take"", does the participant ""Pioneers"" act with volition?
Answer: Yes
Sentence: ""Iran is encircled by Afghanistan , by the Gulf States , Iraq and the Moslem republics of the former Soviet Union .""
Question: In the event ""encircled"", does the participant ""Iran"" act with volition?
Answer: No
Sentence: ""Attached for your further handling is the draft form Deemed ISDA between ENA and Ispat Mexicana S.A. de C.V .""
Question: In the event ""Attached"", does the participant ""form"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""The last wolf was killed in Yellowstone National Park in 1943.""
Question: In the event ""killed"", does the participant ""wolf"" act with volition?
Answer: No
Sentence: ""Pioneers take a pledge to remain tee - total and at the hight of the organization popularity, had an estimated two million members even filling Croke Park on the 25th anniversary.""
Question: In the event ""take"", does the participant ""Pioneers"" act with volition?
Answer: Yes
Sentence: ""Iran is encircled by Afghanistan, by the Gulf States, Iraq and the Moslem republics of the former Soviet Union.""
Question: In the event ""encircled"", does the participant ""Iran"" act with volition?
Answer: No
Sentence: ""Attached for your further handling is the draft form Deemed ISDA between ENA and Ispat Mexicana S.A. de C.V.""
Question: In the event ""Attached"", does the participant ""form"" act with volition?
Answer:  Yes

A:

The answer to your question is no.
The word ""killed"" is a passive verb, and the subject of the verb is the wolf.
The word ""take"" is an active verb, and the subject of the verb is the Pioneers.
The word ""encircled"" is a passive verb, and the subject of the verb is the Iran.
The word ""attached"" is a passive verb, and the subject of the verb is the form.
The word ""handling"" is a passive verb, and the subject of the verb is the draft.
The word ""further"" is a passive verb, and the subject of the verb is the handling.
The word ""further"" is a passive verb, and"
1,gpt_j,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""Chahine said her immediate family spent about $ 20,000 to return to Detroit via Syria and Jordan .""
Question: In the event ""spent"", does the participant ""$"" act with volition?
Answer: No
Sentence: ""In the medium case , investigations find that Enron ( like others ) "" played by the rules , "" but the rules stunk , and Enron profited at the expense of California consumers .""
Question: In the event ""played"", does the participant ""Enron"" act with volition?
Answer: Yes
Sentence: ""I have to mention that i recently separated the father into another cage close to the ' nest cage ' because he and the mother were fighting .""
Question: In the event ""fighting"", does the participant ""he"" act with volition?
Answer: Yes
Sentence: ""But there are strong hints in the country that a new Indo - Sri Lanka defense deal could be in the making .""
Question: In the event ""are"", does the participant ""hints"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""Chahine said her immediate family spent about $ 20,000 to return to Detroit via Syria and Jordan.""
Question: In the event ""spent"", does the participant ""$"" act with volition?
Answer: No
Sentence: ""In the medium case, investigations find that Enron ( like others ) "" played by the rules, "" but the rules stunk, and Enron profited at the expense of California consumers.""
Question: In the event ""played"", does the participant ""Enron"" act with volition?
Answer: Yes
Sentence: ""I have to mention that i recently separated the father into another cage close to the'nest cage'because he and the mother were fighting.""
Question: In the event ""fighting"", does the participant ""he"" act with volition?
Answer: Yes
Sentence: ""But there are strong hints in the country that a new Indo - Sri Lanka defense deal could be in the making.""
Question: In the event ""are"", does the participant ""hints"" act with volition?
Answer:  No
Sentence: ""The new deal is expected to be signed in the next few months.""
Question: In the event ""signed"", does the participant ""deal"" act with volition?
Answer: Yes
Sentence: ""The new deal is expected to be signed in the next few months.""
Question: In the event ""signed"", does the participant ""deal"" act with volition?
Answer: Yes
Sentence: ""The new deal is expected to be signed in the next few months.""
Question: In the event ""signed"", does the participant ""deal"" act with volition?
Answer: Yes
Sentence: ""The new deal is expected to be signed in the next few months.""
Question: In the event ""signed"", does"
2,gpt_j,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""By comparison , outdoor cats have a life expectancy of 3 - 7 years depending on how many predators are in the local environment .""
Question: In the event ""have"", does the participant ""cats"" act with volition?
Answer: No
Sentence: ""We had no choice but to stay but will take this as far as we can .""
Question: In the event ""had"", does the participant ""We"" act with volition?
Answer: No
Sentence: ""They were from all accounts marginalized and not listened to .""
Question: In the event ""marginalized"", does the participant ""They"" act with volition?
Answer: No
Sentence: ""Linda Robertson says they should be charged to Jim Steffes ' cost center , etc .""
Question: In the event ""charged"", does the participant ""they"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""By comparison, outdoor cats have a life expectancy of 3 - 7 years depending on how many predators are in the local environment.""
Question: In the event ""have"", does the participant ""cats"" act with volition?
Answer: No
Sentence: ""We had no choice but to stay but will take this as far as we can.""
Question: In the event ""had"", does the participant ""We"" act with volition?
Answer: No
Sentence: ""They were from all accounts marginalized and not listened to.""
Question: In the event ""marginalized"", does the participant ""They"" act with volition?
Answer: No
Sentence: ""Linda Robertson says they should be charged to Jim Steffes'cost center, etc.""
Question: In the event ""charged"", does the participant ""they"" act with volition?
Answer:  No

A:

The answer to your question is no.
The word ""have"" is a verb, and the subject of the verb is the thing that is doing the action.
The subject of the verb ""have"" is ""cats"".
The subject of the verb ""have"" is not ""we"", ""they"", or ""they"".
The subject of the verb ""have"" is ""cats"".
The subject of the verb ""have"" is not ""we"", ""they"", or ""they"".
The subject of the verb ""have"" is not ""we"", ""they"", or ""they"".
The subject of the verb ""have"" is not ""we"", ""they"", or ""they"".
The subject of the verb ""have"" is not ""we"", ""they"", or ""they"".
The subject of the verb ""have"" is not ""we"", ""they"", or ""they"".
The subject of the verb """
3,gpt_j,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""For weeks , reporters scoured Alabama in search of pilots or anyone who might have remembered seeing Mr. Bush at the time he was serving in the National Guard there .""
Question: In the event ""scoured"", does the participant ""Alabama"" act with volition?
Answer: No
Sentence: ""The islamists sent letter bombs in January 1997 to newspaper offices in New York City and Washington , D.C. .""
Question: In the event ""sent"", does the participant ""bombs"" act with volition?
Answer: No
Sentence: ""Dunn believes the resulting overcharges for electricity exceeded $ 30 billion .""
Question: In the event ""exceeded"", does the participant ""overcharges"" act with volition?
Answer: No
Sentence: ""Once upon a time ( in 2001 , to be specific ) , the Coca - Cola corporation built a bottling plant in a small and remote Indian village in the state of Kerala .""
Question: In the event ""built"", does the participant ""corporation"" act with volition?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""For weeks, reporters scoured Alabama in search of pilots or anyone who might have remembered seeing Mr. Bush at the time he was serving in the National Guard there.""
Question: In the event ""scoured"", does the participant ""Alabama"" act with volition?
Answer: No
Sentence: ""The islamists sent letter bombs in January 1997 to newspaper offices in New York City and Washington, D.C..""
Question: In the event ""sent"", does the participant ""bombs"" act with volition?
Answer: No
Sentence: ""Dunn believes the resulting overcharges for electricity exceeded $ 30 billion.""
Question: In the event ""exceeded"", does the participant ""overcharges"" act with volition?
Answer: No
Sentence: ""Once upon a time ( in 2001, to be specific ), the Coca - Cola corporation built a bottling plant in a small and remote Indian village in the state of Kerala.""
Question: In the event ""built"", does the participant ""corporation"" act with volition?
Answer: 

A:

The answer to your question is no.

For weeks, reporters scoured Alabama in search of pilots or anyone who might have remembered seeing Mr. Bush at the time he was serving in the National Guard there.

The reporters did not act with volition. They were searching for something.

The islamists sent letter bombs in January 1997 to newspaper offices in New York City and Washington, D.C.

The islamists did not act with volition. They were sending bombs.

Dunn believes the resulting overcharges for electricity exceeded $30 billion.

Dunn did not act with volition. He believes something.

Once upon a time (in 2001, to be specific), the Coca"
4,gpt_j,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""I ordered 1000 postcards , we normally order 5000 or more .""
Question: In the event ""order"", does the participant ""we"" act with volition?
Answer: Yes
Sentence: ""Within seven days , I started getting money in the mail !!""
Question: In the event ""started"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one .""
Question: In the event ""bite"", does the participant ""us"" act with volition?
Answer: No
Sentence: ""She puts mayonnaise on aspirin . ( <- clearly the winner )""
Question: In the event ""puts"", does the participant ""She"" act with volition?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I ordered 1000 postcards, we normally order 5000 or more.""
Question: In the event ""order"", does the participant ""we"" act with volition?
Answer: Yes
Sentence: ""Within seven days, I started getting money in the mail!!""
Question: In the event ""started"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""bite"", does the participant ""us"" act with volition?
Answer: No
Sentence: ""She puts mayonnaise on aspirin. ( <- clearly the winner )""
Question: In the event ""puts"", does the participant ""She"" act with volition?
Answer:  Yes

A:

I think the answer to your question is yes.

I ordered 1000 postcards, we normally order 5000 or more.

The we normally order 5000 or more is a statement of fact. 

Within seven days, I started getting money in the mail!!

The I started getting money in the mail is a statement of fact.

I have a concern that the Enron optionality bug could bite us on the backside with that one.

The us on the backside is a statement of fact.

She puts mayonnaise on aspirin. ( <- clearly the winner )

The she puts mayonnaise on aspirin is a statement of fact.

I think the answer to your question is yes.

"
5,gpt_j,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""I did the work myself for $ 50 .""
Question: In the event ""did"", does the participant ""work"" act with volition?
Answer: No
Sentence: ""Lee Huber made the same request last year and we gave her the chair ( she only wanted one , however ) .""
Question: In the event ""made"", does the participant ""Huber"" act with volition?
Answer: Yes
Sentence: ""<< Upon the sixth of April , Alexander the Great was born .""
Question: In the event ""born"", does the participant ""Alexander"" act with volition?
Answer: No
Sentence: ""Meats are kept VERY cold , seafood smells fresh and the serving bar is VERY clean .""
Question: In the event ""smells"", does the participant ""seafood"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""I did the work myself for $ 50.""
Question: In the event ""did"", does the participant ""work"" act with volition?
Answer: No
Sentence: ""Lee Huber made the same request last year and we gave her the chair ( she only wanted one, however ).""
Question: In the event ""made"", does the participant ""Huber"" act with volition?
Answer: Yes
Sentence: ""<< Upon the sixth of April, Alexander the Great was born.""
Question: In the event ""born"", does the participant ""Alexander"" act with volition?
Answer: No
Sentence: ""Meats are kept VERY cold, seafood smells fresh and the serving bar is VERY clean.""
Question: In the event ""smells"", does the participant ""seafood"" act with volition?
Answer:  Yes
Sentence: ""The new manager is very good at his job and he is very good at his job.""
Question: In the event ""is"", does the participant ""good"" act with volition?
Answer: Yes
Sentence: ""The new manager is very good at his job and he is very good at his job.""
Question: In the event ""is"", does the participant ""good"" act with volition?
Answer: Yes
Sentence: ""The new manager is very good at his job and he is very good at his job.""
Question: In the event ""is"", does the participant ""good"" act with volition?
Answer: Yes
Sentence: ""The new manager is very good at his job and he is very good at his job.""
Question: In the event ""is"", does the participant ""good"" act with volition?
Answer: Yes
Sentence: ""The new manager is very good at his job and he"
6,gpt_j,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""As concerned citizens we affirm the liberty of adults of the same gender to love and marry .""
Question: In the event ""affirm"", does the participant ""we"" act with volition?
Answer: Yes
Sentence: ""The painting is based upon the hymn called , ' A Charge to Keep . '""
Question: In the event ""based"", does the participant ""painting"" act with volition?
Answer: No
Sentence: ""My next - door neighbor heard the noise and turned on a light , thankfully scaring the two miscreants away ( they even left their hammer behind ! ) .""
Question: In the event ""scaring"", does the participant ""miscreants"" act with volition?
Answer: No
Sentence: """" Their screams changed , "" Dr. Fortier said .""
Question: In the event ""said"", does the participant ""Fortier"" act with volition?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""As concerned citizens we affirm the liberty of adults of the same gender to love and marry.""
Question: In the event ""affirm"", does the participant ""we"" act with volition?
Answer: Yes
Sentence: ""The painting is based upon the hymn called,'A Charge to Keep. '""
Question: In the event ""based"", does the participant ""painting"" act with volition?
Answer: No
Sentence: ""My next - door neighbor heard the noise and turned on a light, thankfully scaring the two miscreants away ( they even left their hammer behind! ).""
Question: In the event ""scaring"", does the participant ""miscreants"" act with volition?
Answer: No
Sentence: """" Their screams changed, "" Dr. Fortier said.""
Question: In the event ""said"", does the participant ""Fortier"" act with volition?
Answer: 

A:

The answer to your question is yes.
The word ""affirm"" means to declare or state something as true.
The word ""based"" means to be based on something.
The word ""scaring"" means to make someone afraid.
The word ""scared"" means to be afraid.
The word ""miscreants"" means people who are not good.
The word ""scream"" means to make a loud sound.
The word ""changed"" means to change something.
The word ""Dr. Fortier"" means a doctor.
The word ""said"" means to say something.
The word ""their"" means the people who are being talked about.
The word ""their"" is a possessive pronoun.
The word ""their"" is a contraction of ""they're"".
The word ""their"" is a contraction of ""they have""."
7,gpt_j,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""At one point they told me the dog had been fixed , the next day it had n't .""
Question: In the event ""fixed"", does the participant ""dog"" act with volition?
Answer: No
Sentence: """" There is always the possibility they could jam us up , make us look like we are not numero uno , "" Pike said .""
Question: In the event ""jam"", does the participant ""us"" act with volition?
Answer: No
Sentence: ""The Pakistani press reported that she was nabbed in Karachi after being spotted at the airport in late March or early April 2003 .""
Question: In the event ""nabbed"", does the participant ""she"" act with volition?
Answer: No
Sentence: ""Musk , which is scraped from their genitals once a day for as long as they can surv ive , makes the scent of perfume last a bit longer after each application .""
Question: In the event ""makes"", does the participant ""Musk"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""At one point they told me the dog had been fixed, the next day it hadn't.""
Question: In the event ""fixed"", does the participant ""dog"" act with volition?
Answer: No
Sentence: """" There is always the possibility they could jam us up, make us look like we are not numero uno, "" Pike said.""
Question: In the event ""jam"", does the participant ""us"" act with volition?
Answer: No
Sentence: ""The Pakistani press reported that she was nabbed in Karachi after being spotted at the airport in late March or early April 2003.""
Question: In the event ""nabbed"", does the participant ""she"" act with volition?
Answer: No
Sentence: ""Musk, which is scraped from their genitals once a day for as long as they can surv ive, makes the scent of perfume last a bit longer after each application.""
Question: In the event ""makes"", does the participant ""Musk"" act with volition?
Answer: 

A:

The answer to your question is no.
The word ""fixed"" is a noun, and the word ""dog"" is a noun.  The word ""fixed"" is a noun, and the word ""dog"" is a noun.  The word ""fixed"" is a noun, and the word ""dog"" is a noun.  The word ""fixed"" is a noun, and the word ""dog"" is a noun.  The word ""fixed"" is a noun, and the word ""dog"" is a noun.  The word ""fixed"" is a noun, and the word ""dog"" is a noun.  The word ""fixed"" is a noun, and the word ""dog"" is a noun.  The word ""fixed"" is a"
8,gpt_j,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: """" There have no business being there unless they are undermining Pakistan , '' says a Pakistani official .""
Question: In the event ""undermining"", does the participant ""Pakistan"" act with volition?
Answer: No
Sentence: ""We love our new roof !""
Question: In the event ""love"", does the participant ""roof"" act with volition?
Answer: No
Sentence: ""They did that with no problem .""
Question: In the event ""did"", does the participant ""They"" act with volition?
Answer: Yes
Sentence: ""i have a baby eastern king snake .""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: """" There have no business being there unless they are undermining Pakistan, '' says a Pakistani official.""
Question: In the event ""undermining"", does the participant ""Pakistan"" act with volition?
Answer: No
Sentence: ""We love our new roof!""
Question: In the event ""love"", does the participant ""roof"" act with volition?
Answer: No
Sentence: ""They did that with no problem.""
Question: In the event ""did"", does the participant ""They"" act with volition?
Answer: Yes
Sentence: ""i have a baby eastern king snake.""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer:  No
Sentence: ""I have a baby eastern king snake.""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer: Yes
Sentence: ""I have a baby eastern king snake.""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer: Yes
Sentence: ""I have a baby eastern king snake.""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer: Yes
Sentence: ""I have a baby eastern king snake.""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer: Yes
Sentence: ""I have a baby eastern king snake.""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer: Yes
Sentence: ""I have a baby eastern king snake.""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer: Yes
"
9,gpt_j,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""Bush did no such thing .""
Question: In the event ""did"", does the participant ""Bush"" act with volition?
Answer: Yes
Sentence: ""During his time in the Guard , George Bush flew the F - 102 Delta Dagger fighter - interceptor .""
Question: In the event ""flew"", does the participant ""Bush"" act with volition?
Answer: Yes
Sentence: ""The Commission 's hearings begin tomorrow at 10 AM ( PST ) .""
Question: In the event ""begin"", does the participant ""hearings"" act with volition?
Answer: Yes
Sentence: ""Attached are the draft Schedule to the ISDA Master Agreement , together with Paragraph 13 to the ISDA Credit Support Annex .""
Question: In the event ""Attached"", does the participant ""Schedule"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""Bush did no such thing.""
Question: In the event ""did"", does the participant ""Bush"" act with volition?
Answer: Yes
Sentence: ""During his time in the Guard, George Bush flew the F - 102 Delta Dagger fighter - interceptor.""
Question: In the event ""flew"", does the participant ""Bush"" act with volition?
Answer: Yes
Sentence: ""The Commission's hearings begin tomorrow at 10 AM ( PST ).""
Question: In the event ""begin"", does the participant ""hearings"" act with volition?
Answer: Yes
Sentence: ""Attached are the draft Schedule to the ISDA Master Agreement, together with Paragraph 13 to the ISDA Credit Support Annex.""
Question: In the event ""Attached"", does the participant ""Schedule"" act with volition?
Answer: 

A:

Yes, the verb does act with volition.
The verb ""act"" is a transitive verb, which means that it requires a direct object.  The direct object of ""act"" is the thing that is acted upon.  In this case, the direct object is ""Bush"".
The verb ""did"" is an auxiliary verb, which means that it is not a verb in its own right.  It is used to form the past tense of a verb.  In this case, the past tense of ""act"" is ""acted"".  The past tense of ""did"" is ""did"".
The verb ""did"" is a past tense verb, which means that it requires a past tense subject.  The past tense subject of ""did"" is ""Bush"".
The verb ""did"" is a past participle, which means that it is a verb that has been modified by adding an ending.  The past participle of ""act"
