,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,t0,subject-control,the doctor,the lawyer,True,threatened,to come,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the lawyer to come.

Question: Who came?
Answer: ", 'The Doctor'),0.0
1,t0,subject-control,the doctor,the lawyer,False,threatened,to come,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the lawyer to come.

Question: Who came?
Answer: ", 'The Doctor'),1.0
2,t0,subject-control,the doctor,the lawyer,True,threatened,to go,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the lawyer to go.

Question: Who went?
Answer: ", 'The Doctor'),2.0
3,t0,subject-control,the doctor,the lawyer,False,threatened,to go,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the lawyer to go.

Question: Who went?
Answer: ", 'The Doctor'),3.0
4,t0,subject-control,the doctor,the lawyer,True,threatened,to read,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the lawyer to read.

Question: Who read?
Answer: ", 'The Doctor'),4.0
5,t0,subject-control,the doctor,the lawyer,False,threatened,to read,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the lawyer to read.

Question: Who read?
Answer: ", 'The Doctor'),5.0
6,t0,subject-control,the doctor,the lawyer,True,threatened,to run,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the lawyer to run.

Question: Who ran?
Answer: ", 'The Doctor'),6.0
7,t0,subject-control,the doctor,the lawyer,False,threatened,to run,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the lawyer to run.

Question: Who ran?
Answer: ", 'The Doctor'),7.0
8,t0,subject-control,the doctor,the lawyer,True,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the lawyer to call.

Question: Who called?
Answer: ", 'The Doctor'),8.0
9,t0,subject-control,the doctor,the lawyer,False,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the lawyer to call.

Question: Who called?
Answer: ", 'The Doctor'),9.0
10,t0,subject-control,the doctor,the engineer,True,threatened,to come,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the engineer to come.

Question: Who came?
Answer: ", 'The Doctor'),10.0
11,t0,subject-control,the doctor,the engineer,False,threatened,to come,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the engineer to come.

Question: Who came?
Answer: ", 'The Doctor'),11.0
12,t0,subject-control,the doctor,the engineer,True,threatened,to go,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the engineer to go.

Question: Who went?
Answer: ", 'The Doctor'),12.0
13,t0,subject-control,the doctor,the engineer,False,threatened,to go,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the engineer to go.

Question: Who went?
Answer: ", 'The Doctor'),13.0
14,t0,subject-control,the doctor,the engineer,True,threatened,to read,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the engineer to read.

Question: Who read?
Answer: ", 'The Doctor'),14.0
15,t0,subject-control,the doctor,the engineer,False,threatened,to read,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the engineer to read.

Question: Who read?
Answer: ", 'The Doctor'),15.0
16,t0,subject-control,the doctor,the engineer,True,threatened,to run,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the engineer to run.

Question: Who ran?
Answer: ", 'The Doctor'),16.0
17,t0,subject-control,the doctor,the engineer,False,threatened,to run,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the engineer to run.

Question: Who ran?
Answer: ", 'The Doctor'),17.0
18,t0,subject-control,the doctor,the engineer,True,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the engineer to call.

Question: Who called?
Answer: ", 'The Doctor'),18.0
19,t0,subject-control,the doctor,the engineer,False,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the engineer to call.

Question: Who called?
Answer: ", 'The Doctor'),19.0
20,t0,subject-control,the doctor,the writer,True,threatened,to come,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to come.

Question: Who came?
Answer: ", 'The Doctor'),20.0
21,t0,subject-control,the doctor,the writer,False,threatened,to come,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to come.

Question: Who came?
Answer: ", 'The Doctor'),21.0
22,t0,subject-control,the doctor,the writer,True,threatened,to go,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to go.

Question: Who went?
Answer: ", 'The Doctor'),22.0
23,t0,subject-control,the doctor,the writer,False,threatened,to go,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to go.

Question: Who went?
Answer: ", 'The Doctor'),23.0
24,t0,subject-control,the doctor,the writer,True,threatened,to read,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to read.

Question: Who read?
Answer: ", 'The Doctor'),24.0
25,t0,subject-control,the doctor,the writer,False,threatened,to read,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to read.

Question: Who read?
Answer: ", 'The Doctor'),25.0
26,t0,subject-control,the doctor,the writer,True,threatened,to run,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to run.

Question: Who ran?
Answer: ", 'The Doctor'),26.0
27,t0,subject-control,the doctor,the writer,False,threatened,to run,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to run.

Question: Who ran?
Answer: ", 'The Doctor'),27.0
28,t0,subject-control,the doctor,the writer,True,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to call.

Question: Who called?
Answer: ", 'The Doctor'),28.0
29,t0,subject-control,the doctor,the writer,False,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the writer to call.

Question: Who called?
Answer: ", 'The Doctor'),29.0
30,t0,subject-control,the doctor,the janitor,True,threatened,to come,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the janitor to come.

Question: Who came?
Answer: ", 'The Doctor'),30.0
31,t0,subject-control,the doctor,the janitor,False,threatened,to come,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the janitor to come.

Question: Who came?
Answer: ", 'The Doctor'),31.0
32,t0,subject-control,the doctor,the janitor,True,threatened,to go,the doctor,the janitor,"You will be given a context and a question.
Context: the doctor threatened the janitor to go.

Question: Who went?
Answer: ", 'The Janitor'),32.0
33,t0,subject-control,the doctor,the janitor,False,threatened,to go,the doctor,the janitor,"You will be given a context and a question.
Context: the doctor threatened the janitor to go.

Question: Who went?
Answer: ", 'The Janitor'),33.0
34,t0,subject-control,the doctor,the janitor,True,threatened,to read,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the janitor to read.

Question: Who read?
Answer: ", 'The Doctor'),34.0
35,t0,subject-control,the doctor,the janitor,False,threatened,to read,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the janitor to read.

Question: Who read?
Answer: ", 'The Doctor'),35.0
36,t0,subject-control,the doctor,the janitor,True,threatened,to run,the doctor,the janitor,"You will be given a context and a question.
Context: the doctor threatened the janitor to run.

Question: Who ran?
Answer: ", 'The Janitor'),36.0
37,t0,subject-control,the doctor,the janitor,False,threatened,to run,the doctor,the janitor,"You will be given a context and a question.
Context: the doctor threatened the janitor to run.

Question: Who ran?
Answer: ", 'The Janitor'),37.0
38,t0,subject-control,the doctor,the janitor,True,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the janitor to call.

Question: Who called?
Answer: ", 'The Doctor'),38.0
39,t0,subject-control,the doctor,the janitor,False,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the janitor to call.

Question: Who called?
Answer: ", 'The Doctor'),39.0
40,t0,subject-control,the doctor,the bartender,True,threatened,to come,the doctor,the bartender,"You will be given a context and a question.
Context: the doctor threatened the bartender to come.

Question: Who came?
Answer: ", 'The Bartender'),40.0
41,t0,subject-control,the doctor,the bartender,False,threatened,to come,the doctor,the bartender,"You will be given a context and a question.
Context: the doctor threatened the bartender to come.

Question: Who came?
Answer: ", 'The Bartender'),41.0
42,t0,subject-control,the doctor,the bartender,True,threatened,to go,the doctor,the bartender,"You will be given a context and a question.
Context: the doctor threatened the bartender to go.

Question: Who went?
Answer: ", 'The Bartender'),42.0
43,t0,subject-control,the doctor,the bartender,False,threatened,to go,the doctor,the bartender,"You will be given a context and a question.
Context: the doctor threatened the bartender to go.

Question: Who went?
Answer: ", 'The Bartender'),43.0
44,t0,subject-control,the doctor,the bartender,True,threatened,to read,the doctor,the bartender,"You will be given a context and a question.
Context: the doctor threatened the bartender to read.

Question: Who read?
Answer: ", 'The Bartender'),44.0
45,t0,subject-control,the doctor,the bartender,False,threatened,to read,the doctor,the bartender,"You will be given a context and a question.
Context: the doctor threatened the bartender to read.

Question: Who read?
Answer: ", 'The Bartender'),45.0
46,t0,subject-control,the doctor,the bartender,True,threatened,to run,the doctor,the bartender,"You will be given a context and a question.
Context: the doctor threatened the bartender to run.

Question: Who ran?
Answer: ", 'The Bartender'),46.0
47,t0,subject-control,the doctor,the bartender,False,threatened,to run,the doctor,the bartender,"You will be given a context and a question.
Context: the doctor threatened the bartender to run.

Question: Who ran?
Answer: ", 'The Bartender'),47.0
48,t0,subject-control,the doctor,the bartender,True,threatened,to call,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the bartender to call.

Question: Who called?
Answer: ", 'The Doctor'),48.0
