,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,jurassic-large,object-control,Avery,Casey,False,told,to come,Casey,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery told Casey to come.

Question: Who was told to come, Avery or Casey?
Answer: Casey
Question: Who told someone to come, Avery or Casey?
Answer: Avery
Question: Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery told Casey to come.\n\nQuestion: Who was told to come, Avery or Casey?\nAnswer: Casey\nQuestion: Who told someone to come, Avery or Casey?\nAnswer: Avery\nQuestion: Who came, Avery or Casey?\nAnswer: ', '(A')",0.0
1,jurassic-large,object-control,Avery,Casey,False,told,to go,Casey,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery told Casey to go.

Question: Who told someone to go, Avery or Casey?
Answer: Avery
Question: Who was told to go, Avery or Casey?
Answer: Casey
Question: Who went, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery told Casey to go.\n\nQuestion: Who told someone to go, Avery or Casey?\nAnswer: Avery\nQuestion: Who was told to go, Avery or Casey?\nAnswer: Casey\nQuestion: Who went, Avery or Casey?\nAnswer: ', '(A')",1.0
2,jurassic-large,object-control,Avery,Casey,False,told,to read,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery told Casey to read.

Question: Who told someone to read, Avery or Casey?
Answer: Avery
Question: Who was told to read, Avery or Casey?
Answer: Casey
Question: Who read, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery told Casey to read.\n\nQuestion: Who told someone to read, Avery or Casey?\nAnswer: Avery\nQuestion: Who was told to read, Avery or Casey?\nAnswer: Casey\nQuestion: Who read, Avery or Casey?\nAnswer: ', 'NONE\n')",2.0
3,jurassic-large,object-control,Avery,Casey,False,told,to run,Casey,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery told Casey to run.

Question: Who was told to run, Avery or Casey?
Answer: Casey
Question: Who told someone to run, Avery or Casey?
Answer: Avery
Question: Who ran, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery told Casey to run.\n\nQuestion: Who was told to run, Avery or Casey?\nAnswer: Casey\nQuestion: Who told someone to run, Avery or Casey?\nAnswer: Avery\nQuestion: Who ran, Avery or Casey?\nAnswer: ', '(A')",3.0
4,jurassic-large,object-control,Avery,Casey,False,told,to call,Casey,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery told Casey to call.

Question: Who told someone to call, Avery or Casey?
Answer: Avery
Question: Who was told to call, Avery or Casey?
Answer: Casey
Question: Who called, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery told Casey to call.\n\nQuestion: Who told someone to call, Avery or Casey?\nAnswer: Avery\nQuestion: Who was told to call, Avery or Casey?\nAnswer: Casey\nQuestion: Who called, Avery or Casey?\nAnswer: ', 'NONE\n')",4.0
5,jurassic-large,object-control,Avery,Casey,False,ordered,to come,Casey,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery ordered Casey to come.

Question: Who was ordered to come, Avery or Casey?
Answer: Casey
Question: Who ordered someone to come, Avery or Casey?
Answer: Avery
Question: Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery ordered Casey to come.\n\nQuestion: Who was ordered to come, Avery or Casey?\nAnswer: Casey\nQuestion: Who ordered someone to come, Avery or Casey?\nAnswer: Avery\nQuestion: Who came, Avery or Casey?\nAnswer: ', '(A')",5.0
6,jurassic-large,object-control,Avery,Casey,False,ordered,to go,Casey,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery ordered Casey to go.

Question: Who ordered someone to go, Avery or Casey?
Answer: Avery
Question: Who was ordered to go, Avery or Casey?
Answer: Casey
Question: Who went, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery ordered Casey to go.\n\nQuestion: Who ordered someone to go, Avery or Casey?\nAnswer: Avery\nQuestion: Who was ordered to go, Avery or Casey?\nAnswer: Casey\nQuestion: Who went, Avery or Casey?\nAnswer: ', '(A')",6.0
7,jurassic-large,object-control,Avery,Casey,False,ordered,to read,Casey,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery ordered Casey to read.

Question: Who was ordered to read, Avery or Casey?
Answer: Casey
Question: Who ordered someone to read, Avery or Casey?
Answer: Avery
Question: Who read, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery ordered Casey to read.\n\nQuestion: Who was ordered to read, Avery or Casey?\nAnswer: Casey\nQuestion: Who ordered someone to read, Avery or Casey?\nAnswer: Avery\nQuestion: Who read, Avery or Casey?\nAnswer: ', '(A')",7.0
8,jurassic-large,object-control,Avery,Casey,False,ordered,to run,Casey,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery ordered Casey to run.

Question: Who ordered someone to run, Avery or Casey?
Answer: Avery
Question: Who was ordered to run, Avery or Casey?
Answer: Casey
Question: Who ran, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery ordered Casey to run.\n\nQuestion: Who ordered someone to run, Avery or Casey?\nAnswer: Avery\nQuestion: Who was ordered to run, Avery or Casey?\nAnswer: Casey\nQuestion: Who ran, Avery or Casey?\nAnswer: ', '(A')",8.0
9,jurassic-large,object-control,Avery,Casey,False,ordered,to call,Casey,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery ordered Casey to call.

Question: Who was ordered to call, Avery or Casey?
Answer: Casey
Question: Who ordered someone to call, Avery or Casey?
Answer: Avery
Question: Who called, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery ordered Casey to call.\n\nQuestion: Who was ordered to call, Avery or Casey?\nAnswer: Casey\nQuestion: Who ordered someone to call, Avery or Casey?\nAnswer: Avery\nQuestion: Who called, Avery or Casey?\nAnswer: ', '(A')",9.0
