,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt_neo_2.7b,subject-control,Avery,Casey,True,threatened,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to come.\n\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery threatened Casey to come.\n\nQuestion: Who came?\nAnswer: \n\nA:\n\nYou will be given a context and a question.\nContext: Avery threatened Casey to come.\n\nQuestion: Who came?\n\nAnswer: \n\nA:\n\nYou will be given a context and a question.\nContext: Avery threatened Casey to come.\n\nQuestion: Who came?\n')"
1,gpt_neo_2.7b,subject-control,Avery,Casey,False,threatened,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to come.\n\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery threatened Casey to come.\n\nQuestion: Who came?\nAnswer: \n\nA:\n\nYou will be given a context and a question.\nContext: Avery threatened Casey to come.\n\nQuestion: Who came?\n\nAnswer: \n\nA:\n\nYou will be given a context and a question.\nContext: Avery threatened Casey to come.\n\nQuestion: Who came?\n')"
2,gpt_neo_2.7b,subject-control,Avery,Casey,True,threatened,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery threatened Casey to go.\n\nQuestion: Who went?\nAnswer: \n\nA:\n\nYou will be given a context and a question.\n\nThis is a sentence fragment. It is a sentence fragment because it is not a complete sentence. It is a sentence fragment because it is not a complete sentence. It is a sentence fragment because it is not a complete sentence. It is a sentence fragment because it')"
3,gpt_neo_2.7b,subject-control,Avery,Casey,False,threatened,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery threatened Casey to go.\n\nQuestion: Who went?\nAnswer: \n\nA:\n\nYou will be given a context and a question.\n\nThis is a sentence fragment. It is a sentence fragment because it is not a complete sentence. It is a sentence fragment because it is not a complete sentence. It is a sentence fragment because it is not a complete sentence. It is a sentence fragment because it')"
4,gpt_neo_2.7b,subject-control,Avery,Casey,True,threatened,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery threatened Casey to read.\n\nQuestion: Who read?\nAnswer: \n\nA:\n\nYou will be given a context and a question.\n\nThe context is the question.\n\nA:\n\nYou will be given a context and a question.\n\nThe context is the question.\n\nA:\n\nYou will be given a context and a question.\n\nThe context is the')"
5,gpt_neo_2.7b,subject-control,Avery,Casey,False,threatened,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery threatened Casey to read.\n\nQuestion: Who read?\nAnswer: \n\nA:\n\nYou will be given a context and a question.\n\nThe context is the question.\n\nA:\n\nYou will be given a context and a question.\n\nThe context is the question.\n\nA:\n\nYou will be given a context and a question.\n\nThe context is the')"
6,gpt_neo_2.7b,subject-control,Avery,Casey,True,threatened,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery')"
7,gpt_neo_2.7b,subject-control,Avery,Casey,False,threatened,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery')"
8,gpt_neo_2.7b,subject-control,Avery,Casey,True,threatened,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to call.\n\nQuestion: Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery threatened Casey to call.\n\nQuestion: Who called?\nAnswer:                                                                       ')"
9,gpt_neo_2.7b,subject-control,Avery,Casey,False,threatened,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery threatened Casey to call.\n\nQuestion: Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery threatened Casey to call.\n\nQuestion: Who called?\nAnswer:                                                                       ')"
