,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt_neo_2.7b,object-control,Avery,Casey,True,told,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to come.

Question:  Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion:  Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion:  Who came?\nAnswer:  Avery.\n\nContext: Avery told Casey to come.\n\nQuestion:  Who came?\nAnswer:  Avery.\n\nContext: Avery told Casey to come.\n\nQuestion:  Who came?\nAnswer:  Avery.\n\nContext: Avery told Casey to come.\n\nQuestion:  Who came?\n')"
1,gpt_neo_2.7b,object-control,Avery,Casey,False,told,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to come.

Question:  Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion:  Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion:  Who came?\nAnswer:  Avery.\n\nContext: Avery told Casey to come.\n\nQuestion:  Who came?\nAnswer:  Avery.\n\nContext: Avery told Casey to come.\n\nQuestion:  Who came?\nAnswer:  Avery.\n\nContext: Avery told Casey to come.\n\nQuestion:  Who came?\n')"
2,gpt_neo_2.7b,object-control,Avery,Casey,True,told,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to go.

Question:  Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion:  Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion:  Who went?\nAnswer:  Avery.\n\nContext: Casey told Avery to go.\n\nQuestion:  Who told Casey to go?\nAnswer:  Casey.\n\nContext: Casey told Avery to go.\n\nQuestion:  Who told Casey to go?\nAnswer:  Casey.\n\nContext: Casey told Avery to go.\n\nQuestion')"
3,gpt_neo_2.7b,object-control,Avery,Casey,False,told,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to go.

Question:  Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion:  Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion:  Who went?\nAnswer:  Avery.\n\nContext: Casey told Avery to go.\n\nQuestion:  Who told Casey to go?\nAnswer:  Casey.\n\nContext: Casey told Avery to go.\n\nQuestion:  Who told Casey to go?\nAnswer:  Casey.\n\nContext: Casey told Avery to go.\n\nQuestion')"
4,gpt_neo_2.7b,object-control,Avery,Casey,True,told,to read,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to read.

Question:  Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion:  Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion:  Who read?\nAnswer:  Avery.\n\nContext: Casey told Avery to read.\n\nQuestion:  Who read?\nAnswer:  Casey.\n\nContext: Casey told Avery to read.\n\nQuestion:  Who read?\nAnswer:  Casey.\n\nContext: Casey told Avery to read.\n\nQuestion:  Who read?\n')"
5,gpt_neo_2.7b,object-control,Avery,Casey,False,told,to read,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to read.

Question:  Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion:  Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion:  Who read?\nAnswer:  Avery.\n\nContext: Casey told Avery to read.\n\nQuestion:  Who read?\nAnswer:  Casey.\n\nContext: Casey told Avery to read.\n\nQuestion:  Who read?\nAnswer:  Casey.\n\nContext: Casey told Avery to read.\n\nQuestion:  Who read?\n')"
6,gpt_neo_2.7b,object-control,Avery,Casey,True,told,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to run.

Question:  Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion:  Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion:  Who ran?\nAnswer:  Avery.\n\nContext: Avery told Casey to run.\n\nQuestion:  Who ran?\nAnswer:  Avery.\n\nContext: Avery told Casey to run.\n\nQuestion:  Who ran?\nAnswer:  Avery.\n\nContext: Avery told Casey to run.\n\nQuestion:  Who ran?\n')"
7,gpt_neo_2.7b,object-control,Avery,Casey,False,told,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to run.

Question:  Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion:  Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion:  Who ran?\nAnswer:  Avery.\n\nContext: Avery told Casey to run.\n\nQuestion:  Who ran?\nAnswer:  Avery.\n\nContext: Avery told Casey to run.\n\nQuestion:  Who ran?\nAnswer:  Avery.\n\nContext: Avery told Casey to run.\n\nQuestion:  Who ran?\n')"
8,gpt_neo_2.7b,object-control,Avery,Casey,True,told,to call,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to call.

Question:  Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion:  Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion:  Who called?\nAnswer:  Avery.\n\nContext: Avery told Casey to call.\n\nQuestion:  Who called?\nAnswer:  Avery.\n\nContext: Avery told Casey to call.\n\nQuestion:  Who called?\nAnswer:  Avery.\n\nContext: Avery told Casey to call.\n\nQuestion:  Who called?\n')"
9,gpt_neo_2.7b,object-control,Avery,Casey,False,told,to call,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to call.

Question:  Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion:  Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion:  Who called?\nAnswer:  Avery.\n\nContext: Avery told Casey to call.\n\nQuestion:  Who called?\nAnswer:  Avery.\n\nContext: Avery told Casey to call.\n\nQuestion:  Who called?\nAnswer:  Avery.\n\nContext: Avery told Casey to call.\n\nQuestion:  Who called?\n')"
