,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt3,subject-control,Tom,Mary,True,promised,to leave,Tom,Mary,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".
Context: Tom promised Mary to leave.

Question:  Who left, Mary or Tom?
Answer: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".\nContext: Tom promised Mary to leave.\n\nQuestion:  Who left, Mary or Tom?\nAnswer: ', 'Mary')"
1,gpt3,subject-control,Tom,Mary,False,promised,to leave,Tom,Mary,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom promised Mary to leave.

Question:  Who left, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom promised Mary to leave.\n\nQuestion:  Who left, Tom or Mary?\nAnswer: ', 'Mary')"
2,gpt3,subject-control,Tom,Mary,True,promised,to call home,Tom,Mary,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".
Context: Tom promised Mary to call home.

Question:  Who called home, Mary or Tom?
Answer: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".\nContext: Tom promised Mary to call home.\n\nQuestion:  Who called home, Mary or Tom?\nAnswer: ', 'Mary')"
3,gpt3,subject-control,Tom,Mary,False,promised,to call home,Tom,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom promised Mary to call home.

Question:  Who called home, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom promised Mary to call home.\n\nQuestion:  Who called home, Tom or Mary?\nAnswer: ', 'Tom')"
4,gpt3,subject-control,Tom,Mary,True,promised,to reply,Tom,other,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".
Context: Tom promised Mary to reply.

Question:  Who replied, Mary or Tom?
Answer: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".\nContext: Tom promised Mary to reply.\n\nQuestion:  Who replied, Mary or Tom?\nAnswer: ', '\n')"
5,gpt3,subject-control,Tom,Mary,False,promised,to reply,Tom,other,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom promised Mary to reply.

Question:  Who replied, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom promised Mary to reply.\n\nQuestion:  Who replied, Tom or Mary?\nAnswer: ', '\n')"
6,gpt3,subject-control,Tom,Mary,True,promised,to wipe the counter,Tom,Mary,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".
Context: Tom promised Mary to wipe the counter.

Question:  Who wiped the counter, Mary or Tom?
Answer: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".\nContext: Tom promised Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Mary or Tom?\nAnswer: ', 'Mary')"
7,gpt3,subject-control,Tom,Mary,False,promised,to wipe the counter,Tom,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom promised Mary to wipe the counter.

Question:  Who wiped the counter, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom promised Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Tom or Mary?\nAnswer: ', 'Tom')"
8,gpt3,subject-control,Tom,Mary,True,promised,to dance,Tom,Mary,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".
Context: Tom promised Mary to dance.

Question:  Who danced, Mary or Tom?
Answer: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".\nContext: Tom promised Mary to dance.\n\nQuestion:  Who danced, Mary or Tom?\nAnswer: ', 'Mary')"
9,gpt3,subject-control,Tom,Mary,False,promised,to dance,Tom,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom promised Mary to dance.

Question:  Who danced, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom promised Mary to dance.\n\nQuestion:  Who danced, Tom or Mary?\nAnswer: ', 'Tom')"
10,gpt3,subject-control,Tom,Bill,True,promised,to leave,Tom,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Tom"".
Context: Tom promised Bill to leave.

Question:  Who left, Bill or Tom?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Tom"".\nContext: Tom promised Bill to leave.\n\nQuestion:  Who left, Bill or Tom?\nAnswer: ', 'Bill')"
11,gpt3,subject-control,Tom,Bill,False,promised,to leave,Tom,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Bill"".
Context: Tom promised Bill to leave.

Question:  Who left, Tom or Bill?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Bill"".\nContext: Tom promised Bill to leave.\n\nQuestion:  Who left, Tom or Bill?\nAnswer: ', 'Tom')"
12,gpt3,subject-control,Tom,Bill,True,promised,to call home,Tom,Tom,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Tom"".
Context: Tom promised Bill to call home.

Question:  Who called home, Bill or Tom?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Tom"".\nContext: Tom promised Bill to call home.\n\nQuestion:  Who called home, Bill or Tom?\nAnswer: ', 'Tom')"
13,gpt3,subject-control,Tom,Bill,False,promised,to call home,Tom,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Bill"".
Context: Tom promised Bill to call home.

Question:  Who called home, Tom or Bill?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Bill"".\nContext: Tom promised Bill to call home.\n\nQuestion:  Who called home, Tom or Bill?\nAnswer: ', 'Tom')"
14,gpt3,subject-control,Tom,Bill,True,promised,to reply,Tom,other,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Tom"".
Context: Tom promised Bill to reply.

Question:  Who replied, Bill or Tom?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Tom"".\nContext: Tom promised Bill to reply.\n\nQuestion:  Who replied, Bill or Tom?\nAnswer: ', '\n')"
15,gpt3,subject-control,Tom,Bill,False,promised,to reply,Tom,other,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Bill"".
Context: Tom promised Bill to reply.

Question:  Who replied, Tom or Bill?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Bill"".\nContext: Tom promised Bill to reply.\n\nQuestion:  Who replied, Tom or Bill?\nAnswer: ', '\n')"
16,gpt3,subject-control,Tom,Bill,True,promised,to wipe the counter,Tom,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Tom"".
Context: Tom promised Bill to wipe the counter.

Question:  Who wiped the counter, Bill or Tom?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Tom"".\nContext: Tom promised Bill to wipe the counter.\n\nQuestion:  Who wiped the counter, Bill or Tom?\nAnswer: ', 'Bill')"
17,gpt3,subject-control,Tom,Bill,False,promised,to wipe the counter,Tom,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Bill"".
Context: Tom promised Bill to wipe the counter.

Question:  Who wiped the counter, Tom or Bill?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Bill"".\nContext: Tom promised Bill to wipe the counter.\n\nQuestion:  Who wiped the counter, Tom or Bill?\nAnswer: ', 'Tom')"
18,gpt3,subject-control,Tom,Bill,True,promised,to dance,Tom,Bill,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Tom"".
Context: Tom promised Bill to dance.

Question:  Who danced, Bill or Tom?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Tom"".\nContext: Tom promised Bill to dance.\n\nQuestion:  Who danced, Bill or Tom?\nAnswer: ', 'Bill')"
19,gpt3,subject-control,Tom,Bill,False,promised,to dance,Tom,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Bill"".
Context: Tom promised Bill to dance.

Question:  Who danced, Tom or Bill?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Bill"".\nContext: Tom promised Bill to dance.\n\nQuestion:  Who danced, Tom or Bill?\nAnswer: ', 'Tom')"
20,gpt3,subject-control,Mary,Bill,True,promised,to leave,Mary,Mary,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Mary promised Bill to leave.

Question:  Who left, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Mary promised Bill to leave.\n\nQuestion:  Who left, Bill or Mary?\nAnswer: ', 'Mary')"
21,gpt3,subject-control,Mary,Bill,False,promised,to leave,Mary,Mary,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Bill"".
Context: Mary promised Bill to leave.

Question:  Who left, Mary or Bill?
Answer: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Bill"".\nContext: Mary promised Bill to leave.\n\nQuestion:  Who left, Mary or Bill?\nAnswer: ', 'Mary')"
22,gpt3,subject-control,Mary,Bill,True,promised,to call home,Mary,Mary,"You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".
Context: Mary promised Bill to call home.

Question:  Who called home, Bill or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Bill"" or ""Mary"".\nContext: Mary promised Bill to call home.\n\nQuestion:  Who called home, Bill or Mary?\nAnswer: ', 'Mary')"
