,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt_j,subject-control,Avery,Casey,True,offered,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery offered Casey to come.

Question: Who came, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery offered Casey to come.\n\nQuestion: Who came, Casey or Avery?\nAnswer: \n\nCasey came.\n\nA:\n\nThe answer is:\n\n Casey\n\nBecause:\n\n The context is ""Avery offered Casey to come.""\n\nA:\n\nThe answer is:\n\n Casey\n\nBecause:\n\n The')",10.0
1,gpt_j,subject-control,Avery,Casey,False,offered,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to come.

Question: Who came, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to come.\n\nQuestion: Who came, Avery or Casey?\nAnswer: \n\nA:\n\nThe answer is:\n\n Avery\n\nBecause:\n\n The context is ""Avery offered Casey to come.""\n\nA:\n\nThe answer is:\n\n Avery\n\nBecause:\n\n The context is ""Avery offered')",11.0
2,gpt_j,subject-control,Avery,Casey,True,offered,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery offered Casey to go.

Question: Who went, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery offered Casey to go.\n\nQuestion: Who went, Casey or Avery?\nAnswer: \n\nCasey went.\n\nA:\n\nThe answer is:\n\n Casey\n\nBecause:\n\n The context is ""Avery offered Casey to go.""\n\nA:\n\nThe answer is:\n\n Casey\n\nBecause:\n\n The')",12.0
3,gpt_j,subject-control,Avery,Casey,False,offered,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to go.

Question: Who went, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to go.\n\nQuestion: Who went, Avery or Casey?\nAnswer: \n\nA:\n\nThe answer is:\n\n Avery\n\nBecause:\n\n The context is ""Avery offered Casey to go.""\n\nA:\n\nThe answer is:\n\n Avery\n\nBecause:\n\n The context is ""Avery offered')",13.0
4,gpt_j,subject-control,Avery,Casey,True,offered,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to read.

Question: Who read, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to read.\n\nQuestion: Who read, Avery or Casey?\nAnswer: \n\nA:\n\nI think the answer is\n\n Casey\n\nbecause\n\n Avery is a girl\'s name, and Casey is a boy\'s name.\n\n')",14.0
5,gpt_j,subject-control,Avery,Casey,False,offered,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to read.

Question: Who read, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to read.\n\nQuestion: Who read, Avery or Casey?\nAnswer: \n\nA:\n\nI think the answer is\n\n Casey\n\nbecause\n\n Avery is a girl\'s name, and Casey is a boy\'s name.\n\n')",15.0
6,gpt_j,subject-control,Avery,Casey,True,offered,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery offered Casey to run.

Question: Who ran, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery offered Casey to run.\n\nQuestion: Who ran, Casey or Avery?\nAnswer: \n\nCasey ran.\n\nA:\n\nThe answer is:\n\n Casey ran.\n\nBecause:\n\n The context is ""Avery offered Casey to run"".\n\nA:\n\nThe answer is:\n\n Casey ran.\n\n')",16.0
7,gpt_j,subject-control,Avery,Casey,False,offered,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to run.

Question: Who ran, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to run.\n\nQuestion: Who ran, Avery or Casey?\nAnswer: \n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n The context is ""Avery offered Casey to run"".\n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n The context is ""Avery offered Casey to run"".')",17.0
8,gpt_j,subject-control,Avery,Casey,True,offered,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery offered Casey to call.

Question: Who called, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery offered Casey to call.\n\nQuestion: Who called, Casey or Avery?\nAnswer: \n\nCasey called.\n\nA:\n\nThe answer is:\n\n Casey called.\n\nBecause:\n\n The context is ""Avery offered Casey to call"".\n\nAnd the question is:\n\n Who called, Casey or Avery?\n')",18.0
9,gpt_j,subject-control,Avery,Casey,False,offered,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery offered Casey to call.

Question: Who called, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery offered Casey to call.\n\nQuestion: Who called, Avery or Casey?\nAnswer: \n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n The context is ""Avery offered Casey to call.""\n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n The context is ""Avery offered Casey to call.""')",19.0
10,gpt_j,subject-control,Avery,Joseph,True,offered,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery offered Joseph to come.

Question: Who came, Avery or Joseph?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery offered Joseph to come.\n\nQuestion: Who came, Avery or Joseph?\nAnswer: \n\nA:\n\nThe answer is Joseph.\n\nA:\n\nThe answer is Joseph.\n\nA:\n\nThe answer is Joseph.\n\nA:\n\nThe answer is Joseph.\n\n')",30.0
11,gpt_j,subject-control,Avery,Joseph,False,offered,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery offered Joseph to come.

Question: Who came, Avery or Joseph?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery offered Joseph to come.\n\nQuestion: Who came, Avery or Joseph?\nAnswer: \n\nA:\n\nThe answer is Joseph.\n\nA:\n\nThe answer is Joseph.\n\nA:\n\nThe answer is Joseph.\n\nA:\n\nThe answer is Joseph.\n\n')",31.0
