,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,jurassic-large,subject-control,Avery,Casey,False,threatened,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to come.

Question: Who threatened someone to come, Avery or Casey?
Answer: Avery
Question: Who was threatened to come, Avery or Casey?
Answer: Casey
Question: Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to come.\n\nQuestion: Who threatened someone to come, Avery or Casey?\nAnswer: Avery\nQuestion: Who was threatened to come, Avery or Casey?\nAnswer: Casey\nQuestion: Who came, Avery or Casey?\nAnswer: ', 'NONE\n')"
1,jurassic-large,subject-control,Avery,Casey,False,threatened,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to go.

Question: Who threatened someone to go, Avery or Casey?
Answer: Avery
Question: Who was threatened to go, Avery or Casey?
Answer: Casey
Question: Who went, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to go.\n\nQuestion: Who threatened someone to go, Avery or Casey?\nAnswer: Avery\nQuestion: Who was threatened to go, Avery or Casey?\nAnswer: Casey\nQuestion: Who went, Avery or Casey?\nAnswer: ', 'NONE\n')"
2,jurassic-large,subject-control,Avery,Casey,False,threatened,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to read.

Question: Who was threatened to read, Avery or Casey?
Answer: Casey
Question: Who threatened someone to read, Avery or Casey?
Answer: Avery
Question: Who read, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to read.\n\nQuestion: Who was threatened to read, Avery or Casey?\nAnswer: Casey\nQuestion: Who threatened someone to read, Avery or Casey?\nAnswer: Avery\nQuestion: Who read, Avery or Casey?\nAnswer: ', 'NONE\n')"
3,jurassic-large,subject-control,Avery,Casey,False,threatened,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to run.

Question: Who threatened someone to run, Avery or Casey?
Answer: Avery
Question: Who was threatened to run, Avery or Casey?
Answer: Casey
Question: Who ran, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to run.\n\nQuestion: Who threatened someone to run, Avery or Casey?\nAnswer: Avery\nQuestion: Who was threatened to run, Avery or Casey?\nAnswer: Casey\nQuestion: Who ran, Avery or Casey?\nAnswer: ', 'NONE\n')"
4,jurassic-large,subject-control,Avery,Casey,False,threatened,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to call.

Question: Who threatened someone to call, Avery or Casey?
Answer: Avery
Question: Who was threatened to call, Avery or Casey?
Answer: Casey
Question: Who called, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to call.\n\nQuestion: Who threatened someone to call, Avery or Casey?\nAnswer: Avery\nQuestion: Who was threatened to call, Avery or Casey?\nAnswer: Casey\nQuestion: Who called, Avery or Casey?\nAnswer: ', 'NONE\n')"
10,jurassic-large,subject-control,Avery,Joseph,False,threatened,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to come.

Question: Who threatened someone to come, Avery or Joseph?
Answer: Avery
Question: Who was threatened to come, Avery or Joseph?
Answer: Joseph
Question: Who came, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery threatened Joseph to come.\n\nQuestion: Who threatened someone to come, Avery or Joseph?\nAnswer: Avery\nQuestion: Who was threatened to come, Avery or Joseph?\nAnswer: Joseph\nQuestion: Who came, Avery or Joseph?\nAnswer: ', 'NONE\n')"
11,jurassic-large,subject-control,Avery,Joseph,False,threatened,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to go.

Question: Who threatened someone to go, Avery or Joseph?
Answer: Avery
Question: Who was threatened to go, Avery or Joseph?
Answer: Joseph
Question: Who went, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery threatened Joseph to go.\n\nQuestion: Who threatened someone to go, Avery or Joseph?\nAnswer: Avery\nQuestion: Who was threatened to go, Avery or Joseph?\nAnswer: Joseph\nQuestion: Who went, Avery or Joseph?\nAnswer: ', 'NONE\n')"
12,jurassic-large,subject-control,Avery,Joseph,False,threatened,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to read.

Question: Who was threatened to read, Avery or Joseph?
Answer: Joseph
Question: Who threatened someone to read, Avery or Joseph?
Answer: Avery
Question: Who read, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery threatened Joseph to read.\n\nQuestion: Who was threatened to read, Avery or Joseph?\nAnswer: Joseph\nQuestion: Who threatened someone to read, Avery or Joseph?\nAnswer: Avery\nQuestion: Who read, Avery or Joseph?\nAnswer: ', 'NONE\n')"
13,jurassic-large,subject-control,Avery,Joseph,False,threatened,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to run.

Question: Who was threatened to run, Avery or Joseph?
Answer: Joseph
Question: Who threatened someone to run, Avery or Joseph?
Answer: Avery
Question: Who ran, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery threatened Joseph to run.\n\nQuestion: Who was threatened to run, Avery or Joseph?\nAnswer: Joseph\nQuestion: Who threatened someone to run, Avery or Joseph?\nAnswer: Avery\nQuestion: Who ran, Avery or Joseph?\nAnswer: ', 'NONE\n')"
14,jurassic-large,subject-control,Avery,Joseph,False,threatened,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery threatened Joseph to call.

Question: Who threatened someone to call, Avery or Joseph?
Answer: Avery
Question: Who was threatened to call, Avery or Joseph?
Answer: Joseph
Question: Who called, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery threatened Joseph to call.\n\nQuestion: Who threatened someone to call, Avery or Joseph?\nAnswer: Avery\nQuestion: Who was threatened to call, Avery or Joseph?\nAnswer: Joseph\nQuestion: Who called, Avery or Joseph?\nAnswer: ', 'NONE\n')"
