,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt_neo_1.3b,subject-control,Avery,Casey,True,promised,to come,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to come.\n\nQuestion: Who came?\nAnswer: ', {'Avery': array(-5.3715963, dtype=float32), 'Casey': array(-3.3386726, dtype=float32)})"
1,gpt_neo_1.3b,subject-control,Avery,Casey,False,promised,to come,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to come.\n\nQuestion: Who came?\nAnswer: ', {'Avery': array(-5.3715963, dtype=float32), 'Casey': array(-3.3386726, dtype=float32)})"
2,gpt_neo_1.3b,subject-control,Avery,Casey,True,promised,to go,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to go.\n\nQuestion: Who went?\nAnswer: ', {'Avery': array(-5.9472857, dtype=float32), 'Casey': array(-3.1124563, dtype=float32)})"
3,gpt_neo_1.3b,subject-control,Avery,Casey,False,promised,to go,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to go.\n\nQuestion: Who went?\nAnswer: ', {'Avery': array(-5.9472857, dtype=float32), 'Casey': array(-3.1124563, dtype=float32)})"
4,gpt_neo_1.3b,subject-control,Avery,Casey,True,promised,to read,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to read.\n\nQuestion: Who read?\nAnswer: ', {'Avery': array(-6.121703, dtype=float32), 'Casey': array(-3.1416597, dtype=float32)})"
5,gpt_neo_1.3b,subject-control,Avery,Casey,False,promised,to read,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to read.\n\nQuestion: Who read?\nAnswer: ', {'Avery': array(-6.121703, dtype=float32), 'Casey': array(-3.1416597, dtype=float32)})"
6,gpt_neo_1.3b,subject-control,Avery,Casey,True,promised,to run,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to run.\n\nQuestion: Who ran?\nAnswer: ', {'Avery': array(-5.959967, dtype=float32), 'Casey': array(-3.4773688, dtype=float32)})"
7,gpt_neo_1.3b,subject-control,Avery,Casey,False,promised,to run,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to run.\n\nQuestion: Who ran?\nAnswer: ', {'Avery': array(-5.959967, dtype=float32), 'Casey': array(-3.4773688, dtype=float32)})"
8,gpt_neo_1.3b,subject-control,Avery,Casey,True,promised,to call,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to call.\n\nQuestion: Who called?\nAnswer: ', {'Avery': array(-6.119417, dtype=float32), 'Casey': array(-2.918929, dtype=float32)})"
9,gpt_neo_1.3b,subject-control,Avery,Casey,False,promised,to call,Avery,Casey,"You will be given a context and a question.
Context: Avery promised Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to call.\n\nQuestion: Who called?\nAnswer: ', {'Avery': array(-6.119417, dtype=float32), 'Casey': array(-2.918929, dtype=float32)})"
