,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt_j,object-control-passive,Avery,Casey,True,told,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to come.

Question: Who told someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who told someone to come?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who told someone to come?\nAnswer:  Avery\n\nContext: Avery was told by Casey to come.\nQuestion: Who told Casey to come?\nAnswer:  Avery\n\nContext: Avery was told by Casey to come.\nQuestion: Who told Casey to come?\nAnswer:  Avery\n\nContext: Avery was told by Casey to come.')",0.0
1,gpt_j,object-control-passive,Avery,Casey,False,told,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to come.

Question: Who told someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who told someone to come?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who told someone to come?\nAnswer:  Avery\n\nContext: Avery was told by Casey to come.\nQuestion: Who told Casey to come?\nAnswer:  Avery\n\nContext: Avery was told by Casey to come.\nQuestion: Who told Casey to come?\nAnswer:  Avery\n\nContext: Avery was told by Casey to come.')",1.0
2,gpt_j,object-control-passive,Avery,Casey,True,told,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to go.

Question: Who told someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who told someone to go?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who told someone to go?\nAnswer:  Avery.\n\nContext: Avery was told by Casey to go.\nQuestion: Who told Casey to go?\nAnswer:  Avery.\n\nContext: Avery was told by Casey to go.\nQuestion: Who told Casey to go?\nAnswer:  Avery.\n\nContext: Avery was told by Casey')",2.0
3,gpt_j,object-control-passive,Avery,Casey,False,told,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to go.

Question: Who told someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who told someone to go?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who told someone to go?\nAnswer:  Avery.\n\nContext: Avery was told by Casey to go.\nQuestion: Who told Casey to go?\nAnswer:  Avery.\n\nContext: Avery was told by Casey to go.\nQuestion: Who told Casey to go?\nAnswer:  Avery.\n\nContext: Avery was told by Casey')",3.0
4,gpt_j,object-control-passive,Avery,Casey,True,told,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to read.

Question: Who told someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: \n\nAvery was told by Casey to read.\n\nA:\n\nThe answer is:\n\nAvery was told by Casey to read.\n\nThe reason is that the sentence is a question, and the answer is a question.\n\nA:\n\nThe answer is:\n\nAvery')",4.0
5,gpt_j,object-control-passive,Avery,Casey,False,told,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to read.

Question: Who told someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: \n\nAvery was told by Casey to read.\n\nA:\n\nThe answer is:\n\nAvery was told by Casey to read.\n\nThe reason is that the sentence is a question, and the answer is a question.\n\nA:\n\nThe answer is:\n\nAvery')",5.0
6,gpt_j,object-control-passive,Avery,Casey,True,told,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to run.

Question: Who told someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who told someone to run?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who told someone to run?\nAnswer:  Avery\n\nContext: Avery was told by Casey to run.\nQuestion: Who told Casey to run?\nAnswer:  Avery\n\nContext: Avery was told by Casey to run.\nQuestion: Who told Casey to run?\nAnswer:  Avery\n\nContext: Avery was told by Casey to run.')",6.0
7,gpt_j,object-control-passive,Avery,Casey,False,told,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to run.

Question: Who told someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who told someone to run?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who told someone to run?\nAnswer:  Avery\n\nContext: Avery was told by Casey to run.\nQuestion: Who told Casey to run?\nAnswer:  Avery\n\nContext: Avery was told by Casey to run.\nQuestion: Who told Casey to run?\nAnswer:  Avery\n\nContext: Avery was told by Casey to run.')",7.0
8,gpt_j,object-control-passive,Avery,Casey,True,told,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to call.

Question: Who told someone to call?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who told someone to call?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who told someone to call?\nAnswer:  Avery\n\nContext: Avery was told by Casey to call.\nQuestion: Who told Casey to call?\nAnswer:  Avery\n\nContext: Avery was told by Casey to call.\nQuestion: Who told Casey to call?\nAnswer:  Avery\n\nContext: Avery was told by Casey to call.')",8.0
9,gpt_j,object-control-passive,Avery,Casey,False,told,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to call.

Question: Who told someone to call?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who told someone to call?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who told someone to call?\nAnswer:  Avery\n\nContext: Avery was told by Casey to call.\nQuestion: Who told Casey to call?\nAnswer:  Avery\n\nContext: Avery was told by Casey to call.\nQuestion: Who told Casey to call?\nAnswer:  Avery\n\nContext: Avery was told by Casey to call.')",9.0
