,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt3,subject-control,Avery,Casey,False,promised,to come,Casey,Casey,"You will be given a context and a question.
Context: Avery promised Casey to come.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to come.\n\nQuestion: Who was promised something??\nAnswer: ', 'Case')"
1,gpt3,subject-control,Avery,Casey,False,promised,to go,Casey,Casey,"You will be given a context and a question.
Context: Avery promised Casey to go.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to go.\n\nQuestion: Who was promised something??\nAnswer: ', 'Case')"
2,gpt3,subject-control,Avery,Casey,False,promised,to read,Casey,Casey,"You will be given a context and a question.
Context: Avery promised Casey to read.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to read.\n\nQuestion: Who was promised something??\nAnswer: ', 'Case')"
3,gpt3,subject-control,Avery,Casey,False,promised,to run,Casey,Casey,"You will be given a context and a question.
Context: Avery promised Casey to run.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to run.\n\nQuestion: Who was promised something??\nAnswer: ', 'Case')"
4,gpt3,subject-control,Avery,Casey,False,promised,to call,Casey,Casey,"You will be given a context and a question.
Context: Avery promised Casey to call.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Casey to call.\n\nQuestion: Who was promised something??\nAnswer: ', 'Case')"
5,gpt3,subject-control,Avery,Joseph,False,promised,to come,Joseph,Joseph,"You will be given a context and a question.
Context: Avery promised Joseph to come.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to come.\n\nQuestion: Who was promised something??\nAnswer: ', 'Joseph')"
6,gpt3,subject-control,Avery,Joseph,False,promised,to go,Joseph,Avery,"You will be given a context and a question.
Context: Avery promised Joseph to go.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to go.\n\nQuestion: Who was promised something??\nAnswer: ', 'A')"
7,gpt3,subject-control,Avery,Joseph,False,promised,to read,Joseph,Joseph,"You will be given a context and a question.
Context: Avery promised Joseph to read.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to read.\n\nQuestion: Who was promised something??\nAnswer: ', 'Joseph')"
8,gpt3,subject-control,Avery,Joseph,False,promised,to run,Joseph,Avery,"You will be given a context and a question.
Context: Avery promised Joseph to run.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to run.\n\nQuestion: Who was promised something??\nAnswer: ', 'A')"
9,gpt3,subject-control,Avery,Joseph,False,promised,to call,Joseph,Avery,"You will be given a context and a question.
Context: Avery promised Joseph to call.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Joseph to call.\n\nQuestion: Who was promised something??\nAnswer: ', 'A')"
10,gpt3,subject-control,Avery,Nicole,False,promised,to come,Nicole,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to come.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to come.\n\nQuestion: Who was promised something??\nAnswer: ', 'A')"
11,gpt3,subject-control,Avery,Nicole,False,promised,to go,Nicole,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to go.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to go.\n\nQuestion: Who was promised something??\nAnswer: ', 'A')"
12,gpt3,subject-control,Avery,Nicole,False,promised,to read,Nicole,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to read.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to read.\n\nQuestion: Who was promised something??\nAnswer: ', 'A')"
13,gpt3,subject-control,Avery,Nicole,False,promised,to run,Nicole,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to run.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to run.\n\nQuestion: Who was promised something??\nAnswer: ', 'A')"
14,gpt3,subject-control,Avery,Nicole,False,promised,to call,Nicole,Avery,"You will be given a context and a question.
Context: Avery promised Nicole to call.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Nicole to call.\n\nQuestion: Who was promised something??\nAnswer: ', 'A')"
15,gpt3,subject-control,Avery,Stephanie,False,promised,to come,Stephanie,Stephanie,"You will be given a context and a question.
Context: Avery promised Stephanie to come.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Stephanie to come.\n\nQuestion: Who was promised something??\nAnswer: ', 'Step')"
16,gpt3,subject-control,Avery,Stephanie,False,promised,to go,Stephanie,Stephanie,"You will be given a context and a question.
Context: Avery promised Stephanie to go.

Question: Who was promised something??
Answer: ","('You will be given a context and a question.\nContext: Avery promised Stephanie to go.\n\nQuestion: Who was promised something??\nAnswer: ', 'Step')"
