,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,t5,subject-control,the doctor,the lawyer,True,promised,to come,the doctor,the lawyer,question: Who came? context: the doctor promised the lawyer to come. </s>,"('question: Who came? context: the doctor promised the lawyer to come. </s>', 'the lawyer')",0.0
1,t5,subject-control,the doctor,the lawyer,False,promised,to come,the doctor,the lawyer,question: Who came? context: the doctor promised the lawyer to come. </s>,"('question: Who came? context: the doctor promised the lawyer to come. </s>', 'the lawyer')",1.0
2,t5,subject-control,the doctor,the lawyer,True,promised,to go,the doctor,the lawyer,question: Who went? context: the doctor promised the lawyer to go. </s>,"('question: Who went? context: the doctor promised the lawyer to go. </s>', 'lawyer')",2.0
3,t5,subject-control,the doctor,the lawyer,False,promised,to go,the doctor,the lawyer,question: Who went? context: the doctor promised the lawyer to go. </s>,"('question: Who went? context: the doctor promised the lawyer to go. </s>', 'lawyer')",3.0
4,t5,subject-control,the doctor,the lawyer,True,promised,to read,the doctor,the lawyer,question: Who read? context: the doctor promised the lawyer to read. </s>,"('question: Who read? context: the doctor promised the lawyer to read. </s>', 'the lawyer')",4.0
5,t5,subject-control,the doctor,the lawyer,False,promised,to read,the doctor,the lawyer,question: Who read? context: the doctor promised the lawyer to read. </s>,"('question: Who read? context: the doctor promised the lawyer to read. </s>', 'the lawyer')",5.0
6,t5,subject-control,the doctor,the lawyer,True,promised,to run,the doctor,the lawyer,question: Who ran? context: the doctor promised the lawyer to run. </s>,"('question: Who ran? context: the doctor promised the lawyer to run. </s>', 'the lawyer')",6.0
7,t5,subject-control,the doctor,the lawyer,False,promised,to run,the doctor,the lawyer,question: Who ran? context: the doctor promised the lawyer to run. </s>,"('question: Who ran? context: the doctor promised the lawyer to run. </s>', 'the lawyer')",7.0
8,t5,subject-control,the doctor,the lawyer,True,promised,to call,the doctor,the lawyer,question: Who called? context: the doctor promised the lawyer to call. </s>,"('question: Who called? context: the doctor promised the lawyer to call. </s>', 'the lawyer')",8.0
9,t5,subject-control,the doctor,the lawyer,False,promised,to call,the doctor,the lawyer,question: Who called? context: the doctor promised the lawyer to call. </s>,"('question: Who called? context: the doctor promised the lawyer to call. </s>', 'the lawyer')",9.0
10,t5,subject-control,the doctor,the engineer,True,promised,to come,the doctor,the engineer,question: Who came? context: the doctor promised the engineer to come. </s>,"('question: Who came? context: the doctor promised the engineer to come. </s>', 'the engineer')",10.0
11,t5,subject-control,the doctor,the engineer,False,promised,to come,the doctor,the engineer,question: Who came? context: the doctor promised the engineer to come. </s>,"('question: Who came? context: the doctor promised the engineer to come. </s>', 'the engineer')",11.0
