,model,exp_type,prompt,pred,true,response,Unnamed: 0
0,gpt_j,volition_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""They have unbeatable price in town and deliver on time .""
Question: In the event ""have"", does the participant ""price"" act with volition?
Answer: No
Sentence: ""The crop dusters were to be part of a "" second wave . """"
Question: In the event ""were"", does the participant ""dusters"" act with volition?
Answer: No
Sentence: """" ... there is no companion quite so devoted , so communicative , so loving and so mesmerizing as a rat . """"
Question: In the event ""is"", does the participant ""companion"" act with volition?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""They have unbeatable price in town and deliver on time.""
Question: In the event ""have"", does the participant ""price"" act with volition?
Answer: No
Sentence: ""The crop dusters were to be part of a "" second wave. """"
Question: In the event ""were"", does the participant ""dusters"" act with volition?
Answer: No
Sentence: """"... there is no companion quite so devoted, so communicative, so loving and so mesmerizing as a rat. """"
Question: In the event ""is"", does the participant ""companion"" act with volition?
Answer: 

A:

The answer to your question is no.
The verb ""have"" is a copular verb, which means that it is used to express the subject of a sentence.
The verb ""have"" is used to express possession, and it is used to express the possession of a thing by a person.
The verb ""have"" is used to express the possession of a thing by a person.
The verb ""have"" is used to express possession, and it is used to express the possession of a thing by a person.
The verb ""have"" is used to express possession, and it is used to express the possession of a thing by a person.
The verb ""have"" is used to",0.0
1,gpt_j,volition_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: """" He left a message for everyone to see ... maybe to God himself . """"
Question: In the event ""left"", does the participant ""He"" act with volition?
Answer: Yes
Sentence: ""i want a small indoor pet that my mother will let me have please help""
Question: In the event ""let"", does the participant ""mother"" act with volition?
Answer: Yes
Sentence: ""He showed me the car I was interested in and we took a test drive .""
Question: In the event ""showed"", does the participant ""car"" act with volition?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: """" He left a message for everyone to see... maybe to God himself. """"
Question: In the event ""left"", does the participant ""He"" act with volition?
Answer: Yes
Sentence: ""i want a small indoor pet that my mother will let me have please help""
Question: In the event ""let"", does the participant ""mother"" act with volition?
Answer: Yes
Sentence: ""He showed me the car I was interested in and we took a test drive.""
Question: In the event ""showed"", does the participant ""car"" act with volition?
Answer: 

A:

The answer to your question is yes.
The reason is that the subject of the sentence is the person who left the message.
The subject of the sentence is the person who left the message.
The subject of the sentence is the person who left the message.
The subject of the sentence is the person who left the message.
The subject of the sentence is the person who left the message.
The subject of the sentence is the person who left the message.
The subject of the sentence is the person who left the message.
The subject of the sentence is the person who left the message.
The subject of the sentence is the person who left the message.
The subject of the sentence is the person who",1.0
2,gpt_j,volition_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""Kori told me she saw you last night at Steak Night and introduced herself since I failed to do so the last time we went .""
Question: In the event ""introduced"", does the participant ""herself"" act with volition?
Answer: Yes
Sentence: ""I love them .""
Question: In the event ""love"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""I knew a cat that died in its sleep aged 21 .""
Question: In the event ""knew"", does the participant ""cat"" act with volition?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""Kori told me she saw you last night at Steak Night and introduced herself since I failed to do so the last time we went.""
Question: In the event ""introduced"", does the participant ""herself"" act with volition?
Answer: Yes
Sentence: ""I love them.""
Question: In the event ""love"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""I knew a cat that died in its sleep aged 21.""
Question: In the event ""knew"", does the participant ""cat"" act with volition?
Answer: 

A:

The answer to your question is yes.
The subject of the sentence is Kori, and the verb is introduced.
The subject of the sentence is I, and the verb is love.
The subject of the sentence is a cat, and the verb is knew.
The subject of the sentence is a cat, and the verb is died.
The subject of the sentence is a cat, and the verb is aged.
The subject of the sentence is a cat, and the verb is slept.
The subject of the sentence is a cat, and the verb is died.
The subject of the sentence is a cat, and the verb is died.
The subject of the sentence is a cat, and the verb is",2.0
3,gpt_j,volition_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""They have a customer for life in us !""
Question: In the event ""have"", does the participant ""customer"" act with volition?
Answer: Yes
Sentence: ""I love the location and the apartment !!""
Question: In the event ""love"", does the participant ""location"" act with volition?
Answer: No
Sentence: ""i handle him every few days .""
Question: In the event ""handle"", does the participant ""i"" act with volition?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""They have a customer for life in us!""
Question: In the event ""have"", does the participant ""customer"" act with volition?
Answer: Yes
Sentence: ""I love the location and the apartment!!""
Question: In the event ""love"", does the participant ""location"" act with volition?
Answer: No
Sentence: ""i handle him every few days.""
Question: In the event ""handle"", does the participant ""i"" act with volition?
Answer:  Yes

A:

The answer to your question is yes.
The verb ""have"" is a copular verb, which means that it is used to express the subject of a sentence.
The verb ""love"" is a verb of emotion, which means that it is used to express the subject of a sentence.
The verb ""handle"" is a verb of action, which means that it is used to express the subject of a sentence.
The verb ""i"" is a pronoun, which means that it is used to express the subject of a sentence.
The verb ""him"" is a pronoun, which means that it is used to express the subject of a sentence.
The verb ""himself"" is a pronoun, which means that it is used to express the subject of a sentence.
The verb ""himself"" is a",3.0
4,gpt_j,volition_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""We intend to see as many people as possible regarding EOL implementation .""
Question: In the event ""intend"", does the participant ""We"" act with volition?
Answer: Yes
Sentence: ""By comparison , outdoor cats have a life expectancy of 3 - 7 years depending on how many predators are in the local environment .""
Question: In the event ""have"", does the participant ""cats"" act with volition?
Answer: No
Sentence: ""The information contained herein is based on sources that we believe to be reliable , but we do not represent that it is accurate or complete .""
Question: In the event ""based"", does the participant ""information"" act with volition?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""We intend to see as many people as possible regarding EOL implementation.""
Question: In the event ""intend"", does the participant ""We"" act with volition?
Answer: Yes
Sentence: ""By comparison, outdoor cats have a life expectancy of 3 - 7 years depending on how many predators are in the local environment.""
Question: In the event ""have"", does the participant ""cats"" act with volition?
Answer: No
Sentence: ""The information contained herein is based on sources that we believe to be reliable, but we do not represent that it is accurate or complete.""
Question: In the event ""based"", does the participant ""information"" act with volition?
Answer:  No

A:

The answer to your question is yes.
The verb ""intend"" is a volitional verb.
The verb ""have"" is a non-volitional verb.
The verb ""based"" is a non-volitional verb.
The verb ""contain"" is a non-volitional verb.
The verb ""represent"" is a non-volitional verb.
The verb ""believe"" is a non-volitional verb.
The verb ""sources"" is a non-volitional verb.
The verb ""accurate"" is a non-volitional verb.
The verb ""complete"" is",4.0
5,gpt_j,volition_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""he crawls on top of them but does not try to eat them .""
Question: In the event ""crawls"", does the participant ""he"" act with volition?
Answer: Yes
Sentence: ""The dealer wanted $ 1300 to fix that and another $ 1500 to fix some other things .""
Question: In the event ""wanted"", does the participant ""$"" act with volition?
Answer: No
Sentence: ""I wanted you all to have a look at what we believe is the final draft .""
Question: In the event ""believe"", does the participant ""we"" act with volition?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""he crawls on top of them but does not try to eat them.""
Question: In the event ""crawls"", does the participant ""he"" act with volition?
Answer: Yes
Sentence: ""The dealer wanted $ 1300 to fix that and another $ 1500 to fix some other things.""
Question: In the event ""wanted"", does the participant ""$"" act with volition?
Answer: No
Sentence: ""I wanted you all to have a look at what we believe is the final draft.""
Question: In the event ""believe"", does the participant ""we"" act with volition?
Answer:  Yes

A:

The answer to your question is yes.
The verb ""crawl"" is intransitive, and the subject of the sentence is ""he"".
The verb ""wanted"" is transitive, and the subject of the sentence is ""$"".
The verb ""believe"" is intransitive, and the subject of the sentence is ""we"".
The verb ""act"" is transitive, and the subject of the sentence is ""he"".
The verb ""try"" is intransitive, and the subject of the sentence is ""he"".
The verb ""eat"" is intransitive, and the subject of the sentence is ""them"".
The verb ""fix"" is trans",5.0
6,gpt_j,volition_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""Their chauvinisms got to the point that even they themselves hated each other .""
Question: In the event ""hated"", does the participant ""they"" act with volition?
Answer: Yes
Sentence: ""I guess if you have a schtick that is a resounding success once , you ca n't help but trot it out every time your act is going sour .""
Question: In the event ""guess"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""Debbie said , it is going to be hard on me to sale my old dodge truck .""
Question: In the event ""sale"", does the participant ""truck"" act with volition?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""Their chauvinisms got to the point that even they themselves hated each other.""
Question: In the event ""hated"", does the participant ""they"" act with volition?
Answer: Yes
Sentence: ""I guess if you have a schtick that is a resounding success once, you can't help but trot it out every time your act is going sour.""
Question: In the event ""guess"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""Debbie said, it is going to be hard on me to sale my old dodge truck.""
Question: In the event ""sale"", does the participant ""truck"" act with volition?
Answer: 

A:

Yes, the subject of the sentence is the ""they"" and the ""I"" in the sentence is the subject of the verb ""guess"".

A:

Yes, the subject of the sentence is the ""they"" and the ""I"" in the sentence is the subject of the verb ""guess"".

A:

Yes, the subject of the sentence is the ""they"" and the ""I"" in the sentence is the subject of the verb ""guess"".

",6.0
7,gpt_j,volition_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""I ordered 1000 postcards , we normally order 5000 or more .""
Question: In the event ""order"", does the participant ""we"" act with volition?
Answer: Yes
Sentence: ""For weeks , reporters scoured Alabama in search of pilots or anyone who might have remembered seeing Mr. Bush at the time he was serving in the National Guard there .""
Question: In the event ""scoured"", does the participant ""Alabama"" act with volition?
Answer: No
Sentence: ""Imperial Hubris makes the case that lots of people in the CIA and counter-terrorism divisions elsewhere in the US government knew all about Bin Laden and the threat he posed .""
Question: In the event ""posed"", does the participant ""he"" act with volition?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I ordered 1000 postcards, we normally order 5000 or more.""
Question: In the event ""order"", does the participant ""we"" act with volition?
Answer: Yes
Sentence: ""For weeks, reporters scoured Alabama in search of pilots or anyone who might have remembered seeing Mr. Bush at the time he was serving in the National Guard there.""
Question: In the event ""scoured"", does the participant ""Alabama"" act with volition?
Answer: No
Sentence: ""Imperial Hubris makes the case that lots of people in the CIA and counter-terrorism divisions elsewhere in the US government knew all about Bin Laden and the threat he posed.""
Question: In the event ""posed"", does the participant ""he"" act with volition?
Answer:  Yes

A:

The answer to your question is yes.
The word ""we"" is a collective noun, and it is used to refer to a group of people.
The word ""I"" is a personal pronoun, and it is used to refer to a single person.
The word ""they"" is a third person singular pronoun, and it is used to refer to a single person.
The word ""they"" is a third person plural pronoun, and it is used to refer to a group of people.
The word ""they"" is a third person singular",7.0
8,gpt_j,volition_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""Records show that on Oct. 31 , power generators and electricity traders filed letters with the Federal Energy Regulatory Commission , demanding that the new plan be killed .""
Question: In the event ""filed"", does the participant ""generators"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one .""
Question: In the event ""have"", does the participant ""concern"" act with volition?
Answer: No
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one .""
Question: In the event ""bite"", does the participant ""us"" act with volition?
Answer: ",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""Records show that on Oct. 31, power generators and electricity traders filed letters with the Federal Energy Regulatory Commission, demanding that the new plan be killed.""
Question: In the event ""filed"", does the participant ""generators"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""have"", does the participant ""concern"" act with volition?
Answer: No
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""bite"", does the participant ""us"" act with volition?
Answer:  No
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""us"", does the participant ""concern"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""us"", does the participant ""concern"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us",8.0
9,gpt_j,volition_1_prefix_2,"Answer this yes-no question about the following sentence.
Sentence: ""Two vaunted economists - one a Nobel Prize winner and the other a nationally renowned budget expert - have analyzed the data at hand and put a price tag on the Iraq occupation .""
Question: In the event ""have"", does the participant ""economists"" act with volition?
Answer: Yes
Sentence: ""It incorporates Mr. Stojic 's and Mr. Kelly 's initial comments .""
Question: In the event ""incorporates"", does the participant ""comments"" act with volition?
Answer: No
Sentence: ""Just remember to make sure the mother is properly caring for the baby .""
Question: In the event ""caring"", does the participant ""mother"" act with volition?
Answer: ",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Two vaunted economists - one a Nobel Prize winner and the other a nationally renowned budget expert - have analyzed the data at hand and put a price tag on the Iraq occupation.""
Question: In the event ""have"", does the participant ""economists"" act with volition?
Answer: Yes
Sentence: ""It incorporates Mr. Stojic's and Mr. Kelly's initial comments.""
Question: In the event ""incorporates"", does the participant ""comments"" act with volition?
Answer: No
Sentence: ""Just remember to make sure the mother is properly caring for the baby.""
Question: In the event ""caring"", does the participant ""mother"" act with volition?
Answer: 

A:

The answer to your question is yes.
The word ""have"" is a copular verb, which means that it is used to express the subject of a sentence.
The word ""incorporates"" is a preposition, which means that it is used to express the object of a sentence.
The word ""comments"" is a verb, which means that it is used to express the subject of a sentence.
The word ""mother"" is a noun, which means that it is used to express the object of a sentence.
The word ""caring"" is a noun, which means that it is",9.0
