,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt_j,subject-control,Avery,Casey,True,threatened,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to come.

Question: Who came, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to come.\n\nQuestion: Who came, Avery or Casey?\nAnswer: \n\nA:\n\nThe answer is:\n\n Avery\n\nBecause:\n\n The context is ""Avery threatened Casey to come.""\n\nA:\n\nThe answer is:\n\n Avery\n\nBecause:\n\n The context is ""Avery threatened')",0.0
1,gpt_j,subject-control,Avery,Casey,False,threatened,to come,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to come.

Question: Who came, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to come.\n\nQuestion: Who came, Avery or Casey?\nAnswer: \n\nA:\n\nThe answer is:\n\n Avery\n\nBecause:\n\n The context is ""Avery threatened Casey to come.""\n\nA:\n\nThe answer is:\n\n Avery\n\nBecause:\n\n The context is ""Avery threatened')",1.0
2,gpt_j,subject-control,Avery,Casey,True,threatened,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery threatened Casey to go.

Question: Who went, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery threatened Casey to go.\n\nQuestion: Who went, Casey or Avery?\nAnswer: \n\nCasey went.\n\nA:\n\nThe answer is:\n\n Casey went.\n\nBecause:\n\n The context is ""Avery threatened Casey to go.""\n\nAnd the question is:\n\n ""Who went, Casey or Avery?""')",2.0
3,gpt_j,subject-control,Avery,Casey,False,threatened,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to go.

Question: Who went, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to go.\n\nQuestion: Who went, Avery or Casey?\nAnswer: \n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n The context is ""Avery threatened Casey to go.""\n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n The context is ""Avery threatened Casey to go.""')",3.0
4,gpt_j,subject-control,Avery,Casey,True,threatened,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to read.

Question: Who read, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to read.\n\nQuestion: Who read, Avery or Casey?\nAnswer: \n\nA:\n\nI think the answer is\n\n Avery\n\nbecause\n\n The context is ""Avery threatened Casey to read"".\n\nA:\n\nI think the answer is\n\n Avery\n\nbecause\n\n The context is ""Avery threatened')",4.0
5,gpt_j,subject-control,Avery,Casey,False,threatened,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to read.

Question: Who read, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to read.\n\nQuestion: Who read, Avery or Casey?\nAnswer: \n\nA:\n\nI think the answer is\n\n Avery\n\nbecause\n\n The context is ""Avery threatened Casey to read"".\n\nA:\n\nI think the answer is\n\n Avery\n\nbecause\n\n The context is ""Avery threatened')",5.0
6,gpt_j,subject-control,Avery,Casey,True,threatened,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to run.

Question: Who ran, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran, Avery or Casey?\nAnswer: \n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n The context is ""Avery threatened Casey to run"".\n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n The context is ""Avery threatened Casey to run"".')",6.0
7,gpt_j,subject-control,Avery,Casey,False,threatened,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to run.

Question: Who ran, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to run.\n\nQuestion: Who ran, Avery or Casey?\nAnswer: \n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n The context is ""Avery threatened Casey to run"".\n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n The context is ""Avery threatened Casey to run"".')",7.0
8,gpt_j,subject-control,Avery,Casey,True,threatened,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery threatened Casey to call.

Question: Who called, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery threatened Casey to call.\n\nQuestion: Who called, Casey or Avery?\nAnswer: \n\nCasey called.\n\nA:\n\nThe answer is:\n\n Avery called.\n\nBecause:\n\n The context is ""Avery threatened Casey to call.""\n\nAnd the question is:\n\n ""Who called, Casey or Avery?""')",8.0
9,gpt_j,subject-control,Avery,Casey,False,threatened,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery threatened Casey to call.

Question: Who called, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery threatened Casey to call.\n\nQuestion: Who called, Avery or Casey?\nAnswer: \n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n The context is ""Avery threatened Casey to call.""\n\nA:\n\nThe answer is\n\n Avery\n\nbecause\n\n The context is ""Avery threatened Casey to call.""')",9.0
