,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,jurassic-jumbo,object-control-passive,Avery,Casey,True,told,to come,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was told by Casey to come.

Question:  Who came, Casey or Avery?
Answer: ","('You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to come.\n\nQuestion:  Who came, Casey or Avery?\nAnswer: ', ' Casey came')",0.0
1,jurassic-jumbo,object-control-passive,Avery,Casey,False,told,to come,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to come.

Question:  Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to come.\n\nQuestion:  Who came, Avery or Casey?\nAnswer: ', ' Casey came')",1.0
2,jurassic-jumbo,object-control-passive,Avery,Casey,True,told,to go,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was told by Casey to go.

Question:  Who went, Casey or Avery?
Answer: ","('You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to go.\n\nQuestion:  Who went, Casey or Avery?\nAnswer: ', ' Casey went')",2.0
3,jurassic-jumbo,object-control-passive,Avery,Casey,False,told,to go,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to go.

Question:  Who went, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to go.\n\nQuestion:  Who went, Avery or Casey?\nAnswer: ', ' Avery went')",3.0
4,jurassic-jumbo,object-control-passive,Avery,Casey,True,told,to read,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was told by Casey to read.

Question:  Who read, Casey or Avery?
Answer: ","('You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to read.\n\nQuestion:  Who read, Casey or Avery?\nAnswer: ', ' Casey read')",4.0
5,jurassic-jumbo,object-control-passive,Avery,Casey,False,told,to read,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to read.

Question:  Who read, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to read.\n\nQuestion:  Who read, Avery or Casey?\nAnswer: ', ' Avery read')",5.0
6,jurassic-jumbo,object-control-passive,Avery,Casey,True,told,to run,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was told by Casey to run.

Question:  Who ran, Casey or Avery?
Answer: ","('You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to run.\n\nQuestion:  Who ran, Casey or Avery?\nAnswer: ', ' Casey ran')",6.0
7,jurassic-jumbo,object-control-passive,Avery,Casey,False,told,to run,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to run.

Question:  Who ran, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to run.\n\nQuestion:  Who ran, Avery or Casey?\nAnswer: ', ' Casey ran')",7.0
8,jurassic-jumbo,object-control-passive,Avery,Casey,True,told,to call,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was told by Casey to call.

Question:  Who called, Casey or Avery?
Answer: ","('You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to call.\n\nQuestion:  Who called, Casey or Avery?\nAnswer: ', ' Casey called')",8.0
9,jurassic-jumbo,object-control-passive,Avery,Casey,False,told,to call,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to call.

Question:  Who called, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to call.\n\nQuestion:  Who called, Avery or Casey?\nAnswer: ', ' Avery called')",9.0
