,model,exp_type,prompt,pred,true,response,Unnamed: 0
0,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""By comparison , outdoor cats have a life expectancy of 3 - 7 years depending on how many predators are in the local environment .""
In the event ""have"", does the state of the participant ""cats"" change?",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""By comparison, outdoor cats have a life expectancy of 3 - 7 years depending on how many predators are in the local environment.""
In the event ""have"", does the state of the participant ""cats"" change?

A:

The sentence is correct.
The sentence is not correct.
The sentence is not correct because the word ""have"" is not a noun.
The sentence is not correct",0.0
1,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I guess they figured me for an easy mark , and tried to explain that my car would n't pass unless I replaced a hose .""
In the event ""replaced"", does the state of the participant ""I"" change?",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""I guess they figured me for an easy mark, and tried to explain that my car wouldn't pass unless I replaced a hose.""
In the event ""replaced"", does the state of the participant ""I"" change?

A:

The sentence is ambiguous. 

I guess they figured me for an easy mark, and tried to explain that my car wouldn't pass unless I replaced",1.0
2,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Another problem is that sometimes bad eggs will fungus and the fungus will spread out and kill all the eggs .""
In the event ""kill"", does the state of the participant ""eggs"" change?",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Another problem is that sometimes bad eggs will fungus and the fungus will spread out and kill all the eggs.""
In the event ""kill"", does the state of the participant ""eggs"" change?

A:

The sentence is ambiguous. 

""Another problem is that sometimes bad eggs will fungus and the fungus will spread out and kill all the eggs.""

The first part of the sentence",2.0
3,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""The dealer wanted $ 1300 to fix that and another $ 1500 to fix some other things .""
In the event ""fix"", does the state of the participant ""things"" change?",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""The dealer wanted $ 1300 to fix that and another $ 1500 to fix some other things.""
In the event ""fix"", does the state of the participant ""things"" change?

A:

The sentence is ambiguous. 

The dealer wanted $ 1300 to fix that and another $ 1500 to fix some other things.

The dealer wanted $ 1300 to fix that and another $ 1500 to fix",3.0
4,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Winter defied his own board and Gov. Gray Davis when he filed a 50 - page request to remove the caps , records and interviews show .""
In the event ""remove"", does the state of the participant ""caps"" change?",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Winter defied his own board and Gov. Gray Davis when he filed a 50 - page request to remove the caps, records and interviews show.""
In the event ""remove"", does the state of the participant ""caps"" change?

A:

The word ""caps"" is a noun, and the word ""records"" is a verb. 
The word ""records"" is a noun,",4.0
5,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: """" Across the United States , the northern edge of species ' range is expanding , "" she said .""
In the event ""expanding"", does the state of the participant ""edge"" change?",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: """" Across the United States, the northern edge of species'range is expanding, "" she said.""
In the event ""expanding"", does the state of the participant ""edge"" change?

A:

Expanding is a relative term. 

The edge of a country is the area where the population is growing faster than the rest of the country.

The edge of a country is the",5.0
6,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""There is considerable evidence that it is developing both a long - range missile force and a range of weapons of mass destruction .""
In the event ""developing"", does the state of the participant ""force"" change?",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""There is considerable evidence that it is developing both a long - range missile force and a range of weapons of mass destruction.""
In the event ""developing"", does the state of the participant ""force"" change?

A:

Developing is a verb, and the state of the participant is the state of the development.

There is considerable evidence that it is developing both a long-range missile",6.0
7,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""The mind becomes strong and sharp .""
In the event ""becomes"", does the state of the participant ""mind"" change?",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""The mind becomes strong and sharp.""
In the event ""becomes"", does the state of the participant ""mind"" change?

A:

The mind is a state of the mind.
The mind is a state of the mind.
The mind is a state of the mind.
The mind is a state of the mind.
The mind is a state of the mind.
The mind",7.0
8,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""They interviewed me , gave me tests in the software I included on my resume , and placed me in a position that I kept for several years .""
In the event ""interviewed"", does the state of the participant ""They"" change?",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""They interviewed me, gave me tests in the software I included on my resume, and placed me in a position that I kept for several years.""
In the event ""interviewed"", does the state of the participant ""They"" change?

A:

The state of the participant is the same as the state of the interviewer.

A:

The state of the participant is the same",8.0
9,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""I hope you do n't change your mind about going to the wedding Sunday .""
In the event ""hope"", does the state of the participant ""I"" change?",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""I hope you don't change your mind about going to the wedding Sunday.""
In the event ""hope"", does the state of the participant ""I"" change?

A:

I hope you don't change your mind about going to the wedding Sunday.

The state of the participant ""I"" is not changed.

I hope you don't change your mind about going",9.0
10,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Dr Greenwalt fixed my neck from a snowboard injury and was way more effective that a regular doctor .""
In the event ""fixed"", does the state of the participant ""neck"" change?",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""Dr Greenwalt fixed my neck from a snowboard injury and was way more effective that a regular doctor.""
In the event ""fixed"", does the state of the participant ""neck"" change?

A:

The sentence is ambiguous. 

Dr Greenwalt fixed my neck from a snowboard injury and was way more effective that a regular doctor.

The first part of the sentence",10.0
11,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""The good news is that all of this is temporary , because the evolution of international law has always adapted itself to reality .""
In the event ""adapted"", does the state of the participant ""itself"" change?",other,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""The good news is that all of this is temporary, because the evolution of international law has always adapted itself to reality.""
In the event ""adapted"", does the state of the participant ""itself"" change?

A:

The state of the participant ""itself"" changes.

The state of the participant ""itself"" changes.

The state of the participant ""itself",11.0
12,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""An analysis of 65 bird species in the United Kingdom shows about one - third are laying their eggs four to seven days earlier than they did 25 years ago .""
In the event ""laying"", does the state of the participant ""third"" change?",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""An analysis of 65 bird species in the United Kingdom shows about one - third are laying their eggs four to seven days earlier than they did 25 years ago.""
In the event ""laying"", does the state of the participant ""third"" change?

A:

The answer is yes.
The sentence is a yes-no question.
The question is:

Is the state of the participant",12.0
13,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Founder Jack Smith got the idea of accessing e-mail via the web from a computer anywhere in the world .""
In the event ""got"", does the state of the participant ""idea"" change?",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""Founder Jack Smith got the idea of accessing e-mail via the web from a computer anywhere in the world.""
In the event ""got"", does the state of the participant ""idea"" change?

A:

The sentence is ambiguous.

Founder Jack Smith got the idea of accessing e-mail via the web from a computer anywhere in the world.

The idea of accessing",13.0
14,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Police said Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church .""
In the event ""confessed"", does the state of the participant ""Bernard"" change?",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""Police said Bernard confessed to detectives that he had sex with a young girl in November 2002 and admitted to knowing about sexual acts involving children and a dog that occurred at Hosanna Church.""
In the event ""confessed"", does the state of the participant ""Bernard"" change?

A:

The state of the participant is the same as the state of the sentence.
The state of the sentence is",14.0
15,gpt_neo_1.3b,change_of_state_prefix_0,"Answer this yes-no question about the following sentence.
Sentence: ""Dessert was ... hmmm , that 's interesting , I do n't even remember dessert .""
In the event ""remember"", does the state of the participant ""I"" change?",other,No,"Answer this yes-no question about the following sentence.
Sentence: ""Dessert was... hmmm, that's interesting, I don't even remember dessert.""
In the event ""remember"", does the state of the participant ""I"" change?

A:

I think you are confusing the state of the participant with the state of the sentence.
The state of the participant is the state of the sentence.
The state of the sentence is the state of",15.0
