,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to come,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to come.

Question: Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to come.\n\nQuestion: Who came, Avery or Casey?\nAnswer: ', {'Avery': array(-5.3839884, dtype=float32), 'Casey': array(-3.9037974, dtype=float32)})"
1,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to come,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to come.

Question: Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to come.\n\nQuestion: Who came, Avery or Casey?\nAnswer: ', {'Avery': array(-5.3839884, dtype=float32), 'Casey': array(-3.9037974, dtype=float32)})"
2,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to go,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was told by Casey to go.

Question: Who went, Casey or Avery?
Answer: ","('You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to go.\n\nQuestion: Who went, Casey or Avery?\nAnswer: ', {'Avery': array(-6.4268312, dtype=float32), 'Casey': array(-3.5858464, dtype=float32)})"
3,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to go,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to go.

Question: Who went, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to go.\n\nQuestion: Who went, Avery or Casey?\nAnswer: ', {'Avery': array(-5.811194, dtype=float32), 'Casey': array(-4.1220655, dtype=float32)})"
4,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to read,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to read.

Question: Who read, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to read.\n\nQuestion: Who read, Avery or Casey?\nAnswer: ', {'Avery': array(-5.526552, dtype=float32), 'Casey': array(-3.791491, dtype=float32)})"
5,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to read,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to read.

Question: Who read, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to read.\n\nQuestion: Who read, Avery or Casey?\nAnswer: ', {'Avery': array(-5.526552, dtype=float32), 'Casey': array(-3.791491, dtype=float32)})"
6,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to run,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to run.

Question: Who ran, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to run.\n\nQuestion: Who ran, Avery or Casey?\nAnswer: ', {'Avery': array(-5.655483, dtype=float32), 'Casey': array(-3.9881217, dtype=float32)})"
7,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to run,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to run.

Question: Who ran, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to run.\n\nQuestion: Who ran, Avery or Casey?\nAnswer: ', {'Avery': array(-5.655483, dtype=float32), 'Casey': array(-3.9881217, dtype=float32)})"
8,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to call,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was told by Casey to call.

Question: Who called, Casey or Avery?
Answer: ","('You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to call.\n\nQuestion: Who called, Casey or Avery?\nAnswer: ', {'Avery': array(-6.48211, dtype=float32), 'Casey': array(-3.7033992, dtype=float32)})"
9,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to call,Avery,Casey,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to call.

Question: Who called, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to call.\n\nQuestion: Who called, Avery or Casey?\nAnswer: ', {'Avery': array(-5.6420126, dtype=float32), 'Casey': array(-3.9299066, dtype=float32)})"
