,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,t5,object-control-passive,Avery,Casey,True,told,to come,Avery,Casey,question: Who told someone to come? context: Avery was told by Casey to come. </s>,"('question: Who told someone to come? context: Avery was told by Casey to come. </s>', 'Casey')"
1,t5,object-control-passive,Avery,Casey,False,told,to come,Avery,Casey,question: Who told someone to come? context: Avery was told by Casey to come. </s>,"('question: Who told someone to come? context: Avery was told by Casey to come. </s>', 'Casey')"
2,t5,object-control-passive,Avery,Casey,True,told,to go,Avery,Casey,question: Who told someone to go? context: Avery was told by Casey to go. </s>,"('question: Who told someone to go? context: Avery was told by Casey to go. </s>', 'Casey')"
3,t5,object-control-passive,Avery,Casey,False,told,to go,Avery,Casey,question: Who told someone to go? context: Avery was told by Casey to go. </s>,"('question: Who told someone to go? context: Avery was told by Casey to go. </s>', 'Casey')"
4,t5,object-control-passive,Avery,Casey,True,told,to read,Avery,Casey,question: Who told someone to read? context: Avery was told by Casey to read. </s>,"('question: Who told someone to read? context: Avery was told by Casey to read. </s>', 'Casey')"
5,t5,object-control-passive,Avery,Casey,False,told,to read,Avery,Casey,question: Who told someone to read? context: Avery was told by Casey to read. </s>,"('question: Who told someone to read? context: Avery was told by Casey to read. </s>', 'Casey')"
6,t5,object-control-passive,Avery,Casey,True,told,to run,Avery,Casey,question: Who told someone to run? context: Avery was told by Casey to run. </s>,"('question: Who told someone to run? context: Avery was told by Casey to run. </s>', 'Casey')"
7,t5,object-control-passive,Avery,Casey,False,told,to run,Avery,Casey,question: Who told someone to run? context: Avery was told by Casey to run. </s>,"('question: Who told someone to run? context: Avery was told by Casey to run. </s>', 'Casey')"
8,t5,object-control-passive,Avery,Casey,True,told,to call,Avery,Casey,question: Who told someone to call? context: Avery was told by Casey to call. </s>,"('question: Who told someone to call? context: Avery was told by Casey to call. </s>', 'Casey')"
9,t5,object-control-passive,Avery,Casey,False,told,to call,Avery,Casey,question: Who told someone to call? context: Avery was told by Casey to call. </s>,"('question: Who told someone to call? context: Avery was told by Casey to call. </s>', 'Casey')"
10,t5,object-control-passive,Avery,Casey,True,ordered,to come,Avery,Casey,question: Who ordered someone to come? context: Avery was ordered by Casey to come. </s>,"('question: Who ordered someone to come? context: Avery was ordered by Casey to come. </s>', 'Casey')"
11,t5,object-control-passive,Avery,Casey,False,ordered,to come,Avery,Casey,question: Who ordered someone to come? context: Avery was ordered by Casey to come. </s>,"('question: Who ordered someone to come? context: Avery was ordered by Casey to come. </s>', 'Casey')"
12,t5,object-control-passive,Avery,Casey,True,ordered,to go,Avery,Casey,question: Who ordered someone to go? context: Avery was ordered by Casey to go. </s>,"('question: Who ordered someone to go? context: Avery was ordered by Casey to go. </s>', 'Casey')"
13,t5,object-control-passive,Avery,Casey,False,ordered,to go,Avery,Casey,question: Who ordered someone to go? context: Avery was ordered by Casey to go. </s>,"('question: Who ordered someone to go? context: Avery was ordered by Casey to go. </s>', 'Casey')"
14,t5,object-control-passive,Avery,Casey,True,ordered,to read,Avery,Casey,question: Who ordered someone to read? context: Avery was ordered by Casey to read. </s>,"('question: Who ordered someone to read? context: Avery was ordered by Casey to read. </s>', 'Casey')"
15,t5,object-control-passive,Avery,Casey,False,ordered,to read,Avery,Casey,question: Who ordered someone to read? context: Avery was ordered by Casey to read. </s>,"('question: Who ordered someone to read? context: Avery was ordered by Casey to read. </s>', 'Casey')"
16,t5,object-control-passive,Avery,Casey,True,ordered,to run,Avery,Casey,question: Who ordered someone to run? context: Avery was ordered by Casey to run. </s>,"('question: Who ordered someone to run? context: Avery was ordered by Casey to run. </s>', 'Casey')"
17,t5,object-control-passive,Avery,Casey,False,ordered,to run,Avery,Casey,question: Who ordered someone to run? context: Avery was ordered by Casey to run. </s>,"('question: Who ordered someone to run? context: Avery was ordered by Casey to run. </s>', 'Casey')"
18,t5,object-control-passive,Avery,Casey,True,ordered,to call,Avery,Casey,question: Who ordered someone to call? context: Avery was ordered by Casey to call. </s>,"('question: Who ordered someone to call? context: Avery was ordered by Casey to call. </s>', 'Casey')"
19,t5,object-control-passive,Avery,Casey,False,ordered,to call,Avery,Casey,question: Who ordered someone to call? context: Avery was ordered by Casey to call. </s>,"('question: Who ordered someone to call? context: Avery was ordered by Casey to call. </s>', 'Casey')"
20,t5,object-control-passive,Avery,Casey,True,called upon,to come,Avery,Casey,question: Who called upon someone to come? context: Avery was called upon by Casey to come. </s>,"('question: Who called upon someone to come? context: Avery was called upon by Casey to come. </s>', 'Casey')"
21,t5,object-control-passive,Avery,Casey,False,called upon,to come,Avery,Casey,question: Who called upon someone to come? context: Avery was called upon by Casey to come. </s>,"('question: Who called upon someone to come? context: Avery was called upon by Casey to come. </s>', 'Casey')"
22,t5,object-control-passive,Avery,Casey,True,called upon,to go,Avery,Casey,question: Who called upon someone to go? context: Avery was called upon by Casey to go. </s>,"('question: Who called upon someone to go? context: Avery was called upon by Casey to go. </s>', 'Casey')"
23,t5,object-control-passive,Avery,Casey,False,called upon,to go,Avery,Casey,question: Who called upon someone to go? context: Avery was called upon by Casey to go. </s>,"('question: Who called upon someone to go? context: Avery was called upon by Casey to go. </s>', 'Casey')"
