,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,t5,subject-control,Avery,Casey,True,threatened,to come,Avery,Casey,question: Who came? context: Avery threatened Casey to come. </s>,"('question: Who came? context: Avery threatened Casey to come. </s>', 'Casey')"
1,t5,subject-control,Avery,Casey,False,threatened,to come,Avery,Casey,question: Who came? context: Avery threatened Casey to come. </s>,"('question: Who came? context: Avery threatened Casey to come. </s>', 'Casey')"
2,t5,subject-control,Avery,Casey,True,threatened,to go,Avery,Casey,question: Who went? context: Avery threatened Casey to go. </s>,"('question: Who went? context: Avery threatened Casey to go. </s>', 'Casey')"
3,t5,subject-control,Avery,Casey,False,threatened,to go,Avery,Casey,question: Who went? context: Avery threatened Casey to go. </s>,"('question: Who went? context: Avery threatened Casey to go. </s>', 'Casey')"
4,t5,subject-control,Avery,Casey,True,threatened,to read,Avery,Casey,question: Who read? context: Avery threatened Casey to read. </s>,"('question: Who read? context: Avery threatened Casey to read. </s>', 'Casey')"
5,t5,subject-control,Avery,Casey,False,threatened,to read,Avery,Casey,question: Who read? context: Avery threatened Casey to read. </s>,"('question: Who read? context: Avery threatened Casey to read. </s>', 'Casey')"
6,t5,subject-control,Avery,Casey,True,threatened,to run,Avery,Casey,question: Who ran? context: Avery threatened Casey to run. </s>,"('question: Who ran? context: Avery threatened Casey to run. </s>', 'Casey')"
7,t5,subject-control,Avery,Casey,False,threatened,to run,Avery,Casey,question: Who ran? context: Avery threatened Casey to run. </s>,"('question: Who ran? context: Avery threatened Casey to run. </s>', 'Casey')"
8,t5,subject-control,Avery,Casey,True,threatened,to call,Avery,Casey,question: Who called? context: Avery threatened Casey to call. </s>,"('question: Who called? context: Avery threatened Casey to call. </s>', 'Casey')"
9,t5,subject-control,Avery,Casey,False,threatened,to call,Avery,Casey,question: Who called? context: Avery threatened Casey to call. </s>,"('question: Who called? context: Avery threatened Casey to call. </s>', 'Casey')"
20,t5,subject-control,Avery,Joseph,True,threatened,to come,Avery,Joseph,question: Who came? context: Avery threatened Joseph to come. </s>,"('question: Who came? context: Avery threatened Joseph to come. </s>', 'Joseph')"
21,t5,subject-control,Avery,Joseph,False,threatened,to come,Avery,Joseph,question: Who came? context: Avery threatened Joseph to come. </s>,"('question: Who came? context: Avery threatened Joseph to come. </s>', 'Joseph')"
22,t5,subject-control,Avery,Joseph,True,threatened,to go,Avery,Joseph,question: Who went? context: Avery threatened Joseph to go. </s>,"('question: Who went? context: Avery threatened Joseph to go. </s>', 'Joseph')"
23,t5,subject-control,Avery,Joseph,False,threatened,to go,Avery,Joseph,question: Who went? context: Avery threatened Joseph to go. </s>,"('question: Who went? context: Avery threatened Joseph to go. </s>', 'Joseph')"
24,t5,subject-control,Avery,Joseph,True,threatened,to read,Avery,Joseph,question: Who read? context: Avery threatened Joseph to read. </s>,"('question: Who read? context: Avery threatened Joseph to read. </s>', 'Joseph')"
25,t5,subject-control,Avery,Joseph,False,threatened,to read,Avery,Joseph,question: Who read? context: Avery threatened Joseph to read. </s>,"('question: Who read? context: Avery threatened Joseph to read. </s>', 'Joseph')"
26,t5,subject-control,Avery,Joseph,True,threatened,to run,Avery,Joseph,question: Who ran? context: Avery threatened Joseph to run. </s>,"('question: Who ran? context: Avery threatened Joseph to run. </s>', 'Joseph')"
27,t5,subject-control,Avery,Joseph,False,threatened,to run,Avery,Joseph,question: Who ran? context: Avery threatened Joseph to run. </s>,"('question: Who ran? context: Avery threatened Joseph to run. </s>', 'Joseph')"
28,t5,subject-control,Avery,Joseph,True,threatened,to call,Avery,Joseph,question: Who called? context: Avery threatened Joseph to call. </s>,"('question: Who called? context: Avery threatened Joseph to call. </s>', 'Joseph')"
29,t5,subject-control,Avery,Joseph,False,threatened,to call,Avery,Joseph,question: Who called? context: Avery threatened Joseph to call. </s>,"('question: Who called? context: Avery threatened Joseph to call. </s>', 'Joseph')"
40,t5,subject-control,Avery,Nicole,True,threatened,to come,Avery,Nicole,question: Who came? context: Avery threatened Nicole to come. </s>,"('question: Who came? context: Avery threatened Nicole to come. </s>', 'Nicole')"
41,t5,subject-control,Avery,Nicole,False,threatened,to come,Avery,Nicole,question: Who came? context: Avery threatened Nicole to come. </s>,"('question: Who came? context: Avery threatened Nicole to come. </s>', 'Nicole')"
42,t5,subject-control,Avery,Nicole,True,threatened,to go,Avery,Nicole,question: Who went? context: Avery threatened Nicole to go. </s>,"('question: Who went? context: Avery threatened Nicole to go. </s>', 'Nicole')"
43,t5,subject-control,Avery,Nicole,False,threatened,to go,Avery,Nicole,question: Who went? context: Avery threatened Nicole to go. </s>,"('question: Who went? context: Avery threatened Nicole to go. </s>', 'Nicole')"
44,t5,subject-control,Avery,Nicole,True,threatened,to read,Avery,Nicole,question: Who read? context: Avery threatened Nicole to read. </s>,"('question: Who read? context: Avery threatened Nicole to read. </s>', 'Nicole')"
45,t5,subject-control,Avery,Nicole,False,threatened,to read,Avery,Nicole,question: Who read? context: Avery threatened Nicole to read. </s>,"('question: Who read? context: Avery threatened Nicole to read. </s>', 'Nicole')"
46,t5,subject-control,Avery,Nicole,True,threatened,to run,Avery,Nicole,question: Who ran? context: Avery threatened Nicole to run. </s>,"('question: Who ran? context: Avery threatened Nicole to run. </s>', 'Nicole')"
47,t5,subject-control,Avery,Nicole,False,threatened,to run,Avery,Nicole,question: Who ran? context: Avery threatened Nicole to run. </s>,"('question: Who ran? context: Avery threatened Nicole to run. </s>', 'Nicole')"
48,t5,subject-control,Avery,Nicole,True,threatened,to call,Avery,Nicole,question: Who called? context: Avery threatened Nicole to call. </s>,"('question: Who called? context: Avery threatened Nicole to call. </s>', 'Nicole')"
49,t5,subject-control,Avery,Nicole,False,threatened,to call,Avery,Nicole,question: Who called? context: Avery threatened Nicole to call. </s>,"('question: Who called? context: Avery threatened Nicole to call. </s>', 'Nicole')"
60,t5,subject-control,Avery,Stephanie,True,threatened,to come,Avery,Stephanie,question: Who came? context: Avery threatened Stephanie to come. </s>,"('question: Who came? context: Avery threatened Stephanie to come. </s>', 'Stephanie')"
61,t5,subject-control,Avery,Stephanie,False,threatened,to come,Avery,Stephanie,question: Who came? context: Avery threatened Stephanie to come. </s>,"('question: Who came? context: Avery threatened Stephanie to come. </s>', 'Stephanie')"
62,t5,subject-control,Avery,Stephanie,True,threatened,to go,Avery,Stephanie,question: Who went? context: Avery threatened Stephanie to go. </s>,"('question: Who went? context: Avery threatened Stephanie to go. </s>', 'Stephanie')"
63,t5,subject-control,Avery,Stephanie,False,threatened,to go,Avery,Stephanie,question: Who went? context: Avery threatened Stephanie to go. </s>,"('question: Who went? context: Avery threatened Stephanie to go. </s>', 'Stephanie')"
64,t5,subject-control,Avery,Stephanie,True,threatened,to read,Avery,Stephanie,question: Who read? context: Avery threatened Stephanie to read. </s>,"('question: Who read? context: Avery threatened Stephanie to read. </s>', 'Stephanie')"
65,t5,subject-control,Avery,Stephanie,False,threatened,to read,Avery,Stephanie,question: Who read? context: Avery threatened Stephanie to read. </s>,"('question: Who read? context: Avery threatened Stephanie to read. </s>', 'Stephanie')"
66,t5,subject-control,Avery,Stephanie,True,threatened,to run,Avery,Stephanie,question: Who ran? context: Avery threatened Stephanie to run. </s>,"('question: Who ran? context: Avery threatened Stephanie to run. </s>', 'Stephanie')"
67,t5,subject-control,Avery,Stephanie,False,threatened,to run,Avery,Stephanie,question: Who ran? context: Avery threatened Stephanie to run. </s>,"('question: Who ran? context: Avery threatened Stephanie to run. </s>', 'Stephanie')"
68,t5,subject-control,Avery,Stephanie,True,threatened,to call,Avery,Stephanie,question: Who called? context: Avery threatened Stephanie to call. </s>,"('question: Who called? context: Avery threatened Stephanie to call. </s>', 'Stephanie')"
69,t5,subject-control,Avery,Stephanie,False,threatened,to call,Avery,Stephanie,question: Who called? context: Avery threatened Stephanie to call. </s>,"('question: Who called? context: Avery threatened Stephanie to call. </s>', 'Stephanie')"
80,t5,subject-control,Avery,William,True,threatened,to come,Avery,William,question: Who came? context: Avery threatened William to come. </s>,"('question: Who came? context: Avery threatened William to come. </s>', 'William')"
81,t5,subject-control,Avery,William,False,threatened,to come,Avery,William,question: Who came? context: Avery threatened William to come. </s>,"('question: Who came? context: Avery threatened William to come. </s>', 'William')"
82,t5,subject-control,Avery,William,True,threatened,to go,Avery,William,question: Who went? context: Avery threatened William to go. </s>,"('question: Who went? context: Avery threatened William to go. </s>', 'William')"
83,t5,subject-control,Avery,William,False,threatened,to go,Avery,William,question: Who went? context: Avery threatened William to go. </s>,"('question: Who went? context: Avery threatened William to go. </s>', 'William')"
