,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who came?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to come.\n\nThe question is:\n\n Who came?\n\nA:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to come.\n\nThe question is:\n\n Who came?')"
1,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to come.\n\nQuestion: Who came?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to come.\n\nThe question is:\n\n Who came?\n\nA:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to come.\n\nThe question is:\n\n Who came?')"
2,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who went?\nAnswer:  Avery.\n\nQuestion: What happened?\nAnswer:  Casey went.\n\nQuestion: What happened?\nAnswer:  Avery went.\n\nQuestion: What happened?\nAnswer:  Casey went.\n\nQuestion: What happened?\nAnswer:  Avery went.\n\nQuestion: What happened?\nAnswer:')"
3,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to go.\n\nQuestion: Who went?\nAnswer:  Avery.\n\nQuestion: What happened?\nAnswer:  Casey went.\n\nQuestion: What happened?\nAnswer:  Avery went.\n\nQuestion: What happened?\nAnswer:  Casey went.\n\nQuestion: What happened?\nAnswer:  Avery went.\n\nQuestion: What happened?\nAnswer:')"
4,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who read?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to read.\n\nThe question is:\n\n Who read?\n\nA:\n\n Casey\n\nThe answer is:\n\n Avery\n\nThe context is:\n\n Casey was told by Avery to read.\n\n')"
5,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to read.\n\nQuestion: Who read?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery was told by Casey to read.\n\nThe question is:\n\n Who read?\n\nA:\n\n Casey\n\nThe answer is:\n\n Avery\n\nThe context is:\n\n Casey was told by Avery to read.\n\n')"
6,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: What happened?\nAnswer:  Avery was told to run.\n\nQuestion: What happened?\nAnswer:  Avery was told to run.\n\nQuestion: What happened?\nAnswer:  Avery was told to run.\n\nQuestion: What happened?\nAnswer:  Avery was told to')"
7,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: What happened?\nAnswer:  Avery was told to run.\n\nQuestion: What happened?\nAnswer:  Avery was told to run.\n\nQuestion: What happened?\nAnswer:  Avery was told to run.\n\nQuestion: What happened?\nAnswer:  Avery was told to')"
8,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who called?\nAnswer:  Avery.\n\nQuestion: What did Avery say?\nAnswer:  Casey.\n\nQuestion: What did Casey say?\nAnswer:  Avery.\n\nQuestion: What did Avery say?\nAnswer:  Casey.\n\nQuestion: What did Casey say?\nAnswer:  Avery.\n\nQuestion: What did')"
9,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery was told by Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was told by Casey to call.\n\nQuestion: Who called?\nAnswer:  Avery.\n\nQuestion: What did Avery say?\nAnswer:  Casey.\n\nQuestion: What did Casey say?\nAnswer:  Avery.\n\nQuestion: What did Avery say?\nAnswer:  Casey.\n\nQuestion: What did Casey say?\nAnswer:  Avery.\n\nQuestion: What did')"
10,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,ordered,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to come.\n\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was ordered by Casey to come.\n\nQuestion: Who came?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery was ordered by Casey to come.\n\nThe question is:\n\n Who came?\n\nA:\n\n Casey\n\nThe context is:\n\n Avery was ordered by Casey to come.\n\nThe question is:\n\n Who came?')"
11,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,ordered,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to come.\n\nQuestion: Who came?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was ordered by Casey to come.\n\nQuestion: Who came?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery was ordered by Casey to come.\n\nThe question is:\n\n Who came?\n\nA:\n\n Casey\n\nThe context is:\n\n Avery was ordered by Casey to come.\n\nThe question is:\n\n Who came?')"
12,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,ordered,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was ordered by Casey to go.\n\nQuestion: Who went?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nReasoning:\n\n The context is that Avery was ordered by Casey to go.\n The question is: Who went?\n The answer is: Casey.\n\nA:\n\nThe answer is:\n\n Casey\n\nReasoning:\n\n The context is that Avery')"
13,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,ordered,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was ordered by Casey to go.\n\nQuestion: Who went?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nReasoning:\n\n The context is that Avery was ordered by Casey to go.\n The question is: Who went?\n The answer is: Casey.\n\nA:\n\nThe answer is:\n\n Casey\n\nReasoning:\n\n The context is that Avery')"
14,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,ordered,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was ordered by Casey to read.\n\nQuestion: Who read?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery was ordered by Casey to read.\n\nThe question is:\n\n Who read?\n\nA:\n\n Casey\n\nThe answer is:\n\n Avery\n\nThe context is:\n\n Casey was ordered by Avery to read.\n\n')"
15,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,ordered,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was ordered by Casey to read.\n\nQuestion: Who read?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nThe context is:\n\n Avery was ordered by Casey to read.\n\nThe question is:\n\n Who read?\n\nA:\n\n Casey\n\nThe answer is:\n\n Avery\n\nThe context is:\n\n Casey was ordered by Avery to read.\n\n')"
16,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,ordered,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was ordered by Casey to run.\n\nQuestion: Who ran?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nReasoning:\n\n The context is that Avery was ordered by Casey to run.\n The question is: Who ran?\n The answer is: Casey.\n\nA:\n\nThe answer is:\n\n Casey\n\nReasoning:\n\n The context is that Avery')"
17,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,ordered,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was ordered by Casey to run.\n\nQuestion: Who ran?\nAnswer: \n\nA:\n\nThe answer is:\n\n Casey\n\nReasoning:\n\n The context is that Avery was ordered by Casey to run.\n The question is: Who ran?\n The answer is: Casey.\n\nA:\n\nThe answer is:\n\n Casey\n\nReasoning:\n\n The context is that Avery')"
18,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,ordered,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to call.\n\nQuestion: Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was ordered by Casey to call.\n\nQuestion: Who called?\nAnswer:                                                                     ')"
19,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,ordered,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery was ordered by Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery was ordered by Casey to call.\n\nQuestion: Who called?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was ordered by Casey to call.\n\nQuestion: Who called?\nAnswer:                                                                     ')"
20,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,called upon,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was called upon by Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery was called upon by Casey to come.\n\nQuestion: Who came?\nAnswer: ', ""You will be given a context and a question.\nContext: Avery was called upon by Casey to come.\n\nQuestion: Who came?\nAnswer:  Avery.\n\nQuestion: What did Avery do?\nAnswer:  He went to Casey's house.\n\nQuestion: What did Casey do?\nAnswer:  He went to Avery's house.\n\nQuestion: What did Avery do?\nAnswer:  He went to Casey's house.\n\nQuestion: What"")"
21,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,called upon,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery was called upon by Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery was called upon by Casey to come.\n\nQuestion: Who came?\nAnswer: ', ""You will be given a context and a question.\nContext: Avery was called upon by Casey to come.\n\nQuestion: Who came?\nAnswer:  Avery.\n\nQuestion: What did Avery do?\nAnswer:  He went to Casey's house.\n\nQuestion: What did Casey do?\nAnswer:  He went to Avery's house.\n\nQuestion: What did Avery do?\nAnswer:  He went to Casey's house.\n\nQuestion: What"")"
22,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,called upon,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was called upon by Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery was called upon by Casey to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was called upon by Casey to go.\n\nQuestion: Who went?\nAnswer:  Avery.\n\nQuestion: What did he do?\nAnswer:  He went to the bathroom.\n\nQuestion: What did he do?\nAnswer:  He went to the bathroom.\n\nQuestion: What did he do?\nAnswer:  He went to the bathroom.\n\nQuestion: What did he do')"
23,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,called upon,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery was called upon by Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery was called upon by Casey to go.\n\nQuestion: Who went?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was called upon by Casey to go.\n\nQuestion: Who went?\nAnswer:  Avery.\n\nQuestion: What did he do?\nAnswer:  He went to the bathroom.\n\nQuestion: What did he do?\nAnswer:  He went to the bathroom.\n\nQuestion: What did he do?\nAnswer:  He went to the bathroom.\n\nQuestion: What did he do')"
24,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,called upon,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery was called upon by Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery was called upon by Casey to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was called upon by Casey to read.\n\nQuestion: Who read?\nAnswer:  Avery.\n\nQuestion: What did Avery read?\nAnswer:  The Bible.\n\nQuestion: What did Avery read?\nAnswer:  The Bible.\n\nQuestion: What did Avery read?\nAnswer:  The Bible.\n\nQuestion: What did Avery read?\nAnswer:  The Bible.\n')"
25,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,called upon,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery was called upon by Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery was called upon by Casey to read.\n\nQuestion: Who read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was called upon by Casey to read.\n\nQuestion: Who read?\nAnswer:  Avery.\n\nQuestion: What did Avery read?\nAnswer:  The Bible.\n\nQuestion: What did Avery read?\nAnswer:  The Bible.\n\nQuestion: What did Avery read?\nAnswer:  The Bible.\n\nQuestion: What did Avery read?\nAnswer:  The Bible.\n')"
26,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,called upon,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was called upon by Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery was called upon by Casey to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was called upon by Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: What did Avery do?\nAnswer:  Avery ran.\n\nQuestion: What happened?\nAnswer:  Avery was called upon by Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: What did Avery do?\nAnswer:  Avery ran.')"
27,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,called upon,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery was called upon by Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery was called upon by Casey to run.\n\nQuestion: Who ran?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery was called upon by Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: What did Avery do?\nAnswer:  Avery ran.\n\nQuestion: What happened?\nAnswer:  Avery was called upon by Casey to run.\n\nQuestion: Who ran?\nAnswer:  Avery.\n\nQuestion: What did Avery do?\nAnswer:  Avery ran.')"
