,model,exp_type,prompt,pred,true,response,Unnamed: 0
0,gpt_neo_1.3b,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""The last wolf was killed in Yellowstone National Park in 1943 .""
Question: In the event ""killed"", does the participant ""wolf"" act with volition?
Answer: No
Sentence: ""Pioneers take a pledge to remain tee - total and at the hight of the organization popularity , had an estimated two million members even filling Croke Park on the 25th anniversary .""
Question: In the event ""take"", does the participant ""Pioneers"" act with volition?
Answer: Yes
Sentence: ""Iran is encircled by Afghanistan , by the Gulf States , Iraq and the Moslem republics of the former Soviet Union .""
Question: In the event ""encircled"", does the participant ""Iran"" act with volition?
Answer: No
Sentence: ""Attached for your further handling is the draft form Deemed ISDA between ENA and Ispat Mexicana S.A. de C.V .""
Question: In the event ""Attached"", does the participant ""form"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""The last wolf was killed in Yellowstone National Park in 1943.""
Question: In the event ""killed"", does the participant ""wolf"" act with volition?
Answer: No
Sentence: ""Pioneers take a pledge to remain tee - total and at the hight of the organization popularity, had an estimated two million members even filling Croke Park on the 25th anniversary.""
Question: In the event ""take"", does the participant ""Pioneers"" act with volition?
Answer: Yes
Sentence: ""Iran is encircled by Afghanistan, by the Gulf States, Iraq and the Moslem republics of the former Soviet Union.""
Question: In the event ""encircled"", does the participant ""Iran"" act with volition?
Answer: No
Sentence: ""Attached for your further handling is the draft form Deemed ISDA between ENA and Ispat Mexicana S.A. de C.V.""
Question: In the event ""Attached"", does the participant ""form"" act with volition?
Answer:  No
Sentence: ""The company is a subsidiary of the Mexican government and is a member of the International Chamber of Commerce.""
Question: In the event ""is"", does the participant ""company"" act with volition?
Answer: Yes
Sentence: ""The company is a subsidiary of the Mexican government and is a member of the International Chamber of Commerce.""
Question: In the event ""is"", does the participant ""company"" act with volition?
Answer: Yes
Sentence: ""The company is a subsidiary of the Mexican government and is a member of the International Chamber of Commerce.""
Question: In the event ""is"", does the participant ""company"" act with volition?
Answer: Yes
Sentence: ""The company is a subsidiary of the",0.0
1,gpt_neo_1.3b,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""Chahine said her immediate family spent about $ 20,000 to return to Detroit via Syria and Jordan .""
Question: In the event ""spent"", does the participant ""$"" act with volition?
Answer: No
Sentence: ""In the medium case , investigations find that Enron ( like others ) "" played by the rules , "" but the rules stunk , and Enron profited at the expense of California consumers .""
Question: In the event ""played"", does the participant ""Enron"" act with volition?
Answer: Yes
Sentence: ""I have to mention that i recently separated the father into another cage close to the ' nest cage ' because he and the mother were fighting .""
Question: In the event ""fighting"", does the participant ""he"" act with volition?
Answer: Yes
Sentence: ""But there are strong hints in the country that a new Indo - Sri Lanka defense deal could be in the making .""
Question: In the event ""are"", does the participant ""hints"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""Chahine said her immediate family spent about $ 20,000 to return to Detroit via Syria and Jordan.""
Question: In the event ""spent"", does the participant ""$"" act with volition?
Answer: No
Sentence: ""In the medium case, investigations find that Enron ( like others ) "" played by the rules, "" but the rules stunk, and Enron profited at the expense of California consumers.""
Question: In the event ""played"", does the participant ""Enron"" act with volition?
Answer: Yes
Sentence: ""I have to mention that i recently separated the father into another cage close to the'nest cage'because he and the mother were fighting.""
Question: In the event ""fighting"", does the participant ""he"" act with volition?
Answer: Yes
Sentence: ""But there are strong hints in the country that a new Indo - Sri Lanka defense deal could be in the making.""
Question: In the event ""are"", does the participant ""hints"" act with volition?
Answer:  No
Sentence: ""The government has been trying to get the country to accept the idea of a new defense pact with India.""
Question: In the event ""accept"", does the participant ""the government"" act with volition?
Answer: Yes
Sentence: ""The government has been trying to get the country to accept the idea of a new defense pact with India.""
Question: In the event ""accept"", does the participant ""the government"" act with volition?
Answer: Yes
Sentence: ""The government has been trying to get the country to accept the idea of a new defense pact with India.""
Question: In the event ""accept"", does the participant ""the government"" act with volition?
Answer: Yes
Sentence: """,1.0
2,gpt_neo_1.3b,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""By comparison , outdoor cats have a life expectancy of 3 - 7 years depending on how many predators are in the local environment .""
Question: In the event ""have"", does the participant ""cats"" act with volition?
Answer: No
Sentence: ""We had no choice but to stay but will take this as far as we can .""
Question: In the event ""had"", does the participant ""We"" act with volition?
Answer: No
Sentence: ""They were from all accounts marginalized and not listened to .""
Question: In the event ""marginalized"", does the participant ""They"" act with volition?
Answer: No
Sentence: ""Linda Robertson says they should be charged to Jim Steffes ' cost center , etc .""
Question: In the event ""charged"", does the participant ""they"" act with volition?
Answer: ",No,No,"Answer this yes-no question about the following sentence.
Sentence: ""By comparison, outdoor cats have a life expectancy of 3 - 7 years depending on how many predators are in the local environment.""
Question: In the event ""have"", does the participant ""cats"" act with volition?
Answer: No
Sentence: ""We had no choice but to stay but will take this as far as we can.""
Question: In the event ""had"", does the participant ""We"" act with volition?
Answer: No
Sentence: ""They were from all accounts marginalized and not listened to.""
Question: In the event ""marginalized"", does the participant ""They"" act with volition?
Answer: No
Sentence: ""Linda Robertson says they should be charged to Jim Steffes'cost center, etc.""
Question: In the event ""charged"", does the participant ""they"" act with volition?
Answer: 

A:

The answer is no.
The sentence is ambiguous.  The sentence is about the cat, but the cat is not the subject of the sentence.  The cat is the object of the sentence.  The cat is the subject of the sentence.  The cat is the object of the sentence.  The cat is the subject of the sentence.  The cat is the object of the sentence.  The cat is the subject of the sentence.  The cat is the object of the sentence.  The cat is the subject of the sentence.  The cat is the object of the sentence.  The cat is the subject of the sentence.  The cat is the object of the sentence.  The cat is the subject of the sentence.  The cat is the object of the sentence.  The cat is the subject of the sentence.  The cat is the object of the sentence.  The cat is the subject of the sentence.  The cat",2.0
3,gpt_neo_1.3b,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""For weeks , reporters scoured Alabama in search of pilots or anyone who might have remembered seeing Mr. Bush at the time he was serving in the National Guard there .""
Question: In the event ""scoured"", does the participant ""Alabama"" act with volition?
Answer: No
Sentence: ""The islamists sent letter bombs in January 1997 to newspaper offices in New York City and Washington , D.C. .""
Question: In the event ""sent"", does the participant ""bombs"" act with volition?
Answer: No
Sentence: ""Dunn believes the resulting overcharges for electricity exceeded $ 30 billion .""
Question: In the event ""exceeded"", does the participant ""overcharges"" act with volition?
Answer: No
Sentence: ""Once upon a time ( in 2001 , to be specific ) , the Coca - Cola corporation built a bottling plant in a small and remote Indian village in the state of Kerala .""
Question: In the event ""built"", does the participant ""corporation"" act with volition?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""For weeks, reporters scoured Alabama in search of pilots or anyone who might have remembered seeing Mr. Bush at the time he was serving in the National Guard there.""
Question: In the event ""scoured"", does the participant ""Alabama"" act with volition?
Answer: No
Sentence: ""The islamists sent letter bombs in January 1997 to newspaper offices in New York City and Washington, D.C..""
Question: In the event ""sent"", does the participant ""bombs"" act with volition?
Answer: No
Sentence: ""Dunn believes the resulting overcharges for electricity exceeded $ 30 billion.""
Question: In the event ""exceeded"", does the participant ""overcharges"" act with volition?
Answer: No
Sentence: ""Once upon a time ( in 2001, to be specific ), the Coca - Cola corporation built a bottling plant in a small and remote Indian village in the state of Kerala.""
Question: In the event ""built"", does the participant ""corporation"" act with volition?
Answer:  No
Sentence: ""The company has been in business for more than a century.""
Question: In the event ""has been"", does the participant ""company"" act with volition?
Answer: No
Sentence: ""The company has been in business for more than a century.""
Question: In the event ""has been"", does the participant ""company"" act with volition?
Answer: No
Sentence: ""The company has been in business for more than a century.""
Question: In the event ""has been"", does the participant ""company"" act with volition?
Answer: No
Sentence: ""The company has been in business for more than a century.""
Question: In the event ""has been"", does the participant",3.0
4,gpt_neo_1.3b,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""I ordered 1000 postcards , we normally order 5000 or more .""
Question: In the event ""order"", does the participant ""we"" act with volition?
Answer: Yes
Sentence: ""Within seven days , I started getting money in the mail !!""
Question: In the event ""started"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one .""
Question: In the event ""bite"", does the participant ""us"" act with volition?
Answer: No
Sentence: ""She puts mayonnaise on aspirin . ( <- clearly the winner )""
Question: In the event ""puts"", does the participant ""She"" act with volition?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""I ordered 1000 postcards, we normally order 5000 or more.""
Question: In the event ""order"", does the participant ""we"" act with volition?
Answer: Yes
Sentence: ""Within seven days, I started getting money in the mail!!""
Question: In the event ""started"", does the participant ""I"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""bite"", does the participant ""us"" act with volition?
Answer: No
Sentence: ""She puts mayonnaise on aspirin. ( <- clearly the winner )""
Question: In the event ""puts"", does the participant ""She"" act with volition?
Answer:  No
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""bite"", does the participant ""us"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""bite"", does the participant ""us"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""bite"", does the participant ""us"" act with volition?
Answer: Yes
Sentence: ""I have a concern that the Enron optionality bug could bite us on the backside with that one.""
Question: In the event ""bite"", does the participant ""us"" act with volition?
Answer: Yes
Sentence:",4.0
5,gpt_neo_1.3b,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""I did the work myself for $ 50 .""
Question: In the event ""did"", does the participant ""work"" act with volition?
Answer: No
Sentence: ""Lee Huber made the same request last year and we gave her the chair ( she only wanted one , however ) .""
Question: In the event ""made"", does the participant ""Huber"" act with volition?
Answer: Yes
Sentence: ""<< Upon the sixth of April , Alexander the Great was born .""
Question: In the event ""born"", does the participant ""Alexander"" act with volition?
Answer: No
Sentence: ""Meats are kept VERY cold , seafood smells fresh and the serving bar is VERY clean .""
Question: In the event ""smells"", does the participant ""seafood"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""I did the work myself for $ 50.""
Question: In the event ""did"", does the participant ""work"" act with volition?
Answer: No
Sentence: ""Lee Huber made the same request last year and we gave her the chair ( she only wanted one, however ).""
Question: In the event ""made"", does the participant ""Huber"" act with volition?
Answer: Yes
Sentence: ""<< Upon the sixth of April, Alexander the Great was born.""
Question: In the event ""born"", does the participant ""Alexander"" act with volition?
Answer: No
Sentence: ""Meats are kept VERY cold, seafood smells fresh and the serving bar is VERY clean.""
Question: In the event ""smells"", does the participant ""seafood"" act with volition?
Answer:  No
Sentence: ""The first time I saw the sun was on the day I was born.""
Question: In the event ""seen"", does the participant ""sun"" act with volition?
Answer: Yes
Sentence: ""I was born in the year of the horse.""
Question: In the event ""born"", does the participant ""horse"" act with volition?
Answer: Yes
Sentence: ""I was born in the year of the horse.""
Question: In the event ""born"", does the participant ""horse"" act with volition?
Answer: Yes
Sentence: ""I was born in the year of the horse.""
Question: In the event ""born"", does the participant ""horse"" act with volition?
Answer: Yes
Sentence: ""I was born in the year of the horse.""
Question: In the event ""born"", does the participant ""horse"" act with volition?
Answer: Yes
Sentence:",5.0
6,gpt_neo_1.3b,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""As concerned citizens we affirm the liberty of adults of the same gender to love and marry .""
Question: In the event ""affirm"", does the participant ""we"" act with volition?
Answer: Yes
Sentence: ""The painting is based upon the hymn called , ' A Charge to Keep . '""
Question: In the event ""based"", does the participant ""painting"" act with volition?
Answer: No
Sentence: ""My next - door neighbor heard the noise and turned on a light , thankfully scaring the two miscreants away ( they even left their hammer behind ! ) .""
Question: In the event ""scaring"", does the participant ""miscreants"" act with volition?
Answer: No
Sentence: """" Their screams changed , "" Dr. Fortier said .""
Question: In the event ""said"", does the participant ""Fortier"" act with volition?
Answer: ",Yes,Yes,"Answer this yes-no question about the following sentence.
Sentence: ""As concerned citizens we affirm the liberty of adults of the same gender to love and marry.""
Question: In the event ""affirm"", does the participant ""we"" act with volition?
Answer: Yes
Sentence: ""The painting is based upon the hymn called,'A Charge to Keep. '""
Question: In the event ""based"", does the participant ""painting"" act with volition?
Answer: No
Sentence: ""My next - door neighbor heard the noise and turned on a light, thankfully scaring the two miscreants away ( they even left their hammer behind! ).""
Question: In the event ""scaring"", does the participant ""miscreants"" act with volition?
Answer: No
Sentence: """" Their screams changed, "" Dr. Fortier said.""
Question: In the event ""said"", does the participant ""Fortier"" act with volition?
Answer:  No
Sentence: ""The two men were arrested and charged with the crime of ""
Question: In the event ""charged"", does the participant ""two men"" act with volition?
Answer: Yes
Sentence: ""The two men were arrested and charged with the crime of ""
Question: In the event ""charged"", does the participant ""two men"" act with volition?
Answer: No
Sentence: ""The two men were arrested and charged with the crime of ""
Question: In the event ""charged"", does the participant ""two men"" act with volition?
Answer: Yes
Sentence: ""The two men were arrested and charged with the crime of ""
Question: In the event ""charged"", does the participant ""two men"" act with volition?
Answer: No
Sentence: ""The two men were arrested and charged with the crime of ""
",6.0
7,gpt_neo_1.3b,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""At one point they told me the dog had been fixed , the next day it had n't .""
Question: In the event ""fixed"", does the participant ""dog"" act with volition?
Answer: No
Sentence: """" There is always the possibility they could jam us up , make us look like we are not numero uno , "" Pike said .""
Question: In the event ""jam"", does the participant ""us"" act with volition?
Answer: No
Sentence: ""The Pakistani press reported that she was nabbed in Karachi after being spotted at the airport in late March or early April 2003 .""
Question: In the event ""nabbed"", does the participant ""she"" act with volition?
Answer: No
Sentence: ""Musk , which is scraped from their genitals once a day for as long as they can surv ive , makes the scent of perfume last a bit longer after each application .""
Question: In the event ""makes"", does the participant ""Musk"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""At one point they told me the dog had been fixed, the next day it hadn't.""
Question: In the event ""fixed"", does the participant ""dog"" act with volition?
Answer: No
Sentence: """" There is always the possibility they could jam us up, make us look like we are not numero uno, "" Pike said.""
Question: In the event ""jam"", does the participant ""us"" act with volition?
Answer: No
Sentence: ""The Pakistani press reported that she was nabbed in Karachi after being spotted at the airport in late March or early April 2003.""
Question: In the event ""nabbed"", does the participant ""she"" act with volition?
Answer: No
Sentence: ""Musk, which is scraped from their genitals once a day for as long as they can surv ive, makes the scent of perfume last a bit longer after each application.""
Question: In the event ""makes"", does the participant ""Musk"" act with volition?
Answer:  No
Sentence: ""The first time I saw the dog was in the parking lot of the mall in the early 1990s.""
Question: In the event ""first"", does the participant ""dog"" act with volition?
Answer: No
Sentence: ""The dog was a big dog, a big dog, a big dog.""
Question: In the event ""big"", does the participant ""dog"" act with volition?
Answer: No
Sentence: ""The dog was a big dog, a big dog, a big dog.""
Question: In the event ""big"", does the participant ""dog"" act with volition?
Answer: No
Sentence: ""The dog was a big dog, a big dog, a big dog.""
Question:",7.0
8,gpt_neo_1.3b,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: """" There have no business being there unless they are undermining Pakistan , '' says a Pakistani official .""
Question: In the event ""undermining"", does the participant ""Pakistan"" act with volition?
Answer: No
Sentence: ""We love our new roof !""
Question: In the event ""love"", does the participant ""roof"" act with volition?
Answer: No
Sentence: ""They did that with no problem .""
Question: In the event ""did"", does the participant ""They"" act with volition?
Answer: Yes
Sentence: ""i have a baby eastern king snake .""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: """" There have no business being there unless they are undermining Pakistan, '' says a Pakistani official.""
Question: In the event ""undermining"", does the participant ""Pakistan"" act with volition?
Answer: No
Sentence: ""We love our new roof!""
Question: In the event ""love"", does the participant ""roof"" act with volition?
Answer: No
Sentence: ""They did that with no problem.""
Question: In the event ""did"", does the participant ""They"" act with volition?
Answer: Yes
Sentence: ""i have a baby eastern king snake.""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer:  No
Sentence: ""i have a baby eastern king snake.""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer: Yes
Sentence: ""i have a baby eastern king snake.""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer: Yes
Sentence: ""i have a baby eastern king snake.""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer: Yes
Sentence: ""i have a baby eastern king snake.""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer: Yes
Sentence: ""i have a baby eastern king snake.""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer: Yes
Sentence: ""i have a baby eastern king snake.""
Question: In the event ""have"", does the participant ""snake"" act with volition?
Answer: Yes
",8.0
9,gpt_neo_1.3b,volition_prefix_3,"Answer this yes-no question about the following sentence.
Sentence: ""Bush did no such thing .""
Question: In the event ""did"", does the participant ""Bush"" act with volition?
Answer: Yes
Sentence: ""During his time in the Guard , George Bush flew the F - 102 Delta Dagger fighter - interceptor .""
Question: In the event ""flew"", does the participant ""Bush"" act with volition?
Answer: Yes
Sentence: ""The Commission 's hearings begin tomorrow at 10 AM ( PST ) .""
Question: In the event ""begin"", does the participant ""hearings"" act with volition?
Answer: Yes
Sentence: ""Attached are the draft Schedule to the ISDA Master Agreement , together with Paragraph 13 to the ISDA Credit Support Annex .""
Question: In the event ""Attached"", does the participant ""Schedule"" act with volition?
Answer: ",Yes,No,"Answer this yes-no question about the following sentence.
Sentence: ""Bush did no such thing.""
Question: In the event ""did"", does the participant ""Bush"" act with volition?
Answer: Yes
Sentence: ""During his time in the Guard, George Bush flew the F - 102 Delta Dagger fighter - interceptor.""
Question: In the event ""flew"", does the participant ""Bush"" act with volition?
Answer: Yes
Sentence: ""The Commission's hearings begin tomorrow at 10 AM ( PST ).""
Question: In the event ""begin"", does the participant ""hearings"" act with volition?
Answer: Yes
Sentence: ""Attached are the draft Schedule to the ISDA Master Agreement, together with Paragraph 13 to the ISDA Credit Support Annex.""
Question: In the event ""Attached"", does the participant ""Schedule"" act with volition?
Answer: 

A:

The answer is yes.
The sentence is ambiguous.  The sentence is saying that Bush did not do the thing, but the sentence is also saying that Bush did not do the thing.  The sentence is saying that Bush did not do the thing, but the sentence is also saying that Bush did not do the thing.  The sentence is saying that Bush did not do the thing, but the sentence is also saying that Bush did not do the thing.  The sentence is saying that Bush did not do the thing, but the sentence is also saying that Bush did not do the thing.  The sentence is saying that Bush did not do the thing, but the sentence is also saying that Bush did not do the thing.  The sentence is saying that Bush did not do the thing, but the sentence is also saying that Bush did not do the thing.  The sentence is saying that Bush did not do the thing, but the sentence is also saying that Bush did",9.0
