,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt3,subject-control,the doctor,the lawyer,True,threatened,to come,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the lawyer to come.

Question: Who came?
Answer: ", '\n You  will'),0.0
1,gpt3,subject-control,the doctor,the lawyer,True,threatened,to go,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the lawyer to go.

Question: Who went?
Answer: ", '\n You  will'),1.0
2,gpt3,subject-control,the doctor,the lawyer,True,threatened,to read,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the lawyer to read.

Question: Who read?
Answer: ", '\n You  will'),2.0
3,gpt3,subject-control,the doctor,the lawyer,True,threatened,to run,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the lawyer to run.

Question: Who ran?
Answer: ", '\n You  will'),3.0
4,gpt3,subject-control,the doctor,the lawyer,True,threatened,to call,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the lawyer to call.

Question: Who called?
Answer: ", '\n You  will'),4.0
5,gpt3,subject-control,the doctor,the engineer,True,threatened,to come,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the engineer to come.

Question: Who came?
Answer: ", '\n You  will'),5.0
6,gpt3,subject-control,the doctor,the engineer,True,threatened,to go,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the engineer to go.

Question: Who went?
Answer: ", '\n You  will'),6.0
7,gpt3,subject-control,the doctor,the engineer,True,threatened,to read,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the engineer to read.

Question: Who read?
Answer: ", '\n You  will'),7.0
8,gpt3,subject-control,the doctor,the engineer,True,threatened,to run,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the engineer to run.

Question: Who ran?
Answer: ", 'The  doctor  ran'),8.0
9,gpt3,subject-control,the doctor,the engineer,True,threatened,to call,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the engineer to call.

Question: Who called?
Answer: ", '\n You  will'),9.0
10,gpt3,subject-control,the doctor,the writer,True,threatened,to come,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the writer to come.

Question: Who came?
Answer: ", '\n You  will'),10.0
11,gpt3,subject-control,the doctor,the writer,True,threatened,to go,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the writer to go.

Question: Who went?
Answer: ", '\n You  will'),11.0
12,gpt3,subject-control,the doctor,the writer,True,threatened,to read,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the writer to read.

Question: Who read?
Answer: ", '\n You  will'),12.0
13,gpt3,subject-control,the doctor,the writer,True,threatened,to run,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the writer to run.

Question: Who ran?
Answer: ", '\n You  will'),13.0
14,gpt3,subject-control,the doctor,the writer,True,threatened,to call,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the writer to call.

Question: Who called?
Answer: ", '\n You  will'),14.0
15,gpt3,subject-control,the doctor,the janitor,True,threatened,to come,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the janitor to come.

Question: Who came?
Answer: ", '\n You  will'),15.0
16,gpt3,subject-control,the doctor,the janitor,True,threatened,to go,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the janitor to go.

Question: Who went?
Answer: ", '\n You  will'),16.0
17,gpt3,subject-control,the doctor,the janitor,True,threatened,to read,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the janitor to read.

Question: Who read?
Answer: ", '\n You  will'),17.0
18,gpt3,subject-control,the doctor,the janitor,True,threatened,to run,the doctor,the doctor,"You will be given a context and a question.
Context: the doctor threatened the janitor to run.

Question: Who ran?
Answer: ", 'The  doctor  ran'),18.0
19,gpt3,subject-control,the doctor,the janitor,True,threatened,to call,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the janitor to call.

Question: Who called?
Answer: ", '\n You  will'),19.0
20,gpt3,subject-control,the doctor,the bartender,True,threatened,to come,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the bartender to come.

Question: Who came?
Answer: ", '\n You  will'),20.0
21,gpt3,subject-control,the doctor,the bartender,True,threatened,to go,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the bartender to go.

Question: Who went?
Answer: ", '\n You  will'),21.0
22,gpt3,subject-control,the doctor,the bartender,True,threatened,to read,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the bartender to read.

Question: Who read?
Answer: ", '\n You  will'),22.0
23,gpt3,subject-control,the doctor,the bartender,True,threatened,to run,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the bartender to run.

Question: Who ran?
Answer: ", '\n You  will'),23.0
