,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt_neo_2.7b,object-control,Avery,Casey,True,told,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to come.

Question: Who told someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who told someone to come?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who told someone to come?\nAnswer:  Avery.\n\nA:\n\nI think the answer is:\n\nAvery told Casey to come.\n\nThe answer is not:\n\nWho told someone to come?\n\nThe answer is:\n\nAvery told Casey to come.\n\nThe answer is not:\n\nWho told someone to come')",0.0
1,gpt_neo_2.7b,object-control,Avery,Casey,False,told,to come,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to come.

Question: Who told someone to come?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who told someone to come?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who told someone to come?\nAnswer:  Avery.\n\nA:\n\nI think the answer is:\n\nAvery told Casey to come.\n\nThe answer is not:\n\nWho told someone to come?\n\nThe answer is:\n\nAvery told Casey to come.\n\nThe answer is not:\n\nWho told someone to come')",1.0
2,gpt_neo_2.7b,object-control,Avery,Casey,True,told,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to go.

Question: Who told someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who told someone to go?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who told someone to go?\nAnswer:  Avery.\n\nA:\n\nI think the answer is:\n\nAvery told Casey to go.\n\nThe answer is not:\n\nWho told someone to go?\n\nThe answer is:\n\nAvery told Casey to go.\n\nThe answer is not:\n\nWho told someone to go')",2.0
3,gpt_neo_2.7b,object-control,Avery,Casey,False,told,to go,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to go.

Question: Who told someone to go?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who told someone to go?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who told someone to go?\nAnswer:  Avery.\n\nA:\n\nI think the answer is:\n\nAvery told Casey to go.\n\nThe answer is not:\n\nWho told someone to go?\n\nThe answer is:\n\nAvery told Casey to go.\n\nThe answer is not:\n\nWho told someone to go')",3.0
4,gpt_neo_2.7b,object-control,Avery,Casey,True,told,to read,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to read.

Question: Who told someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who told someone to read?\nAnswer:  Avery.\n\nContext: Avery told Casey to read.\n\nQuestion: Who told someone to read?\nAnswer:  Avery.\n\nContext: Avery told Casey to read.\n\nQuestion: Who told someone to read?\nAnswer:  Avery.\n\nContext: Avery told Casey to read.\n\nQuestion')",4.0
5,gpt_neo_2.7b,object-control,Avery,Casey,False,told,to read,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to read.

Question: Who told someone to read?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who told someone to read?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who told someone to read?\nAnswer:  Avery.\n\nContext: Avery told Casey to read.\n\nQuestion: Who told someone to read?\nAnswer:  Avery.\n\nContext: Avery told Casey to read.\n\nQuestion: Who told someone to read?\nAnswer:  Avery.\n\nContext: Avery told Casey to read.\n\nQuestion')",5.0
6,gpt_neo_2.7b,object-control,Avery,Casey,True,told,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to run.

Question: Who told someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who told someone to run?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who told someone to run?\nAnswer:  Avery.\n\nA:\n\nThe answer is:\n\nAvery told Casey to run.\n\nThe answer is a direct answer to the question.\n\nA:\n\nThe answer is:\n\nAvery told Casey to run.\n\nThe answer is a direct answer to the question.\n\nA')",6.0
7,gpt_neo_2.7b,object-control,Avery,Casey,False,told,to run,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to run.

Question: Who told someone to run?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who told someone to run?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who told someone to run?\nAnswer:  Avery.\n\nA:\n\nThe answer is:\n\nAvery told Casey to run.\n\nThe answer is a direct answer to the question.\n\nA:\n\nThe answer is:\n\nAvery told Casey to run.\n\nThe answer is a direct answer to the question.\n\nA')",7.0
8,gpt_neo_2.7b,object-control,Avery,Casey,True,told,to call,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to call.

Question: Who told someone to call?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who told someone to call?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who told someone to call?\nAnswer:  Avery.\n\nContext: Avery told Casey to call.\n\nQuestion: Who told someone to call?\nAnswer:  Avery.\n\nContext: Avery told Casey to call.\n\nQuestion: Who told someone to call?\nAnswer:  Avery.\n\nContext: Avery told Casey to call.\n\nQuestion')",8.0
9,gpt_neo_2.7b,object-control,Avery,Casey,False,told,to call,Casey,Avery,"You will be given a context and a question.
Context: Avery told Casey to call.

Question: Who told someone to call?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who told someone to call?\nAnswer: ', 'You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who told someone to call?\nAnswer:  Avery.\n\nContext: Avery told Casey to call.\n\nQuestion: Who told someone to call?\nAnswer:  Avery.\n\nContext: Avery told Casey to call.\n\nQuestion: Who told someone to call?\nAnswer:  Avery.\n\nContext: Avery told Casey to call.\n\nQuestion')",9.0
