,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,t0,object-control,Avery,Casey,True,told,to come,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who came?\nAnswer: ', {'Avery': array(-0.06366, dtype=float16), 'Casey': array(0.8296, dtype=float16)})"
1,t0,object-control,Avery,Casey,False,told,to come,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to come.\n\nQuestion: Who came?\nAnswer: ', {'Avery': array(-0.06366, dtype=float16), 'Casey': array(0.8296, dtype=float16)})"
2,t0,object-control,Avery,Casey,True,told,to go,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who went?\nAnswer: ', {'Avery': array(-0.4333, dtype=float16), 'Casey': array(0.7354, dtype=float16)})"
3,t0,object-control,Avery,Casey,False,told,to go,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to go.\n\nQuestion: Who went?\nAnswer: ', {'Avery': array(-0.4333, dtype=float16), 'Casey': array(0.7354, dtype=float16)})"
4,t0,object-control,Avery,Casey,True,told,to read,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who read?\nAnswer: ', {'Avery': array(-1.058, dtype=float16), 'Casey': array(0.653, dtype=float16)})"
5,t0,object-control,Avery,Casey,False,told,to read,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to read.\n\nQuestion: Who read?\nAnswer: ', {'Avery': array(-1.058, dtype=float16), 'Casey': array(0.653, dtype=float16)})"
6,t0,object-control,Avery,Casey,True,told,to run,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who ran?\nAnswer: ', {'Avery': array(-0.3047, dtype=float16), 'Casey': array(1.053, dtype=float16)})"
7,t0,object-control,Avery,Casey,False,told,to run,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to run.\n\nQuestion: Who ran?\nAnswer: ', {'Avery': array(-0.3047, dtype=float16), 'Casey': array(1.053, dtype=float16)})"
8,t0,object-control,Avery,Casey,True,told,to call,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who called?\nAnswer: ', {'Avery': array(-0.1913, dtype=float16), 'Casey': array(0.6304, dtype=float16)})"
9,t0,object-control,Avery,Casey,False,told,to call,Casey,Casey,"You will be given a context and a question.
Context: Avery told Casey to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: Avery told Casey to call.\n\nQuestion: Who called?\nAnswer: ', {'Avery': array(-0.1913, dtype=float16), 'Casey': array(0.6304, dtype=float16)})"
