,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,jurassic-large,object-control,Tom,Mary,True,told,to leave,Mary,Mary,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".
Context: Tom told Mary to leave.

Question:  Who left, Mary or Tom?
Answer: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".\nContext: Tom told Mary to leave.\n\nQuestion:  Who left, Mary or Tom?\nAnswer: ', ' Mary left')"
1,jurassic-large,object-control,Tom,Mary,False,told,to leave,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom told Mary to leave.

Question:  Who left, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom told Mary to leave.\n\nQuestion:  Who left, Tom or Mary?\nAnswer: ', ' Tom left')"
2,jurassic-large,object-control,Tom,Mary,True,told,to call home,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".
Context: Tom told Mary to call home.

Question:  Who called home, Mary or Tom?
Answer: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".\nContext: Tom told Mary to call home.\n\nQuestion:  Who called home, Mary or Tom?\nAnswer: ', ' Tom called')"
3,jurassic-large,object-control,Tom,Mary,False,told,to call home,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom told Mary to call home.

Question:  Who called home, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom told Mary to call home.\n\nQuestion:  Who called home, Tom or Mary?\nAnswer: ', ' Tom called')"
4,jurassic-large,object-control,Tom,Mary,True,told,to reply,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".
Context: Tom told Mary to reply.

Question:  Who replied, Mary or Tom?
Answer: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".\nContext: Tom told Mary to reply.\n\nQuestion:  Who replied, Mary or Tom?\nAnswer: ', ' Tom replied')"
5,jurassic-large,object-control,Tom,Mary,False,told,to reply,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom told Mary to reply.

Question:  Who replied, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom told Mary to reply.\n\nQuestion:  Who replied, Tom or Mary?\nAnswer: ', ' Tom replied')"
6,jurassic-large,object-control,Tom,Mary,True,told,to wipe the counter,Mary,Mary,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".
Context: Tom told Mary to wipe the counter.

Question:  Who wiped the counter, Mary or Tom?
Answer: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".\nContext: Tom told Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Mary or Tom?\nAnswer: ', ' Mary wiped')"
7,jurassic-large,object-control,Tom,Mary,False,told,to wipe the counter,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom told Mary to wipe the counter.

Question:  Who wiped the counter, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom told Mary to wipe the counter.\n\nQuestion:  Who wiped the counter, Tom or Mary?\nAnswer: ', ' Tom wiped')"
8,jurassic-large,object-control,Tom,Mary,True,told,to dance,Mary,Mary,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".
Context: Tom told Mary to dance.

Question:  Who danced, Mary or Tom?
Answer: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".\nContext: Tom told Mary to dance.\n\nQuestion:  Who danced, Mary or Tom?\nAnswer: ', ' Mary danced')"
9,jurassic-large,object-control,Tom,Mary,False,told,to dance,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom told Mary to dance.

Question:  Who danced, Tom or Mary?
Answer: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom told Mary to dance.\n\nQuestion:  Who danced, Tom or Mary?\nAnswer: ', ' Tom danced')"
