,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt_neo_1.3b,object-control-passive,the doctor,the lawyer,True,told,to come,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor was told by the lawyer to come.

Question:  Who came, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was told by the lawyer to come.\n\nQuestion:  Who came, the lawyer or the doctor?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was told by the lawyer to come.\n\nQuestion:  Who came, the lawyer or the doctor?\nAnswer:  The lawyer')",0.0
1,gpt_neo_1.3b,object-control-passive,the doctor,the lawyer,False,told,to come,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor was told by the lawyer to come.

Question:  Who came, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor was told by the lawyer to come.\n\nQuestion:  Who came, the doctor or the lawyer?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor was told by the lawyer to come.\n\nQuestion:  Who came, the doctor or the lawyer?\nAnswer:  The lawyer')",1.0
2,gpt_neo_1.3b,object-control-passive,the doctor,the lawyer,True,told,to go,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor was told by the lawyer to go.

Question:  Who went, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was told by the lawyer to go.\n\nQuestion:  Who went, the lawyer or the doctor?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was told by the lawyer to go.\n\nQuestion:  Who went, the lawyer or the doctor?\nAnswer:  The lawyer')",2.0
3,gpt_neo_1.3b,object-control-passive,the doctor,the lawyer,False,told,to go,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor was told by the lawyer to go.

Question:  Who went, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor was told by the lawyer to go.\n\nQuestion:  Who went, the doctor or the lawyer?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor was told by the lawyer to go.\n\nQuestion:  Who went, the doctor or the lawyer?\nAnswer:  The lawyer')",3.0
4,gpt_neo_1.3b,object-control-passive,the doctor,the lawyer,True,told,to read,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor was told by the lawyer to read.

Question:  Who read, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was told by the lawyer to read.\n\nQuestion:  Who read, the lawyer or the doctor?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was told by the lawyer to read.\n\nQuestion:  Who read, the lawyer or the doctor?\nAnswer:  The lawyer')",4.0
5,gpt_neo_1.3b,object-control-passive,the doctor,the lawyer,False,told,to read,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor was told by the lawyer to read.

Question:  Who read, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor was told by the lawyer to read.\n\nQuestion:  Who read, the doctor or the lawyer?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor was told by the lawyer to read.\n\nQuestion:  Who read, the doctor or the lawyer?\nAnswer:  The lawyer')",5.0
6,gpt_neo_1.3b,object-control-passive,the doctor,the lawyer,True,told,to run,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor was told by the lawyer to run.

Question:  Who ran, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was told by the lawyer to run.\n\nQuestion:  Who ran, the lawyer or the doctor?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was told by the lawyer to run.\n\nQuestion:  Who ran, the lawyer or the doctor?\nAnswer:  The lawyer')",6.0
7,gpt_neo_1.3b,object-control-passive,the doctor,the lawyer,False,told,to run,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor was told by the lawyer to run.

Question:  Who ran, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor was told by the lawyer to run.\n\nQuestion:  Who ran, the doctor or the lawyer?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor was told by the lawyer to run.\n\nQuestion:  Who ran, the doctor or the lawyer?\nAnswer:  The lawyer')",7.0
8,gpt_neo_1.3b,object-control-passive,the doctor,the lawyer,True,told,to call,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor was told by the lawyer to call.

Question:  Who called, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was told by the lawyer to call.\n\nQuestion:  Who called, the lawyer or the doctor?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was told by the lawyer to call.\n\nQuestion:  Who called, the lawyer or the doctor?\nAnswer:  The lawyer')",8.0
9,gpt_neo_1.3b,object-control-passive,the doctor,the lawyer,False,told,to call,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor was told by the lawyer to call.

Question:  Who called, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor was told by the lawyer to call.\n\nQuestion:  Who called, the doctor or the lawyer?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor was told by the lawyer to call.\n\nQuestion:  Who called, the doctor or the lawyer?\nAnswer:  The lawyer')",9.0
10,gpt_neo_1.3b,object-control-passive,the doctor,the lawyer,True,ordered,to come,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor was ordered by the lawyer to come.

Question:  Who came, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was ordered by the lawyer to come.\n\nQuestion:  Who came, the lawyer or the doctor?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was ordered by the lawyer to come.\n\nQuestion:  Who came, the lawyer or the doctor?\nAnswer:  The lawyer')",10.0
11,gpt_neo_1.3b,object-control-passive,the doctor,the lawyer,False,ordered,to come,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor was ordered by the lawyer to come.

Question:  Who came, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor was ordered by the lawyer to come.\n\nQuestion:  Who came, the doctor or the lawyer?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor was ordered by the lawyer to come.\n\nQuestion:  Who came, the doctor or the lawyer?\nAnswer:  The lawyer')",11.0
12,gpt_neo_1.3b,object-control-passive,the doctor,the lawyer,True,ordered,to go,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor was ordered by the lawyer to go.

Question:  Who went, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was ordered by the lawyer to go.\n\nQuestion:  Who went, the lawyer or the doctor?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was ordered by the lawyer to go.\n\nQuestion:  Who went, the lawyer or the doctor?\nAnswer:  The lawyer')",12.0
13,gpt_neo_1.3b,object-control-passive,the doctor,the lawyer,False,ordered,to go,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".
Context: the doctor was ordered by the lawyer to go.

Question:  Who went, the doctor or the lawyer?
Answer: ","('You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor was ordered by the lawyer to go.\n\nQuestion:  Who went, the doctor or the lawyer?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""the doctor"" or ""the lawyer"".\nContext: the doctor was ordered by the lawyer to go.\n\nQuestion:  Who went, the doctor or the lawyer?\nAnswer:  The lawyer')",13.0
14,gpt_neo_1.3b,object-control-passive,the doctor,the lawyer,True,ordered,to read,the doctor,the lawyer,"You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".
Context: the doctor was ordered by the lawyer to read.

Question:  Who read, the lawyer or the doctor?
Answer: ","('You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was ordered by the lawyer to read.\n\nQuestion:  Who read, the lawyer or the doctor?\nAnswer: ', 'You will be given a context and a question. Answer the question with either ""the lawyer"" or ""the doctor"".\nContext: the doctor was ordered by the lawyer to read.\n\nQuestion:  Who read, the lawyer or the doctor?\nAnswer:  The lawyer')",14.0
