,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,jurassic-jumbo,subject-control,the doctor,the lawyer,True,threatened,to come,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the lawyer to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the lawyer to come.\n\nQuestion: Who came?\nAnswer: ', '(a')"
1,jurassic-jumbo,subject-control,the doctor,the lawyer,True,threatened,to go,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the lawyer to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the lawyer to go.\n\nQuestion: Who went?\nAnswer: ', '(a')"
2,jurassic-jumbo,subject-control,the doctor,the lawyer,True,threatened,to read,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the lawyer to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the lawyer to read.\n\nQuestion: Who read?\nAnswer: ', '(a')"
3,jurassic-jumbo,subject-control,the doctor,the lawyer,True,threatened,to run,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the lawyer to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the lawyer to run.\n\nQuestion: Who ran?\nAnswer: ', '(a')"
4,jurassic-jumbo,subject-control,the doctor,the lawyer,True,threatened,to call,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the lawyer to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the lawyer to call.\n\nQuestion: Who called?\nAnswer: ', '(a')"
5,jurassic-jumbo,subject-control,the doctor,the engineer,True,threatened,to come,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the engineer to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the engineer to come.\n\nQuestion: Who came?\nAnswer: ', '(a')"
6,jurassic-jumbo,subject-control,the doctor,the engineer,True,threatened,to go,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the engineer to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the engineer to go.\n\nQuestion: Who went?\nAnswer: ', '(A')"
7,jurassic-jumbo,subject-control,the doctor,the engineer,True,threatened,to read,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the engineer to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the engineer to read.\n\nQuestion: Who read?\nAnswer: ', '(a')"
8,jurassic-jumbo,subject-control,the doctor,the engineer,True,threatened,to run,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the engineer to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the engineer to run.\n\nQuestion: Who ran?\nAnswer: ', '(a')"
9,jurassic-jumbo,subject-control,the doctor,the engineer,True,threatened,to call,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the engineer to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the engineer to call.\n\nQuestion: Who called?\nAnswer: ', '(A')"
10,jurassic-jumbo,subject-control,the doctor,the writer,True,threatened,to come,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the writer to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the writer to come.\n\nQuestion: Who came?\nAnswer: ', '(a')"
11,jurassic-jumbo,subject-control,the doctor,the writer,True,threatened,to go,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the writer to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the writer to go.\n\nQuestion: Who went?\nAnswer: ', '(a')"
12,jurassic-jumbo,subject-control,the doctor,the writer,True,threatened,to read,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the writer to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the writer to read.\n\nQuestion: Who read?\nAnswer: ', '(a')"
13,jurassic-jumbo,subject-control,the doctor,the writer,True,threatened,to run,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the writer to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the writer to run.\n\nQuestion: Who ran?\nAnswer: ', '(a')"
14,jurassic-jumbo,subject-control,the doctor,the writer,True,threatened,to call,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the writer to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the writer to call.\n\nQuestion: Who called?\nAnswer: ', '(a')"
15,jurassic-jumbo,subject-control,the doctor,the janitor,True,threatened,to come,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the janitor to come.

Question: Who came?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the janitor to come.\n\nQuestion: Who came?\nAnswer: ', '(the')"
16,jurassic-jumbo,subject-control,the doctor,the janitor,True,threatened,to go,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the janitor to go.

Question: Who went?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the janitor to go.\n\nQuestion: Who went?\nAnswer: ', '(the')"
17,jurassic-jumbo,subject-control,the doctor,the janitor,True,threatened,to read,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the janitor to read.

Question: Who read?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the janitor to read.\n\nQuestion: Who read?\nAnswer: ', '(the')"
18,jurassic-jumbo,subject-control,the doctor,the janitor,True,threatened,to run,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the janitor to run.

Question: Who ran?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the janitor to run.\n\nQuestion: Who ran?\nAnswer: ', '(the')"
19,jurassic-jumbo,subject-control,the doctor,the janitor,True,threatened,to call,the doctor,other,"You will be given a context and a question.
Context: the doctor threatened the janitor to call.

Question: Who called?
Answer: ","('You will be given a context and a question.\nContext: the doctor threatened the janitor to call.\n\nQuestion: Who called?\nAnswer: ', '(the')"
