,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was told by Casey to come.

Question:  Who came, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to come.\n\nQuestion:  Who came, Casey or Avery?\nAnswer:  Avery came.\n\nA')",0.0
1,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to come.

Question:  Who came, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to come.\n\nQuestion:  Who came, Avery or Casey?\nAnswer:  Avery came.\n\nA')",1.0
2,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to go,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was told by Casey to go.

Question:  Who went, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to go.\n\nQuestion:  Who went, Casey or Avery?\nAnswer:  Avery went.\n\nA')",2.0
3,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to go,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to go.

Question:  Who went, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to go.\n\nQuestion:  Who went, Avery or Casey?\nAnswer:  Avery.\n\nA:')",3.0
4,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to read,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was told by Casey to read.

Question:  Who read, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to read.\n\nQuestion:  Who read, Casey or Avery?\nAnswer:  Avery.\n\nA:')",4.0
5,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to read,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to read.

Question:  Who read, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to read.\n\nQuestion:  Who read, Avery or Casey?\nAnswer:  Avery.\n\nA:')",5.0
6,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to run,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was told by Casey to run.

Question:  Who ran, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to run.\n\nQuestion:  Who ran, Casey or Avery?\nAnswer:  Avery.\n\nA:')",6.0
7,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to run,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to run.

Question:  Who ran, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to run.\n\nQuestion:  Who ran, Avery or Casey?\nAnswer:  Avery.\n\nA:')",7.0
8,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,told,to call,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was told by Casey to call.

Question:  Who called, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was told by Casey to call.\n\nQuestion:  Who called, Casey or Avery?\nAnswer:  Avery called.\n\nA')",8.0
9,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,told,to call,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was told by Casey to call.

Question:  Who called, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was told by Casey to call.\n\nQuestion:  Who called, Avery or Casey?\nAnswer:  Avery.\n\nA:')",9.0
10,gpt_neo_1.3b,object-control-passive,Avery,Casey,True,ordered,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".
Context: Avery was ordered by Casey to come.

Question:  Who came, Casey or Avery?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Casey"" or ""Avery"".\nContext: Avery was ordered by Casey to come.\n\nQuestion:  Who came, Casey or Avery?\nAnswer:  Avery came.\n\nA')",10.0
11,gpt_neo_1.3b,object-control-passive,Avery,Casey,False,ordered,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery was ordered by Casey to come.

Question:  Who came, Avery or Casey?
Answer: "," 'You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery was ordered by Casey to come.\n\nQuestion:  Who came, Avery or Casey?\nAnswer:  Avery came.\n\nA')",11.0
