,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,jurassic-large,object-control,Tom,Mary,True,told,to leave,Mary,Mary,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".
Context: Tom told Mary to leave.

Q:  Who left, Mary or Tom?
A: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".\nContext: Tom told Mary to leave.\n\nQ:  Who left, Mary or Tom?\nA: ', ' Mary left')"
1,jurassic-large,object-control,Tom,Mary,False,told,to leave,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom told Mary to leave.

Q:  Who left, Tom or Mary?
A: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom told Mary to leave.\n\nQ:  Who left, Tom or Mary?\nA: ', ' Tom left')"
2,jurassic-large,object-control,Tom,Mary,True,told,to call home,Mary,Mary,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".
Context: Tom told Mary to call home.

Q:  Who called home, Mary or Tom?
A: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".\nContext: Tom told Mary to call home.\n\nQ:  Who called home, Mary or Tom?\nA: ', ' Mary called')"
3,jurassic-large,object-control,Tom,Mary,False,told,to call home,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom told Mary to call home.

Q:  Who called home, Tom or Mary?
A: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom told Mary to call home.\n\nQ:  Who called home, Tom or Mary?\nA: ', ' Tom\n')"
4,jurassic-large,object-control,Tom,Mary,True,told,to reply,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".
Context: Tom told Mary to reply.

Q:  Who replied, Mary or Tom?
A: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".\nContext: Tom told Mary to reply.\n\nQ:  Who replied, Mary or Tom?\nA: ', ' Tom replied')"
5,jurassic-large,object-control,Tom,Mary,False,told,to reply,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom told Mary to reply.

Q:  Who replied, Tom or Mary?
A: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom told Mary to reply.\n\nQ:  Who replied, Tom or Mary?\nA: ', ' Tom replied')"
6,jurassic-large,object-control,Tom,Mary,True,told,to wipe the counter,Mary,Mary,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".
Context: Tom told Mary to wipe the counter.

Q:  Who wiped the counter, Mary or Tom?
A: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".\nContext: Tom told Mary to wipe the counter.\n\nQ:  Who wiped the counter, Mary or Tom?\nA: ', ' Mary wiped')"
7,jurassic-large,object-control,Tom,Mary,False,told,to wipe the counter,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom told Mary to wipe the counter.

Q:  Who wiped the counter, Tom or Mary?
A: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom told Mary to wipe the counter.\n\nQ:  Who wiped the counter, Tom or Mary?\nA: ', ' Tom wiped')"
8,jurassic-large,object-control,Tom,Mary,True,told,to dance,Mary,Mary,"You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".
Context: Tom told Mary to dance.

Q:  Who danced, Mary or Tom?
A: ","('You will be given a context and a question. Answer the question with either ""Mary"" or ""Tom"".\nContext: Tom told Mary to dance.\n\nQ:  Who danced, Mary or Tom?\nA: ', ' Mary danced')"
9,jurassic-large,object-control,Tom,Mary,False,told,to dance,Mary,Tom,"You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".
Context: Tom told Mary to dance.

Q:  Who danced, Tom or Mary?
A: ","('You will be given a context and a question. Answer the question with either ""Tom"" or ""Mary"".\nContext: Tom told Mary to dance.\n\nQ:  Who danced, Tom or Mary?\nA: ', ' Tom danced')"
