,model,exp_type,prompt,pred,true,response
0,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""'' President Musharraf promised to help us and cooperate with us on curbing terrorist activity by the Taliban , '' says Karzai .""
Question: In the event ""curbing"", does the participant ""activity"" act with volition?
Answer: ",other,No,
1,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""The mysterious RAPHAEL Holinshed was named for the mysterious Neoplatonic Italian painter RAPHAEL Sanzio who painted _ St. George Fighting the Dragon _ ( 1504 - 06 )""
Question: In the event ""named"", does the participant ""Holinshed"" act with volition?
Answer: ",other,No,
2,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: """" Should the Arctic Ocean become ice - free in summer , it is likely that polar bears and some seal species would be driven toward extinction , "" the report concluded .""
Question: In the event ""driven"", does the participant ""bears"" act with volition?
Answer: ",other,No,
3,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""They were from all accounts marginalized and not listened to .""
Question: In the event ""marginalized"", does the participant ""They"" act with volition?
Answer: ",other,No,
4,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""NASA has some PR hurdles to overcome in the future .""
Question: In the event ""has"", does the participant ""hurdles"" act with volition?
Answer: ",other,No,
5,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""And they deliver !""
Question: In the event ""deliver"", does the participant ""they"" act with volition?
Answer: ",other,Yes,
6,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Denial of the status of marriage to those who would freely accept its responsibilities creates legal and economic inequities and social injustice .""
Question: In the event ""creates"", does the participant ""inequities"" act with volition?
Answer: ",other,No,
7,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""Either I suck at my own style or Janice is a genius .""
Question: In the event ""suck"", does the participant ""I"" act with volition?
Answer: ",other,No,
8,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""I thought the UK was completely devoid of good NYC style pizza .""
Question: In the event ""thought"", does the participant ""I"" act with volition?
Answer: ",other,Yes,
9,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""But if -- there 's a painting on the wall in the Oval Office that shows a horseman charging up a steep cliff , and there are at least two other horsemen following .""
Question: In the event ""shows"", does the participant ""horseman"" act with volition?
Answer: ",other,No,
10,gpt-3,volition,"Answer this yes-no question about the following sentence.
Sentence: ""There is a painting on my wall in the Oval -- first of all , I do n't know .""
Question: In the event ""is"", does the participant ""painting"" act with volition?
Answer: ",other,No,
