,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,t5,object-control,Tom,Mary,False,told,to leave,Mary,Mary,question: Who left? context: Tom told Mary to leave. </s>,"('question: Who left? context: Tom told Mary to leave. </s>', 'Mary')"
1,t5,object-control,Tom,Mary,False,told,to call home,Mary,Mary,question: Who called home? context: Tom told Mary to call home. </s>,"('question: Who called home? context: Tom told Mary to call home. </s>', 'Mary')"
2,t5,object-control,Tom,Mary,False,told,to reply,Mary,Mary,question: Who replied? context: Tom told Mary to reply. </s>,"('question: Who replied? context: Tom told Mary to reply. </s>', 'Mary')"
3,t5,object-control,Tom,Mary,False,told,to wipe the counter,Mary,Mary,question: Who wiped the counter? context: Tom told Mary to wipe the counter. </s>,"('question: Who wiped the counter? context: Tom told Mary to wipe the counter. </s>', 'Mary')"
4,t5,object-control,Tom,Mary,False,told,to dance,Mary,Mary,question: Who danced? context: Tom told Mary to dance. </s>,"('question: Who danced? context: Tom told Mary to dance. </s>', 'Mary')"
5,t5,object-control,Tom,Mary,False,ordered,to leave,Mary,Mary,question: Who left? context: Tom ordered Mary to leave. </s>,"('question: Who left? context: Tom ordered Mary to leave. </s>', 'Mary')"
6,t5,object-control,Tom,Mary,False,ordered,to call home,Mary,Mary,question: Who called home? context: Tom ordered Mary to call home. </s>,"('question: Who called home? context: Tom ordered Mary to call home. </s>', 'Mary')"
7,t5,object-control,Tom,Mary,False,ordered,to reply,Mary,Mary,question: Who replied? context: Tom ordered Mary to reply. </s>,"('question: Who replied? context: Tom ordered Mary to reply. </s>', 'Mary')"
8,t5,object-control,Tom,Mary,False,ordered,to wipe the counter,Mary,Mary,question: Who wiped the counter? context: Tom ordered Mary to wipe the counter. </s>,"('question: Who wiped the counter? context: Tom ordered Mary to wipe the counter. </s>', 'Mary')"
9,t5,object-control,Tom,Mary,False,ordered,to dance,Mary,Mary,question: Who danced? context: Tom ordered Mary to dance. </s>,"('question: Who danced? context: Tom ordered Mary to dance. </s>', 'Mary')"
10,t5,object-control,Tom,Mary,False,called upon,to leave,Mary,Mary,question: Who left? context: Tom called upon Mary to leave. </s>,"('question: Who left? context: Tom called upon Mary to leave. </s>', 'Mary')"
11,t5,object-control,Tom,Mary,False,called upon,to call home,Mary,Mary,question: Who called home? context: Tom called upon Mary to call home. </s>,"('question: Who called home? context: Tom called upon Mary to call home. </s>', 'Mary')"
12,t5,object-control,Tom,Mary,False,called upon,to reply,Mary,Mary,question: Who replied? context: Tom called upon Mary to reply. </s>,"('question: Who replied? context: Tom called upon Mary to reply. </s>', 'Mary')"
13,t5,object-control,Tom,Mary,False,called upon,to wipe the counter,Mary,Mary,question: Who wiped the counter? context: Tom called upon Mary to wipe the counter. </s>,"('question: Who wiped the counter? context: Tom called upon Mary to wipe the counter. </s>', 'Mary')"
14,t5,object-control,Tom,Mary,False,called upon,to dance,Mary,Mary,question: Who danced? context: Tom called upon Mary to dance. </s>,"('question: Who danced? context: Tom called upon Mary to dance. </s>', 'Mary')"
15,t5,object-control,Tom,Mary,False,reminded,to leave,Mary,Mary,question: Who left? context: Tom reminded Mary to leave. </s>,"('question: Who left? context: Tom reminded Mary to leave. </s>', 'Mary')"
16,t5,object-control,Tom,Mary,False,reminded,to call home,Mary,Mary,question: Who called home? context: Tom reminded Mary to call home. </s>,"('question: Who called home? context: Tom reminded Mary to call home. </s>', 'Mary')"
17,t5,object-control,Tom,Mary,False,reminded,to reply,Mary,Mary,question: Who replied? context: Tom reminded Mary to reply. </s>,"('question: Who replied? context: Tom reminded Mary to reply. </s>', 'Mary')"
18,t5,object-control,Tom,Mary,False,reminded,to wipe the counter,Mary,Mary,question: Who wiped the counter? context: Tom reminded Mary to wipe the counter. </s>,"('question: Who wiped the counter? context: Tom reminded Mary to wipe the counter. </s>', 'Mary')"
19,t5,object-control,Tom,Mary,False,reminded,to dance,Mary,Mary,question: Who danced? context: Tom reminded Mary to dance. </s>,"('question: Who danced? context: Tom reminded Mary to dance. </s>', 'Mary')"
20,t5,object-control,Tom,Mary,False,urged,to leave,Mary,Mary,question: Who left? context: Tom urged Mary to leave. </s>,"('question: Who left? context: Tom urged Mary to leave. </s>', 'Mary')"
21,t5,object-control,Tom,Mary,False,urged,to call home,Mary,Mary,question: Who called home? context: Tom urged Mary to call home. </s>,"('question: Who called home? context: Tom urged Mary to call home. </s>', 'Mary')"
22,t5,object-control,Tom,Mary,False,urged,to reply,Mary,Mary,question: Who replied? context: Tom urged Mary to reply. </s>,"('question: Who replied? context: Tom urged Mary to reply. </s>', 'Mary')"
23,t5,object-control,Tom,Mary,False,urged,to wipe the counter,Mary,Mary,question: Who wiped the counter? context: Tom urged Mary to wipe the counter. </s>,"('question: Who wiped the counter? context: Tom urged Mary to wipe the counter. </s>', 'Mary')"
24,t5,object-control,Tom,Mary,False,urged,to dance,Mary,Mary,question: Who danced? context: Tom urged Mary to dance. </s>,"('question: Who danced? context: Tom urged Mary to dance. </s>', 'Mary')"
25,t5,object-control,Tom,Mary,False,asked,to leave,Mary,Mary,question: Who left? context: Tom asked Mary to leave. </s>,"('question: Who left? context: Tom asked Mary to leave. </s>', 'Mary')"
26,t5,object-control,Tom,Mary,False,asked,to call home,Mary,Mary,question: Who called home? context: Tom asked Mary to call home. </s>,"('question: Who called home? context: Tom asked Mary to call home. </s>', 'Mary')"
27,t5,object-control,Tom,Mary,False,asked,to reply,Mary,Mary,question: Who replied? context: Tom asked Mary to reply. </s>,"('question: Who replied? context: Tom asked Mary to reply. </s>', 'Mary')"
28,t5,object-control,Tom,Mary,False,asked,to wipe the counter,Mary,Mary,question: Who wiped the counter? context: Tom asked Mary to wipe the counter. </s>,"('question: Who wiped the counter? context: Tom asked Mary to wipe the counter. </s>', 'Mary')"
29,t5,object-control,Tom,Mary,False,asked,to dance,Mary,Mary,question: Who danced? context: Tom asked Mary to dance. </s>,"('question: Who danced? context: Tom asked Mary to dance. </s>', 'Mary')"
30,t5,object-control,Tom,Mary,False,persuaded,to leave,Mary,Mary,question: Who left? context: Tom persuaded Mary to leave. </s>,"('question: Who left? context: Tom persuaded Mary to leave. </s>', 'Mary')"
31,t5,object-control,Tom,Mary,False,persuaded,to call home,Mary,Mary,question: Who called home? context: Tom persuaded Mary to call home. </s>,"('question: Who called home? context: Tom persuaded Mary to call home. </s>', 'Mary')"
32,t5,object-control,Tom,Mary,False,persuaded,to reply,Mary,Mary,question: Who replied? context: Tom persuaded Mary to reply. </s>,"('question: Who replied? context: Tom persuaded Mary to reply. </s>', 'Mary')"
33,t5,object-control,Tom,Mary,False,persuaded,to wipe the counter,Mary,Mary,question: Who wiped the counter? context: Tom persuaded Mary to wipe the counter. </s>,"('question: Who wiped the counter? context: Tom persuaded Mary to wipe the counter. </s>', 'Mary')"
34,t5,object-control,Tom,Mary,False,persuaded,to dance,Mary,Mary,question: Who danced? context: Tom persuaded Mary to dance. </s>,"('question: Who danced? context: Tom persuaded Mary to dance. </s>', 'Mary')"
35,t5,object-control,Tom,Mary,False,convinced,to leave,Mary,Mary,question: Who left? context: Tom convinced Mary to leave. </s>,"('question: Who left? context: Tom convinced Mary to leave. </s>', 'Mary')"
36,t5,object-control,Tom,Mary,False,convinced,to call home,Mary,Mary,question: Who called home? context: Tom convinced Mary to call home. </s>,"('question: Who called home? context: Tom convinced Mary to call home. </s>', 'Mary')"
37,t5,object-control,Tom,Mary,False,convinced,to reply,Mary,Mary,question: Who replied? context: Tom convinced Mary to reply. </s>,"('question: Who replied? context: Tom convinced Mary to reply. </s>', 'Mary')"
38,t5,object-control,Tom,Mary,False,convinced,to wipe the counter,Mary,Mary,question: Who wiped the counter? context: Tom convinced Mary to wipe the counter. </s>,"('question: Who wiped the counter? context: Tom convinced Mary to wipe the counter. </s>', 'Mary')"
39,t5,object-control,Tom,Mary,False,convinced,to dance,Mary,Mary,question: Who danced? context: Tom convinced Mary to dance. </s>,"('question: Who danced? context: Tom convinced Mary to dance. </s>', 'Mary')"
40,t5,object-control,Tom,Mary,False,forced,to leave,Mary,Mary,question: Who left? context: Tom forced Mary to leave. </s>,"('question: Who left? context: Tom forced Mary to leave. </s>', 'Mary')"
