,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,t5,subject-control,Avery,Casey,True,threatened,to come,Avery,Casey,question: Who came? context: Avery threatened Casey to come. </s>,Casey,0.0
1,t5,subject-control,Avery,Casey,False,threatened,to come,Avery,Casey,question: Who came? context: Avery threatened Casey to come. </s>,Casey,1.0
2,t5,subject-control,Avery,Casey,True,threatened,to go,Avery,Casey,question: Who went? context: Avery threatened Casey to go. </s>,Casey,2.0
3,t5,subject-control,Avery,Casey,False,threatened,to go,Avery,Casey,question: Who went? context: Avery threatened Casey to go. </s>,Casey,3.0
4,t5,subject-control,Avery,Casey,True,threatened,to read,Avery,Casey,question: Who read? context: Avery threatened Casey to read. </s>,Casey,4.0
5,t5,subject-control,Avery,Casey,False,threatened,to read,Avery,Casey,question: Who read? context: Avery threatened Casey to read. </s>,Casey,5.0
6,t5,subject-control,Avery,Casey,True,threatened,to run,Avery,Casey,question: Who ran? context: Avery threatened Casey to run. </s>,Casey,6.0
7,t5,subject-control,Avery,Casey,False,threatened,to run,Avery,Casey,question: Who ran? context: Avery threatened Casey to run. </s>,Casey,7.0
8,t5,subject-control,Avery,Casey,True,threatened,to call,Avery,Casey,question: Who called? context: Avery threatened Casey to call. </s>,Casey,8.0
9,t5,subject-control,Avery,Casey,False,threatened,to call,Avery,Casey,question: Who called? context: Avery threatened Casey to call. </s>,Casey,9.0
10,t5,subject-control,Avery,Joseph,True,threatened,to come,Avery,Joseph,question: Who came? context: Avery threatened Joseph to come. </s>,Joseph,20.0
11,t5,subject-control,Avery,Joseph,False,threatened,to come,Avery,Joseph,question: Who came? context: Avery threatened Joseph to come. </s>,Joseph,21.0
12,t5,subject-control,Avery,Joseph,True,threatened,to go,Avery,Joseph,question: Who went? context: Avery threatened Joseph to go. </s>,Joseph,22.0
13,t5,subject-control,Avery,Joseph,False,threatened,to go,Avery,Joseph,question: Who went? context: Avery threatened Joseph to go. </s>,Joseph,23.0
14,t5,subject-control,Avery,Joseph,True,threatened,to read,Avery,Joseph,question: Who read? context: Avery threatened Joseph to read. </s>,Joseph,24.0
15,t5,subject-control,Avery,Joseph,False,threatened,to read,Avery,Joseph,question: Who read? context: Avery threatened Joseph to read. </s>,Joseph,25.0
16,t5,subject-control,Avery,Joseph,True,threatened,to run,Avery,Joseph,question: Who ran? context: Avery threatened Joseph to run. </s>,Joseph,26.0
17,t5,subject-control,Avery,Joseph,False,threatened,to run,Avery,Joseph,question: Who ran? context: Avery threatened Joseph to run. </s>,Joseph,27.0
18,t5,subject-control,Avery,Joseph,True,threatened,to call,Avery,Joseph,question: Who called? context: Avery threatened Joseph to call. </s>,Joseph,28.0
19,t5,subject-control,Avery,Joseph,False,threatened,to call,Avery,Joseph,question: Who called? context: Avery threatened Joseph to call. </s>,Joseph,29.0
20,t5,subject-control,Avery,Nicole,True,threatened,to come,Avery,Nicole,question: Who came? context: Avery threatened Nicole to come. </s>,Nicole,40.0
21,t5,subject-control,Avery,Nicole,False,threatened,to come,Avery,Nicole,question: Who came? context: Avery threatened Nicole to come. </s>,Nicole,41.0
22,t5,subject-control,Avery,Nicole,True,threatened,to go,Avery,Nicole,question: Who went? context: Avery threatened Nicole to go. </s>,Nicole,42.0
23,t5,subject-control,Avery,Nicole,False,threatened,to go,Avery,Nicole,question: Who went? context: Avery threatened Nicole to go. </s>,Nicole,43.0
24,t5,subject-control,Avery,Nicole,True,threatened,to read,Avery,Nicole,question: Who read? context: Avery threatened Nicole to read. </s>,Nicole,44.0
25,t5,subject-control,Avery,Nicole,False,threatened,to read,Avery,Nicole,question: Who read? context: Avery threatened Nicole to read. </s>,Nicole,45.0
26,t5,subject-control,Avery,Nicole,True,threatened,to run,Avery,Nicole,question: Who ran? context: Avery threatened Nicole to run. </s>,Nicole,46.0
27,t5,subject-control,Avery,Nicole,False,threatened,to run,Avery,Nicole,question: Who ran? context: Avery threatened Nicole to run. </s>,Nicole,47.0
28,t5,subject-control,Avery,Nicole,True,threatened,to call,Avery,Nicole,question: Who called? context: Avery threatened Nicole to call. </s>,Nicole,48.0
29,t5,subject-control,Avery,Nicole,False,threatened,to call,Avery,Nicole,question: Who called? context: Avery threatened Nicole to call. </s>,Nicole,49.0
30,t5,subject-control,Avery,Stephanie,True,threatened,to come,Avery,Stephanie,question: Who came? context: Avery threatened Stephanie to come. </s>,Stephanie,60.0
