,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response
0,t5-3b,subject-control,Avery,Casey,False,promised,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery promised Casey to come.

Question:  Who came, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery promised Casey to come.\n\nQuestion:  Who came, Avery or Casey?\nAnswer: ', '. Context: Avery promised Casey to come.')"
1,t5-3b,subject-control,Avery,Casey,False,promised,to go,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery promised Casey to go.

Question:  Who went, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery promised Casey to go.\n\nQuestion:  Who went, Avery or Casey?\nAnswer: ', '. Context: Avery promised Casey to go.')"
2,t5-3b,subject-control,Avery,Casey,False,promised,to read,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery promised Casey to read.

Question:  Who read, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery promised Casey to read.\n\nQuestion:  Who read, Avery or Casey?\nAnswer: ', '"" "" Context: Avery promised Case')"
3,t5-3b,subject-control,Avery,Casey,False,promised,to run,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery promised Casey to run.

Question:  Who ran, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery promised Casey to run.\n\nQuestion:  Who ran, Avery or Casey?\nAnswer: ', ',   Context: Avery promised Casey to run. Question')"
4,t5-3b,subject-control,Avery,Casey,False,promised,to call,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".
Context: Avery promised Casey to call.

Question:  Who called, Avery or Casey?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Casey"".\nContext: Avery promised Casey to call.\n\nQuestion:  Who called, Avery or Casey?\nAnswer: ', ',  Context: Avery promised Casey to call. Context:')"
5,t5-3b,subject-control,Avery,Joseph,False,promised,to come,Avery,Avery,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery promised Joseph to come.

Question:  Who came, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery promised Joseph to come.\n\nQuestion:  Who came, Avery or Joseph?\nAnswer: ', '.. Context: Avery promised Joseph to come. Question:')"
6,t5-3b,subject-control,Avery,Joseph,False,promised,to go,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery promised Joseph to go.

Question:  Who went, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery promised Joseph to go.\n\nQuestion:  Who went, Avery or Joseph?\nAnswer: ', ',, Avery"" or ""Joseph""')"
7,t5-3b,subject-control,Avery,Joseph,False,promised,to read,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery promised Joseph to read.

Question:  Who read, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery promised Joseph to read.\n\nQuestion:  Who read, Avery or Joseph?\nAnswer: ', '""     ')"
8,t5-3b,subject-control,Avery,Joseph,False,promised,to run,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery promised Joseph to run.

Question:  Who ran, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery promised Joseph to run.\n\nQuestion:  Who ran, Avery or Joseph?\nAnswer: ', ', .., ')"
9,t5-3b,subject-control,Avery,Joseph,False,promised,to call,Avery,other,"You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".
Context: Avery promised Joseph to call.

Question:  Who called, Avery or Joseph?
Answer: ","('You will be given a context and a question. Answer the question with either ""Avery"" or ""Joseph"".\nContext: Avery promised Joseph to call.\n\nQuestion:  Who called, Avery or Joseph?\nAnswer: ', ',     , ')"
