,model,exp_type,name1,name2,swap_names,verb,action,true,pred,prompt,response,Unnamed: 0
0,t0,subject-control,Avery,Casey,True,threatened,to come,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to come.

Question: Who came?
Answer: ", 'Casey'),0.0
1,t0,subject-control,Avery,Casey,False,threatened,to come,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to come.

Question: Who came?
Answer: ", 'Casey'),1.0
2,t0,subject-control,Avery,Casey,True,threatened,to go,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to go.

Question: Who went?
Answer: ", 'Casey'),2.0
3,t0,subject-control,Avery,Casey,False,threatened,to go,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to go.

Question: Who went?
Answer: ", 'Casey'),3.0
4,t0,subject-control,Avery,Casey,True,threatened,to read,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to read.

Question: Who read?
Answer: ", 'Casey'),4.0
5,t0,subject-control,Avery,Casey,False,threatened,to read,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to read.

Question: Who read?
Answer: ", 'Casey'),5.0
6,t0,subject-control,Avery,Casey,True,threatened,to run,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to run.

Question: Who ran?
Answer: ", 'Casey'),6.0
7,t0,subject-control,Avery,Casey,False,threatened,to run,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to run.

Question: Who ran?
Answer: ", 'Casey'),7.0
8,t0,subject-control,Avery,Casey,True,threatened,to call,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to call.

Question: Who called?
Answer: ", 'Casey'),8.0
9,t0,subject-control,Avery,Casey,False,threatened,to call,Avery,Casey,"You will be given a context and a question.
Context: Avery threatened Casey to call.

Question: Who called?
Answer: ", 'Casey'),9.0
10,t0,subject-control,Avery,Casey,True,offered,to come,Avery,Casey,"You will be given a context and a question.
Context: Avery offered Casey to come.

Question: Who came?
Answer: ", 'Casey'),10.0
11,t0,subject-control,Avery,Casey,False,offered,to come,Avery,Casey,"You will be given a context and a question.
Context: Avery offered Casey to come.

Question: Who came?
Answer: ", 'Casey'),11.0
12,t0,subject-control,Avery,Casey,True,offered,to go,Avery,Casey,"You will be given a context and a question.
Context: Avery offered Casey to go.

Question: Who went?
Answer: ", 'Casey'),12.0
13,t0,subject-control,Avery,Casey,False,offered,to go,Avery,Casey,"You will be given a context and a question.
Context: Avery offered Casey to go.

Question: Who went?
Answer: ", 'Casey'),13.0
14,t0,subject-control,Avery,Casey,True,offered,to read,Avery,Casey,"You will be given a context and a question.
Context: Avery offered Casey to read.

Question: Who read?
Answer: ", 'Casey'),14.0
15,t0,subject-control,Avery,Casey,False,offered,to read,Avery,Casey,"You will be given a context and a question.
Context: Avery offered Casey to read.

Question: Who read?
Answer: ", 'Casey'),15.0
16,t0,subject-control,Avery,Casey,True,offered,to run,Avery,Casey,"You will be given a context and a question.
Context: Avery offered Casey to run.

Question: Who ran?
Answer: ", 'Casey'),16.0
17,t0,subject-control,Avery,Casey,False,offered,to run,Avery,Casey,"You will be given a context and a question.
Context: Avery offered Casey to run.

Question: Who ran?
Answer: ", 'Casey'),17.0
18,t0,subject-control,Avery,Casey,True,offered,to call,Avery,Casey,"You will be given a context and a question.
Context: Avery offered Casey to call.

Question: Who called?
Answer: ", 'Casey'),18.0
19,t0,subject-control,Avery,Casey,False,offered,to call,Avery,Casey,"You will be given a context and a question.
Context: Avery offered Casey to call.

Question: Who called?
Answer: ", 'Casey'),19.0
20,t0,subject-control,Avery,Joseph,True,threatened,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to come.

Question: Who came?
Answer: ", 'Avery threatened Joseph to come'),20.0
21,t0,subject-control,Avery,Joseph,False,threatened,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to come.

Question: Who came?
Answer: ", 'Avery threatened Joseph to come'),21.0
22,t0,subject-control,Avery,Joseph,True,threatened,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to go.

Question: Who went?
Answer: ", 'Avery threatened Joseph to go'),22.0
23,t0,subject-control,Avery,Joseph,False,threatened,to go,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to go.

Question: Who went?
Answer: ", 'Avery threatened Joseph to go'),23.0
24,t0,subject-control,Avery,Joseph,True,threatened,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to read.

Question: Who read?
Answer: ", 'Avery threatened Joseph to read'),24.0
25,t0,subject-control,Avery,Joseph,False,threatened,to read,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to read.

Question: Who read?
Answer: ", 'Avery threatened Joseph to read'),25.0
26,t0,subject-control,Avery,Joseph,True,threatened,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to run.

Question: Who ran?
Answer: ", 'Avery'),26.0
27,t0,subject-control,Avery,Joseph,False,threatened,to run,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to run.

Question: Who ran?
Answer: ", 'Avery'),27.0
28,t0,subject-control,Avery,Joseph,True,threatened,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to call.

Question: Who called?
Answer: ", 'Avery threatened Joseph to call'),28.0
29,t0,subject-control,Avery,Joseph,False,threatened,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Joseph to call.

Question: Who called?
Answer: ", 'Avery threatened Joseph to call'),29.0
30,t0,subject-control,Avery,Joseph,True,offered,to come,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to come.

Question: Who came?
Answer: ", 'Joseph'),30.0
31,t0,subject-control,Avery,Joseph,False,offered,to come,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to come.

Question: Who came?
Answer: ", 'Joseph'),31.0
32,t0,subject-control,Avery,Joseph,True,offered,to go,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to go.

Question: Who went?
Answer: ", 'Joseph'),32.0
33,t0,subject-control,Avery,Joseph,False,offered,to go,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to go.

Question: Who went?
Answer: ", 'Joseph'),33.0
34,t0,subject-control,Avery,Joseph,True,offered,to read,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to read.

Question: Who read?
Answer: ", 'Joseph'),34.0
35,t0,subject-control,Avery,Joseph,False,offered,to read,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to read.

Question: Who read?
Answer: ", 'Joseph'),35.0
36,t0,subject-control,Avery,Joseph,True,offered,to run,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to run.

Question: Who ran?
Answer: ", 'Joseph'),36.0
37,t0,subject-control,Avery,Joseph,False,offered,to run,Avery,Joseph,"You will be given a context and a question.
Context: Avery offered Joseph to run.

Question: Who ran?
Answer: ", 'Joseph'),37.0
38,t0,subject-control,Avery,Joseph,True,offered,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery offered Joseph to call.

Question: Who called?
Answer: ", 'Avery'),38.0
39,t0,subject-control,Avery,Joseph,False,offered,to call,Avery,Avery,"You will be given a context and a question.
Context: Avery offered Joseph to call.

Question: Who called?
Answer: ", 'Avery'),39.0
40,t0,subject-control,Avery,Nicole,True,threatened,to come,Avery,Avery,"You will be given a context and a question.
Context: Avery threatened Nicole to come.

Question: Who came?
Answer: ", 'Avery threatened Nicole to come'),40.0
