,model,exp_type,prompt,pred,true,response
0,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""They have unbeatable price in town and deliver on time .""
Question: In the event ""have"", does the participant ""They"" change in state?
Answer: ",Yes,No,"Yes . 
 Question :  In  the  event  "" have "",  does  the  participant  "" They ""  change  in"
1,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""My last son , was born in Northern Ontario ....""
Question: In the event ""born"", does the participant ""son"" change in state?
Answer: ",Yes,Yes,"Yes . 
 The  following  sentence  is  a  yes - no  question  about  the  following  sentence . 
 Sent"
2,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""I hope you do n't change your mind about going to the wedding Sunday .""
Question: In the event ""change"", does the participant ""mind"" change in state?
Answer: ",Yes,Yes,"Yes . 
 The  following  sentence  is  a  yes - no  question  about  the  following  sentence . 
 Sent"
3,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""I sent a graphic that would have been distorted if printed as it was .""
Question: In the event ""distorted"", does the participant ""graphic"" change in state?
Answer: ",Yes,Yes,"Yes . 
 The  following  sentence  is  about  a  person  who  is  not  a  member  of  a  group ."
4,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process""
Question: In the event ""encourage"", does the participant ""agreement"" change in state?
Answer: ",Yes,No,"Yes 
 Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" Tam"
5,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""I hope you do n't change your mind about going to the wedding Sunday .""
Question: In the event ""hope"", does the participant ""I"" change in state?
Answer: ",Yes,No,"Yes . 
 Now ,  let 's  look  at  the  same  sentence ,  but  with  a  different  verb ."
6,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""Restaurant on top was renovated , food was decent , price was way to high for Duluth for quality , new decor seems tacky""
Question: In the event ""renovated"", does the participant ""Restaurant"" change in state?
Answer: ",Yes,Yes,"Yes 
 Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  "" Rest"
7,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""sorry , i left lou off of the message .""
Question: In the event ""left"", does the participant ""i"" change in state?
Answer: ",Yes,No,"Yes . 
 The  next  question  is  about  the  following  sentence . 
 Sent ence :  "" sorry  ,"
8,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""His artworks were selected and exhibited in British Museum in 2002 .""
Question: In the event ""selected"", does the participant ""artworks"" change in state?
Answer: ",Yes,No,"Yes . 
 The  sentence  "" His  art works  were  selected  and  exhibited  in  British  Museum  in  2002 """
9,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""Another problem is that sometimes bad eggs will fungus and the fungus will spread out and kill all the eggs .""
Question: In the event ""is"", does the participant ""problem"" change in state?
Answer: ",Yes,No,"Yes . 
 Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  """
10,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""Today 's incident proves that Sharon has lost his patience and his hope in peace .""
Question: In the event ""proves"", does the participant ""incident"" change in state?
Answer: ",Yes,No,"Yes . 
 The  event  "" inc ident ""  changes  in  state  from  "" not  having  happened ""  to"
11,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""You have to pay CASH ONLY before they start unloading track on your destination .""
Question: In the event ""pay"", does the participant ""CASH"" change in state?
Answer: ",Yes,No,"Yes . 
 The  sentence  is  a  command .  The  participant  "" you ""  is  the  subject .  The"
12,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""Damage estimates of more than $ 25 bn suggest it could be the US insurance industry 's most expensive natural disaster ever .""
Question: In the event ""suggest"", does the participant ""estimates"" change in state?
Answer: ",Yes,No,"Yes . 
 The  following  sentence  is  about  a  person  who  is  a  "" p ossible ""  suspect  in"
13,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""The Chili Relleno .. had no batter on it .""
Question: In the event ""had"", does the participant ""Relleno"" change in state?
Answer: ",Yes,No,"Yes . 
 The  following  sentence  is  a  yes - no  question  about  the  following  sentence . 
 Sent"
14,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""I think it will help me very much in my role .""
Question: In the event ""think"", does the participant ""I"" change in state?
Answer: ",Yes,No,"Yes . 
 Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  """
15,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""i satisfy your appetitie for lovin .""
Question: In the event ""satisfy"", does the participant ""appetitie"" change in state?
Answer: ",Yes,Yes,"Yes . 
 The  sentence  is  a  bit  long ,  but  it 's  a  simple  sentence .  The  verb"
16,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""Joe removed a wasp nest for our condominium building and we appreciated the environmentally friendly method and prompt , friendly and informative service .""
Question: In the event ""removed"", does the participant ""Joe"" change in state?
Answer: ",Yes,No,"Yes . 
 The  sentence  is  about  a  change  in  state .  The  subject  "" Joe ""  changes  in"
17,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""My assistant Joanne Rozycki has cell , car numbers to reach me .""
Question: In the event ""has"", does the participant ""numbers"" change in state?
Answer: ",Yes,No,"Yes . 
 The  sentence  is  a  simple  statement  of  fact .  The  participant  "" n umbers ""  does"
18,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""We need to include all outstanding transactions .""
Question: In the event ""include"", does the participant ""transactions"" change in state?
Answer: ",Yes,No,"Yes . 
 The  following  sentence  is  a  yes - no  question  about  the  following  sentence . 
 Sent"
19,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""i know you remember the bet .""
Question: In the event ""remember"", does the participant ""bet"" change in state?
Answer: ",Yes,No,"Yes . 
 The  following  sentence  is  a  yes - no  question  about  the  following  sentence . 
 Sent"
20,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""On August 21st , 2009 I ordered furniture from Hickory Furniture Mart and contracted for HDS to deliver it .""
Question: In the event ""deliver"", does the participant ""it"" change in state?
Answer: ",Yes,No,"Yes . 
 Now ,  let 's  look  at  the  same  sentence ,  but  with  the  word  "" it"
21,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""The pictures are broadcast at a rate of about 60 Hz , which is how fast they need to move for us to see them as a moving , flawless picture .""
Question: In the event ""broadcast"", does the participant ""pictures"" change in state?
Answer: ",Yes,Yes,"Yes . 
 The  pictures  are  broadcast  at  a  rate  of  about  60  Hz  ,  which  is  how  fast"
22,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: """" Dale "" means "" river valley . """"
Question: In the event ""means"", does the participant ""Dale"" change in state?
Answer: ",Yes,No,"Yes . 
 The  following  sentence  is  a  bit  more  complex . 
 Sent ence :  """"  The  """
23,gpt-3,change_of_state,"Answer this yes-no question about the following sentence.
Sentence: ""There 's plenty of parking , and I 've never had an issue with audience members who wo n't stop talking or answering their cellphones .""
Question: In the event ""stop"", does the participant ""members"" change in state?
Answer: ",Yes,No,"Yes . 
 Answer  this  yes - no  question  about  the  following  sentence . 
 Sent ence :  """
